project_slug,project_name,market_cap_usd,price_usd,total_invested,funds_count,top_funds
nftfi,NFTFI,64405.44,0.0003526,6000000.0,3,"Maven 11 Capital ($2,000,000); Placeholder ($2,000,000); Launch Lab ($2,000,000)"
bsx,BSX,58501.2,0.0002069,4000000.000000001,11,"Blockchain Capital ($363,636); CMS Holdings ($363,636); Cadenza Ventures ($363,636); Maelstrom ($363,636); Breed ($363,636)"
dopamine,DOPE,57127.9,0.0004581,4500000.0,3,"Shima Capital ($1,500,000); DAO Maker ($1,500,000); Gate.io ($1,500,000)"
blockgames,BLOCK,54033.34,0.019095,6000000.0,24,"Sfermion ($250,000); Mapleblock Capital ($250,000); Cumberland ($250,000); Susquehanna International Group (SIG) ($250,000); Luke Wagman ($250,000)"
metabeat,$BEAT,52119.01,3.88e-05,3000000.0,3,"Dubai Labs ($1,000,000); FZF Ventures ($1,000,000); Layer OTC ($1,000,000)"
halo-2,HLO,48491.63,0.0002329,3000000.0,4,"HashKey Capital ($750,000); IDG Capital ($750,000); Cyberport Hong Kong ($750,000); KuCoin Ventures ($750,000)"
holograph,HLG,48037.5,3.095e-05,2800000.0,6,"Mechanism Capital ($466,667); Courtside Ventures ($466,667); Arca ($466,667); Selini Capital ($466,667); Hartmann Capital ($466,667)"
eclipse-fi,ECLIP,42547.17,0.0003167,1900000.0,11,"Danish Chadhry ($172,727); Momentum 6 ($172,727); Rarestone Capital ($172,727); MV Global ($172,727); Kyros Ventures ($172,727)"
castle-of-blackwater,COBE,41635.03,0.005571,1000000.0,3,"Faculty Group ($333,333); 3Commas Capital ($333,333); Metrics Ventures ($333,333)"
kinto,K,41582.36,0.0209,20000000.0,1,"Brevan Howard ($20,000,000)"
chainaware-ai,AWARE,40223.81,0.001428,500000.0,2,"ChainGPT Labs ($250,000); CoinIX ($250,000)"
shards-protocol,SHARDS,39051.07,0.001177,2000000.0,9,"Animoca Brands ($222,222); Yield Guild Games (YGG) ($222,222); Kyber Ventures ($222,222); Gabby Dizon ($222,222); Based VC ($222,222)"
trala,TRALA,36546.78,0.0006758,5000000.0,3,"Animoca Brands ($1,666,667); Gate Labs ($1,666,667); Matter Labs ($1,666,667)"
haven1,H1,30272.71,7.418e-05,4600000.0,8,"Animoca Brands ($575,000); Kronos Research ($575,000); International Blockchain Consulting ($575,000); Blockdaemon ($575,000); Sygnum ($575,000)"
juice-finance,JUICE,30241.99,3.716e-05,1000000.0000000002,11,"Spencer ($90,909); Icedcoffee ($90,909); DFarmer ($90,909); AiRev ($90,909); Soldman Gachs ($90,909)"
param-labs,PARAM,29966.3,0.0001157,7000000.000000001,9,"Mechanism Capital ($777,778); Animoca Brands ($777,778); TRGC ($777,778); Delphi Digital (Delphi Labs) ($777,778); P2 Ventures ($777,778)"
trex20,TX20,28968,0.0007242,1000000.0,7,"Marshland Capital ($142,857); NxGen ($142,857); Oddiyana Ventures ($142,857); Nabais Capital ($142,857); TripleGemCapital ($142,857)"
metados,SECOND,24727.82,4.93e-06,2450000.0,5,"GD10 Ventures ($490,000); Avalon Wealth Club ($490,000); Kangaroo Capital ($490,000); AZA Ventures ($490,000); Brainbox ($490,000)"
ringfence,Ringfence,24273.15,0.0004727,1500000.0,9,"Morningstar Ventures ($166,667); Rarestone Capital ($166,667); Spark Digital Capital ($166,667); Marshland Capital ($166,667); NxGen ($166,667)"
multiple-network,MTP,22860,0.0005031,1999999.9999999998,6,"Puzzle Ventures ($333,333); Youbi Capital ($333,333); OKX Ventures ($333,333); CatcherVC ($333,333); Bitrise Capital ($333,333)"
idle,IDLE,21358.46,0.002396,2399999.9999999995,14,"BlockRock Capital ($171,429); Fasanara Capital ($171,429); Greenfield Capital ($171,429); The Lao ($171,429); gumi Cryptos Capital ($171,429)"
metalcore,MCG,16390.58,3.953e-05,5000000.0,4,"Delphi Digital (Delphi Labs) ($1,250,000); The Spartan Group ($1,250,000); Sanctor Capital ($1,250,000); BITKRAFT Ventures ($1,250,000)"
blade-games,BLADE,16251.56,0.003467,2400000.0,10,"IOSG Ventures ($240,000); Puzzle Ventures ($240,000); Formless Capital ($240,000); K300 Venture ($240,000); Palm Tree Crew ($240,000)"
bloodloop,BLS,15840.81,0.000326,4000000.0,8,"Citizen Capital ($500,000); OIG Oracles Investment Group ($500,000); Optic Capital ($500,000); Avalanche Foundation ($500,000); Dutch Crypto Investors (DCI) ($500,000)"
bitsmiley,SMILE,14828.08,0.0006063,10000000.0,15,"KuCoin Ventures ($666,667); Skyland Ventures ($666,667); Cypher Capital Group ($666,667); Pragma Ventures ($666,667); IBC Ventures ($666,667)"
savage,SAVG,13964.75,2.912e-05,1500000.0,3,"Morningstar Ventures ($500,000); P2 Ventures ($500,000); Faculty Group ($500,000)"
bonsai-token,BONSAI,12359.51,3.046e-05,1000000.0,4,"Sandeep Nailwal ($250,000); Palm Tree Crew ($250,000); Social Graph Ventures ($250,000); Friends With Benefits ($250,000)"
credbull,CBL,11885.58,3.099e-05,5200000.0,7,"Outlier Ventures ($742,857); LucidBlue Ventures ($742,857); Gnosis ($742,857); XBTO Group ($742,857); HODL Ventures ($742,857)"
pichi-finance,PCH,8836.63,7.303e-05,2500000.0,15,"GBV Capital ($166,667); Signum Capital ($166,667); One Block Capital ($166,667); DCF GOD ($166,667); UOB Venture Management ($166,667)"
secondlive,LIVE,7863.26,5.868e-05,12000000.0,10,"Crypto.com ($1,200,000); Spark Digital Capital ($1,200,000); Titans Ventures ($1,200,000); CSP DAO ($1,200,000); Newave Capital ($1,200,000)"
aperture-finance,APTR,7769.22,8.547e-05,6700000.0,10,"Krypital Group ($670,000); ViaBTC Capital ($670,000); SNZ Holding ($670,000); Double Peak ($670,000); Cipholio Ventures ($670,000)"
stage,STAGE,6597,1.11e-05,3400000.0,12,"Castrum Capital ($1,200,000); Moonrock Capital ($200,000); Kraken ($200,000); Synapse Network ($200,000); Gains Associates ($200,000)"
beoble,BBL,6426.6,3e-05,6120000.0,8,"Morningstar Ventures ($765,000); HashKey Capital ($765,000); Samsung NEXT ($765,000); Digital Currency Group (DCG) ($765,000); Blockchain Founders Fund ($765,000)"
fenix,FNX,6014.38,0.0002983,300000.0,5,"Orbs ($60,000); Pragma Ventures ($60,000); HyperNest ($60,000); Samurai Starter ($60,000); Lynex ($60,000)"
coresky,CSKY,4429.28,2.914e-05,15000000.0,5,"Parallel Ventures ($3,000,000); WAGMI Ventures ($3,000,000); Web3 Vision Fund ($3,000,000); Copilot Venture Studio ($3,000,000); Tido Capital ($3,000,000)"
autolayer,LAY3R,4057.69,0.0003043,2500000.0000000005,7,"Morningstar Ventures ($357,143); Spark Digital Capital ($357,143); Poolz ($357,143); KuCoin ($357,143); Black Edge Capital ($357,143)"
dechat,DECHAT,4045.86,0.002394,1000000.0,1,"Mindspace Solutions ($1,000,000)"
openloop,OPEN,3987.7,3.99e-06,15000000.0,1,"IPN Foundation ($15,000,000)"
zaros,ZRS,2275.88,2.288e-05,1800000.0,9,"SNZ Holding ($200,000); Fernando Martinelli ($200,000); Kieran Warwick ($200,000); Anthony Sassano ($200,000); Cogitent Ventures ($200,000)"
synonym-finance,SYNO,2016.61,7.04e-06,1500000.0,8,"Borderless Capital ($187,500); Robot Ventures ($187,500); Marshland Capital ($187,500); Big Brain Holdings ($187,500); Wormhole ($187,500)"
vue-protocol,V,559,4.3e-07,6000000.0,4,"GBV Capital ($1,500,000); AU21 Capital ($1,500,000); PAKA ($1,500,000); Eureka Capital ($1,500,000)"
lendr-fi,Lendr.fi,,,600000.0,3,"Avalanche Foundation ($250,000); Colony Lab ($250,000); Foundership Ventures ($100,000)"
lagom-chain,Lagom Chain,,,200000.0,1,"Singh Coin ($200,000)"
rivo,Rivo,,,200000.0,1,"Tezos Foundation ($200,000)"
xp-finance,Xp.Finance,,,200000.0,1,"Xenoverge Angel Fund ($200,000)"
trepa,Trepa,,,670000.0,8,"Colosseum ($302,500); Balaji Srinivasan ($52,500); TPan ($52,500); Nicolas Weber ($52,500); Yi Wen Deng ($52,500)"
localpay,LocalPay,,,250000.0,1,"Colosseum ($250,000)"
cargobill,CargoBill,,,250000.0,1,"Colosseum ($250,000)"
typex-keyboard,TypeX Keyboard,,,250000.0,1,"Colosseum ($250,000)"
tapedrive,TAPEDRIVE,,,250000.0,1,"Colosseum ($250,000)"
metengine,MetEngine,,,250000.0,1,"Colosseum ($250,000)"
slant,Slant,,,250000.0,1,"Colosseum ($250,000)"
decal,Decal,,,250000.0,1,"Colosseum ($250,000)"
crypto-fantasy-league-2,Crypto Fantasy League,,,250000.0,1,"Colosseum ($250,000)"
tempo-trade,Tempo Trade,,,250000.0,1,"Colosseum ($250,000)"
hylo,Hylo,,,1750000.0000000007,13,"Colosseum ($365,385); Solana Ventures ($115,385); Robot Ventures ($115,385); YTWO ($115,385); Geoff Renaud ($115,385)"
ordinox,ODX (Ordinox),,,1260000.0,12,"Sonic ($260,000); Outlier Ventures ($90,909); CMS Holdings ($90,909); Digital Asset Capital Management (DACM) ($90,909); Plassa Capital ($90,909)"
girin-labs,Girin Labs,,,300000.0,1,"CRIT Ventures ($300,000)"
centi,Centi,,,300000.0,1,"NextGen Digital Platforms ($300,000)"
ltv-protocol,LTV Protocol,,,325000.0,10,"Alex Esin ($32,500); Mirko Schmield ($32,500); Artemiy Parshakov ($32,500); Alexey Bondar ($32,500); Renat K ($32,500)"
guess-best,Guess.best,,,350000.0,1,"Alliance ($350,000)"
juicy-meme,Juicy.meme,,,400000.0,1,"JU Ventures ($400,000)"
based-3,Based,,,420000.0,2,"dlab ($210,000); Manifold Trading ($210,000)"
morpheus-labs-2,MIND,,8.43e-05,430000.0,3,"Ficus Capital ($143,333); Startup Five Investment ($143,333); Pei-Han ($143,333)"
fija,Fija,,,1723000.0,5,"Necto Labs ($433,000); CV VC ($322,500); Keyrock ($322,500); Heliad AG ($322,500); Tenity ($322,500)"
twyne,Twyne,,,450000.0,6,"Daedalus ($75,000); Euler Labs ($75,000); defiyaco ($75,000); Izzy ($75,000); pashov ($75,000)"
plutopepe,PLUTO,,4.92e-10,500000.0,1,"Manit Gupta ($500,000)"
four-pillars,Four Pillars,,,500000.0,3,"Hashed ($166,667); Bass Investment ($166,667); Kakao Ventures ($166,667)"
bitbrand,Bitbrand,,,500000.0,3,"Hustle Fund ($166,667); Side Door Ventures ($166,667); GFR Fund ($166,667)"
satscreener,SatScreener,,,499999.9999999999,15,"Sora Ventures ($33,333); brotherhood ($33,333); Bitcoin Frontier Fund ($33,333); UTXO Management ($33,333); ALEX ($33,333)"
reposwap,RepoSwap,,,500000.0,3,"QCP Capital ($166,667); ZK Prime Capital ($166,667); XLink Ventures ($166,667)"
pandiana,Pandiana,,,500000.0,3,"AlphaEquity Capital ($166,667); YNK Capital ($166,667); Gateron Ventures ($166,667)"
zar,ZAR,,,20400000.0,26,"a16z crypto CSX ($3,360,000); Coinbase Ventures ($2,860,000); Dragonfly Capital ($2,860,000); VanEck ($2,860,000); Endeavor Catalyst ($2,580,000)"
combinder,Combinder,,,499999.99999999994,6,"Outlier Ventures ($83,333); Moonrock Capital ($83,333); 1kx ($83,333); MN Capital ($83,333); Prosper Ventures ($83,333)"
oro-ai,ORO,,,6500000.0,6,"a16z crypto CSX ($1,500,000); Delphi Ventures ($1,000,000); NEAR Foundation ($1,000,000); Orange DAO ($1,000,000); Ocular VC ($1,000,000)"
launcher-capital,Launcher Capital,,,4500000.0,1,"a16z crypto CSX ($4,500,000)"
kyd-labs,KYD Labs,,,7500000.0,8,"a16z crypto CSX ($1,375,000); Techstars ($875,000); Ambush Capital ($875,000); Nakul Gupta ($875,000); Finality Capital Partners ($875,000)"
xo-market,XO Market,,,500000.0,8,"Delphi Ventures ($62,500); Nick White ($62,500); cyber Fund ($62,500); Binary Builders ($62,500); Connor Enso ($62,500)"
abrakadabra-games,Abrakadabra Games,,,500000.0,1,"MiA Teknoloji ($500,000)"
synnax-technologies,Synnax Technologies,,,1549999.9999999998,14,"Wintermute ($275,000); TON Ventures ($275,000); Ausvic Capital ($83,333); Hex Trust ($83,333); Moonvault Capital ($83,333)"
pecland,PECL,,,600000.0,11,"Morningstar Ventures ($54,545); Moonrock Capital ($54,545); Spark Digital Capital ($54,545); Trade Coin Viet Nam ($54,545); OneMax Capital ($54,545)"
euclid-protocol,Euclid Protocol,,,600000.0,3,"Kahuna ($200,000); Tomoaki Sato ($200,000); Lavender Five ($200,000)"
sati,Sati,,,600000.0,4,"Boost VC ($150,000); Arcanum Capital ($150,000); Draper Associates ($150,000); Don Ricardo Salinas Pliego ($150,000)"
multipool,Multipool,,0.002093,650000.0,1,"NxGen ($650,000)"
w-chain,W Chain,,,700000.0,1,"Victus Capital ($700,000)"
kuvi-ai,Kuvi.ai,,,700000.0,3,"Michael Terpin ($233,333); VirtualBacon ($233,333); Moon Pursuit Capital ($233,333)"
torram,Torram,,,710000.0,13,"Boost VC ($54,615); Deep Ventures ($54,615); Draper Associates ($54,615); Blockchain Founders Fund ($54,615); MH Ventures ($54,615)"
yiedl,Yiedl,,,735000.0,3,"Ocean ($245,000); Bruce Pon ($245,000); Trent McConaghy ($245,000)"
pakt,Pakt,,,750000.0,4,"Avalanche Foundation ($187,500); Chorus One ($187,500); 4ward Fund ($187,500); Anthony Scaramucci ($187,500)"
litheum,Litheum,,,750000.0,2,"Alphemy Capital ($375,000); Amber Group ($375,000)"
3f-labs,3F Labs,,,750000.0,16,"Rune Christensen ($46,875); Michael Ippolito ($46,875); Ernest Oppetit ($46,875); DeFi Dad ($46,875); Lyuben Belov ($46,875)"
saturn,Saturn,,,800000.0,8,"CMS Holdings ($100,000); Sora Ventures ($100,000); Joe McCann ($100,000); Dillon Healy ($100,000); Kamran Iqbal ($100,000)"
xprotocol,XProtocol,,,800000.0,2,"Zephyrus Capital ($400,000); Cogitent Ventures ($400,000)"
tidus,Tidus,,,800000.0,2,"DNA Fund ($400,000); Transform Ventures ($400,000)"
n3mus,N3MUS,,,800000.0000000001,15,"Arrington Capital ($53,333); Borderless Capital ($53,333); x21 Digital ($53,333); Black Dragon ($53,333); PAKA ($53,333)"
ego-2,Ego,,,799999.9999999999,13,"Antonio Juliano ($61,538); Raj Gokal ($61,538); Marc Boiron ($61,538); Maghnus Mareneck ($61,538); Zedd Yin ($61,538)"
interzoon,Interzoon,,,800000.0,1,"Ange Makine ($800,000)"
coala-pay,Coala Pay,,,4315000.0,5,"Lattice ($1,370,417); Factor Capital ($1,370,417); Castle Island Ventures ($1,166,667); CV Labs ($203,750); The Batchery ($203,750)"
vortex-2,Vortex,,,892000.0,3,"Web3 Foundation ($297,333); Blue Star Capital ($297,333); Danny Masters ($297,333)"
pathpulse-ai,PathPulse AI,,,900000.0,8,"CoinGecko Ventures ($112,500); Decubate ($112,500); Baselayer Capital ($112,500); Brinc ($112,500); Aptos ($112,500)"
onocoy,onocoy,,,940000.0,2,"Smart Island Capital ($470,000); Thomas Seiler ($470,000)"
monad-pad,Monad Pad,,,945000.0,9,"CMS Holdings ($105,000); CSP DAO ($105,000); Exnetwork Capital ($105,000); Legion Ventures ($105,000); Zephyrus Capital ($105,000)"
spot,SPOT,,1.18,1000000.0,1,"Coinbase Ventures ($1,000,000)"
ezswap,EZSWAP,,6.163e-05,1000000.0,3,"EOS Network Foundation ($333,333); IOBC Capital ($333,333); Momentum Capital ($333,333)"
silencio,SLC,,0.00011449,3499999.9999999995,8,"MV Global ($666,667); Borderless Capital ($666,667); Blockchange Ventures ($416,667); Blockchain Founders Fund ($416,667); Advanced Blockchain ($416,667)"
talus-network,US,,0.01516,10000000.0,16,"Polychain Capital ($1,166,667); Atlan Tutar ($666,667); Animoca Brands ($666,667); Sandeep Nailwal ($666,667); Kenzi Wang ($666,667)"
fanton,FTON,,8.219e-05,999999.9999999999,6,"Animoca Brands ($166,667); Delphi Digital (Delphi Labs) ($166,667); Kenetic Capital ($166,667); PAKA ($166,667); Sign VC ($166,667)"
billy-bets-by-virtuals-2,$BILLY,,0.0002602,999999.9999999998,13,"Coinbase Ventures ($76,923); CMS Holdings ($76,923); Tom Shaughnessy ($76,923); Yan Liberman ($76,923); Contango Digital Assets ($76,923)"
powerpod,PowerPod,,,1000000.0,5,"Waterdrip Capital ($200,000); Iotex Pad ($200,000); WAGMI Ventures ($200,000); FutureMoney Group ($200,000); JDI Global ($200,000)"
trendx,XTTA,,,11200000.0,14,"Animoca Brands ($2,600,000); CREAM ($2,600,000); Coresky ($880,952); BullPerks ($714,286); AZH Advisory ($714,286)"
wield,Wield,,,999999.9999999999,6,"Lemniscap ($166,667); Dan Romero ($166,667); Reuben Bramanathan ($166,667); Henry Shi ($166,667); Perry J Randall ($166,667)"
yet-another-company,Yet Another Company,,,1000000.0,3,"LambdaClass ($333,333); C Squared Ventures ($333,333); Gagra Ventures ($333,333)"
pac-finance,PAC,,,1000000.0,3,"Polychain Capital ($333,333); Mapleblock Capital ($333,333); Manifold Trading ($333,333)"
seismic-finance,Seismic Finance,,,1000000.0,7,"Rarestone Capital ($142,857); x21 Digital ($142,857); Marshland Capital ($142,857); Arca ($142,857); 369 Capital ($142,857)"
circle-of-games,Circle of Games,,,1000000.0,2,"Nazara Technologies ($500,000); The Hashgraph Association ($500,000)"
popset,Popset,,,1000000.0,4,"Patricio Worthalter ($250,000); Punk DAO ($250,000); Izun Partners ($250,000); Michael Shaulov ($250,000)"
metaphone,PHONE,,0.0002203,1000000.0,1,"JDI Global ($1,000,000)"
electron-2,Electron,,,1000000.0000000001,12,"Martin Koppelmann ($83,333); Sandeep Nailwal ($83,333); Zephyrus Capital ($83,333); Jaynti Kanani ($83,333); Aniket Jindal ($83,333)"
nexis,Nexis,,,1000000.0,1,"Castrum Capital ($1,000,000)"
nexus-network,Nexus Network,,,1000000.0,8,"CoinIX ($125,000); Mask Network ($125,000); Ajit Tripathi ($125,000); Founderheads ($125,000); Hashed Emergent ($125,000)"
shaga,Shaga,,,5000000.000000001,26,"Arca ($335,294); ATOM Accelerator ($235,294); Carlos0x ($235,294); Aaron Gillett ($235,294); IOSG Ventures ($235,294)"
agent-exchange,Agent Exchange,,,1000000.0,10,"David Choi ($100,000); Mr. Block ($100,000); Larry Cermak ($100,000); Jack Sun ($100,000); Caladan (Alphalab) ($100,000)"
televerse,Televerse,,,1000000.0,5,"Cyberport Hong Kong ($200,000); Summer Capital ($200,000); Victor Ji ($200,000); Awakening Ventures ($200,000); PrecisionEdge Capital ($200,000)"
skyfire,Skyfire,,,9500000.0,6,"Gemini Frontier Fund ($2,125,000); Draper Associates ($2,125,000); Ripple ($2,125,000); Circle ($2,125,000); Andreessen Horowitz (a16z) ($500,000)"
arcium,ARX,,,6500000.0,32,"Coinbase Ventures ($275,000); Santiago Roel Santos ($275,000); LongHash Ventures ($275,000); Smape Capital ($275,000); Anatoly Yakovenko ($275,000)"
skyx,SkyX,,,999999.9999999999,6,"Waterdrip Capital ($166,667); Daedalus ($166,667); J17 Capital ($166,667); Escape Velocity ($166,667); Opulence ($166,667)"
margarita-finance,Margarita Finance,,,1000000.0,4,"Tomahawk.vc ($250,000); Outrun Ventures ($250,000); NV Capital ($250,000); G-20 Group ($250,000)"
runesoul,Runesoul,,,4999999.999999999,3,"AccelByte ($1,833,333); IGC ($1,833,333); Bitgo Capital ($1,333,333)"
lsp-finance,LSP,,,999999.9999999999,6,"CatcherVC ($166,667); K24 Ventures ($166,667); WAGMI Ventures ($166,667); CGV FoF (Cryptogram Venture) ($166,667); Landscape Capital ($166,667)"
mandala-chain,Mandala Chain,,,1000000.0,3,"O-DE Capital Partners ($333,333); Harbour Industrial Capital ($333,333); NLS Ventures ($333,333)"
sonex,SONEX,,,1000000.0,7,"Gate Ventures ($142,857); Flow Traders ($142,857); Nonagon ($142,857); Taisu Ventures ($142,857); Baboon VC ($142,857)"
endless,Endless,,,1000000.0,1,"Foresight Ventures ($1,000,000)"
lantern-finance,Lantern Finance,,,1000000.0,3,"Orange DAO ($333,333); Andover Ventures ($333,333); Supermoon Ventures ($333,333)"
b-ai-fund,BAI,,0.0002809,1000000.0,2,"Foresight Ventures ($500,000); Morph ($500,000)"
bloctopus,Bloctopus,,,999999.9999999999,6,"Techstars ($166,667); Brevan Howard ($166,667); Quantstamp ($166,667); Hivemind Capital Partners ($166,667); Iron Key Capital ($166,667)"
byzanlink,Byzanlink,,,999999.9999999999,6,"Outlier Ventures ($166,667); NTDP ($166,667); Sensei Capital ($166,667); Murali Kulala ($166,667); Salman Butt ($166,667)"
okafund,OkaFund,,,1000000.0,3,"DC Capital ($333,333); FreeLunchCapital ($333,333); Locoo International Capital ($333,333)"
vanish,Vanish,,,1000000.0,20,"bryce ($50,000); pwnlord69 ($50,000); Gorilla ($50,000); Infra ($50,000); FDR ($50,000)"
browser-cash,Browser Cash,,,1000000.0,3,"Proof Group ($333,333); Hack VC ($333,333); Builder Capital ($333,333)"
drake,Drake,,,1000000.0,1,"CMS Holdings ($1,000,000)"
haiku,Haiku,,,1000000.0,5,"Big Brain Holdings ($200,000); Ahmed Al-Balaghi ($200,000); Daedalus ($200,000); Auros Global ($200,000); Frostlight ($200,000)"
goblin-finance,Goblin Finance,,,999999.9999999999,6,"OKX Ventures ($166,667); Gate Ventures ($166,667); Aptos ($166,667); BlockBooster ($166,667); Avery Ching ($166,667)"
frex,Frex,,,1050000.0,6,"Kunal Shah ($175,000); Zeropearl VC ($175,000); White Venture Capital ($175,000); Abhiraj Singh Bhal ($175,000); Varun Khaitan ($175,000)"
quantlytica,QTLX,,0.00351,1090000.0,6,"ZBS Capital ($181,667); P2 Ventures ($181,667); Connectico Capital ($181,667); DWF Labs ($181,667); Eureka ($181,667)"
hackquest,HackQuest,,,5200000.0,12,"Outlier Ventures ($650,000); HashKey Capital ($650,000); Scott Moore ($650,000); ByteTrade Lab ($650,000); Animoca Brands ($512,500)"
rug-ai,RUG.AI,,,1100000.0,10,"Mask Network ($110,000); Formless Capital ($110,000); Avi Felman ($110,000); Builder Capital ($110,000); No Limit Holdings ($110,000)"
bring-2,Bring,,,1100000.0,1,"StarkWare Industries ($1,100,000)"
filament,Filament,,,1100000.0,7,"Chorus One ($157,143); P2 Ventures ($157,143); Archerman Capital ($157,143); Spyre Capital ($157,143); LIF ($157,143)"
openpad,OpenPad,,,3100000.0000000005,14,"Basics Capital ($263,846); Avalon Wealth Club ($263,846); Spicy Capital ($263,846); Green Arrow Ventures ($263,846); Protein Capital ($263,846)"
offline-protocol,Offline Protocol,,,1100000.0,5,"Seed Club Ventures ($220,000); Portal Ventures ($220,000); Paul Taylor ($220,000); Rushi Manche ($220,000); Rahim Noorani ($220,000)"
inflow,Inflow,,,1100000.0,8,"Stake Capital ($137,500); Alliance ($137,500); Gnosis ($137,500); Nicolas Bacca ($137,500); Plug and Play ($137,500)"
aureo-2,Aureo,,,1100000.0,1,"Early Riders ($1,100,000)"
nad-fun,Nad.fun,,,1100000.0,13,"Neoclassic Capital ($84,615); Benja ($84,615); Nicholas (dapanji_eth) ($84,615); Whitesocks ($84,615); Wick ($84,615)"
fraktion,Fraktion,,,1140000.0,6,"Tezos Foundation ($190,000); Cabrit Capital ($190,000); Vox Capital ($190,000); Olivier Huby ($190,000); Andrea Bensaid ($190,000)"
colossus-digital,Colossus Digital,,,1150000.0,3,"Sygnum ($383,333); Azimut Group ($383,333); SBI Ven Capital ($383,333)"
mcq-markets,MCQ Markets,,,1160000.0,1,"SOL Global ($1,160,000)"
rocket3,Rocket3,,,1200000.0,2,"Bex Ventrue ($600,000); SOSV ($600,000)"
bmaker,Bmaker,,,1200000.0,3,"C3u Capital ($400,000); Tangle Capital ($400,000); Droplet Capital ($400,000)"
metropolis,Metropolis,,,1200000.0,9,"Lamina1 Ecosystem Fund ($133,333); Outlier Ventures ($133,333); Protocol Labs ($133,333); Cluster Capital ($133,333); Zephyrus Capital ($133,333)"
ivx,IVX,,,1199999.9999999998,7,"AVID3 ($171,429); Web3Port ($171,429); Forbole ($171,429); Ameet Patel ($171,429); Animoca Brands ($171,429)"
qiro-finance,Qiro Finance,,,1200000.0,5,"Trident Digital ($240,000); CMT Digital ($240,000); Alliance ($240,000); Druid Ventures ($240,000); Escape Velocity ($240,000)"
liquorice,Liquorice,,,1200000.0,4,"HASH CIB (HASH#CIB) ($300,000); Polymorphic Capital ($300,000); Greenfield Capital ($300,000); L2 Iterative Ventures (L2IV) ($300,000)"
universal-health-token,Universal Health Token,,,1200000.0,4,"Animoca Brands ($300,000); P2 Ventures ($300,000); Tezos Foundation ($300,000); KGeN ($300,000)"
amplify-world,Amplify World,,,1200000.0,1,"Chapel Ventures ($1,200,000)"
novastro-chain,Novastro Chain,,,1200000.0,8,"Woodstock Fund ($150,000); x21 Digital ($150,000); Double Peak ($150,000); CSP DAO ($150,000); Cogitent Ventures ($150,000)"
canopy,Canopy,,,1200000.0,5,"Mechanism Capital ($240,000); GSR Markets (GSR) ($240,000); CitizenX Crypto Ventures Fund, L.P. ($240,000); Side Door Ventures ($240,000); Primitive ($240,000)"
solo-2,Solo,,,1200000.0,4,"Draper Associates ($300,000); Velocity Capital ($300,000); Matthew Katz ($300,000); Brian Retford ($300,000)"
epoch-protocol,Epoch Protocol,,,1199999.9999999998,13,"Alphemy Capital ($92,308); LongHash Ventures ($92,308); Harsh Rajat ($92,308); Safe Ecosystem Foundation ($92,308); Anurag Arjun ($92,308)"
rootdata,RootData,,,1250000.0,12,"Basics Capital ($104,167); Mask Network ($104,167); Goplus ($104,167); Skyland Ventures ($104,167); Rebase D. Ventures ($104,167)"
ducat,Ducat,,,1250000.0,10,"FarmerJoe ($125,000); Revelo Intel ($125,000); BitFlow ($125,000); Marin Digital Ventures ($125,000); CMS Holdings ($125,000)"
g8keep,g8keep,,,1250000.0,6,"Robot Ventures ($208,333); Sunil Srivatsa ($208,333); Base Ecosystem Fund ($208,333); Luca Netz ($208,333); cygaar ($208,333)"
catalysis,Catalysis,,,1250000.0,9,"Crypto Times ($138,889); Richard Malone ($138,889); FunFair Ventures ($138,889); Cosmostation ($138,889); SpaceshipDAO ($138,889)"
recoveris,Recoveris,,,1260000.0,1,"VerifyVASP ($1,260,000)"
libraro,Libraro,,,1280000.0,1,"Ayre Ventures ($1,280,000)"
kamigotchi,ONYX,,3.53,1300000.0,3,"DCF GOD ($433,333); Seed Club ($433,333); TempleDAO ($433,333)"
bitflow,BitFlow,,,1300000.0000000002,9,"Genblock Capital ($144,444); Big Brain Holdings ($144,444); Tykhe Block Ventures ($144,444); Side Door Ventures ($144,444); Newman Capital ($144,444)"
honeypot-finance,Honeypot Finance,,,1300000.0,5,"Enigma ($260,000); TKX Capital ($260,000); Aquanow ($260,000); Web3Port ($260,000); CSP DAO ($260,000)"
golfn,GolfN,,,1300000.0,4,"Fourth Revolution Capital ($325,000); CitizenX Crypto Ventures Fund, L.P. ($325,000); Joe McCann ($325,000); Nom ($325,000)"
tmrw,TMRW,,,1300000.0,2,"Maple VC ($650,000); Brad Mills ($650,000)"
bulbaswap,BulbaSwap,,,1300000.0,4,"Kronos Research ($325,000); Foresight Ventures ($325,000); MEXC Global (Privcode Capital) ($325,000); Morph ($325,000)"
whetstone,Whetstone,,,1300000.0,6,"Variant ($216,667); Nascent ($216,667); Figment Capital ($216,667); Uniswap ($216,667); Ambush Capital ($216,667)"
thirdverse-ico,Thirdverse,,,1360000.0,4,"CyberAgent Capital ($340,000); D4V ($340,000); United ($340,000); Masi Oka ($340,000)"
hinkal-protocol,Hinkal Protocol,,,1400000.0,4,"SNZ Holding ($350,000); Draper Associates ($350,000); Peer Ventures ($350,000); The SALT Fund ($350,000)"
fair-math,Fair Math,,,1400000.0,3,"gumi Cryptos Capital ($466,667); Polymorphic Capital ($466,667); Inception Capital ($466,667)"
