fund_slug,fund_name,project_slug,project_name,amount,stage,date,category,pre_valuation
antonio-juliano,Antonio Juliano,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
zhuoxun-yin,Zhuoxun Yin,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
archetype,Archetype,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
henri-stern,Henri Stern,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
marc-boiron,Marc Boiron,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
base-ecosystem-fund,Base Ecosystem Fund,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
vijay-chetty,Vijay Chetty,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
jake-werrett,Jake Werrett,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
achal-srinivasan,Achal Srinivasan,trendies,,1750000,Pre-seed,2024-10-10T00:00:00Z,Social,17500000
foresight-ventures,Foresight Ventures,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
mexc-global-privcode-capital,MEXC Global (Privcode Capital),brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
orange-dao,Orange DAO,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
280-capital,280 Capital,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
silvermine-capital,Silvermine Capital,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
movement,Movement,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
v3v-ventures,V3V Ventures,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
triton,TRITON,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
nibiru,Nibiru,brkt,,1750000,Seed Round,2024-11-26T00:00:00Z,DeFi,17500000
collective-ventures,Collective Ventures,parsiq,PRQ,1754500,Private Sale,2019-09-01T00:00:00Z,Infrastructure,5972444.79
waterdrip-capital,Waterdrip Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
master-ventures,MV Global,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
x21-digital,x21 Digital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
genesis-block-gbv,GBV Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
rarestone-capital,Rarestone Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
morningstar-ventures,Morningstar Ventures,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
moonrock-capital,Moonrock Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
spark-digital-capital,Spark Digital Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
a195-capital,A195 Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
chain-capital,Chain Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
protocol-ventures,Protocol Ventures,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
ascensive-assets,Ascensive Assets,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
vendetta-capital,Vendetta Capital,ojamu,OJA,1755000,Private Round,2021-10-01T00:00:00Z,Ignition IDO,11800000
dutch-crypto-investors-dci,Dutch Crypto Investors (DCI),kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
bca-investment,BCA Investment,kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
iconplus-capital-ipc,Iconplus Capital (IPC),kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
avalanche-asia-star-fund-avatar,Avalanche Asia Star Fund (AVATAR),kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
muhabbit-capital,Muhabbit Capital,kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
avalanche-foundation,Avalanche Foundation,kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
lemniscap,Lemniscap,kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
bigcoin-capital,Bigcoin Capital,kalao,KLO,1785000,Private Round,2021-08-01T00:00:00Z,NFT,17500000
dao-maker,DAO Maker,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
metrix-capital,Metrix Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
raptor-capital,Raptor Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
x21-digital,x21 Digital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
kyros-ventures,Kyros Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
ub-ventures,UB Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
fxce-ventures,FXCE Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
bluenode-capital,Bluenode Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
viet-crypto,Viet Crypto,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
sgtc,SGTC,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
coinf-ventures-coinf-research,CoinF Ventures (CoinF Research),starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
yinyang-capital,YinYang Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
infinity-capital,Infinity Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
onblock-ventures,OnBlock Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
tk-ventures,TK Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
magnus-capital,Magnus Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
ug-ventures,UG Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
nabais-capital,Nabais Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
reblock,ReBlock,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
wings-ventures,Wings Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
megala-ventures,Megala Ventures,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
gate-io,Gate.io,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
everse-capital,Everse Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
trade-coin-viet-nam,Trade Coin Viet Nam,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
cinchblock,CinchBlock,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
hulk-crypto-capital,Hulk Crypto Capital,starpunk,SRP,1798600,Strategic Sale,2021-09-01T00:00:00Z,Gaming,15640000
paradigm,Paradigm,uniswap,UNI,1800000,Seed,2019-04-01T00:00:00Z,DEX,18000000
longhash-ventures,LongHash Ventures,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
7-o-clock-capital,7 O'Clock Capital,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
insignia-ventures-partners,Insignia Ventures Partners,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
cyberconnect,CyberConnect,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
bitcoke,Bitcoke,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
financial-services-capital-partners,Financial Services Capital Partners,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
monad,Monad,particle-network,PARTI,1800000,Pre-seed Round,2022-04-01T00:00:00Z,Modular Blockchain,30000000
cms-holdings-llc,CMS Holdings,perpetual-protocol,PERP,1800000,Strategic Round,2020-05-01T00:00:00Z,Perpetual,12000000
alameda-research,Alameda Research,perpetual-protocol,PERP,1800000,Strategic Round,2020-05-01T00:00:00Z,Perpetual,12000000
three-arrows-capital,Three Arrows Capital,perpetual-protocol,PERP,1800000,Strategic Round,2020-05-01T00:00:00Z,Perpetual,12000000
multicoin-capital,Multicoin Capital,perpetual-protocol,PERP,1800000,Strategic Round,2020-05-01T00:00:00Z,Perpetual,12000000
icetea-labs-icetea-io,Icetea Labs (Icetea.io),gamefi,GAFI,1800000,Private Round,2021-08-01T00:00:00Z,Gaming,15000000
bitfwd,bitfwd,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
digital-renaissance,Digital Renaissance,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
sevenx-ventures,SevenX Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
tenzor-capital,Tenzor Capital,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
the-lao,The Lao,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
hypersphere-ventures,Hypersphere Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
fmfw-io-previously-bitcoin-com,FMFW,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
bitscale-capital,BitScale Capital,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
digital-finance-group-dfg,Digital Finance Group (DFG),subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
digital-strategies,Digital Strategies,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
kosmos-ventures,Kosmos Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
moonwhale-ventures,Moonwhale Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
p2p-capital,P2P Capital,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
d1-ventures,D1 Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
dweb3-capital,DWeb3 Capital,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
alliance-dao,Alliance,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
polkawarriors,PolkaWarriors,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
parallel-ventures,Parallel Ventures,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
moonbeam-network,Moonbeam Network,subquery-network,SQT,1800000,Seed Round,2021-03-01T00:00:00Z,Web 3.0,15000000
chain-capital,Chain Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
ybb-foundation,YBB Foundation,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
blockhunter-capital,Blockhunter Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
zbs-capital,ZBS Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
oasis-capital,Oasis Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
onemax-capital,OneMax Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
bitblock-capital,Bitblock Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
gate-io,Gate.io,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
gains-associates,Gains Associates,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
spark-digital-capital,Spark Digital Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
magnus-capital,Magnus Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
7-o-clock-capital,7 O'Clock Capital,idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
digital-finance-group-dfg,Digital Finance Group (DFG),idavoll-network,IDV,1800000,Private Round,2021-02-01T00:00:00Z,,7200000
yoola,Yoola,weway,WWY,1800000,Private Sale,2021-12-01T00:00:00Z,Launchpad,30000000
velas,Velas,weway,WWY,1800000,Private Sale,2021-12-01T00:00:00Z,Launchpad,30000000
bscpad,BSCPad,weway,WWY,1800000,Private Sale,2021-12-01T00:00:00Z,Launchpad,30000000
poolz,Poolz,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
au21-capital,AU21 Capital,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
onebit-ventures,Onebit Ventures,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
zbs-capital,ZBS Capital,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
lotus-capital,Lotus capital,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
titans-ventures,Titans Ventures,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
x21-digital,x21 Digital,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
basics-capital,Basics Capital,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
bsc-station,BSC Station,howl-city,HWL,1800000,Strategic Sale,2021-10-01T00:00:00Z,Gaming,11340000
deltahub-capital,DeltaHub Capital,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
bbs-finance,BBS Finance,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
legion-ventures,Legion Ventures,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
gsr-markets-gsr,GSR Markets (GSR),enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
oxo-capital,OXO Capital,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
girnas-capital,Girnas Capital,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
kangaroo-capital,Kangaroo Capital,enrex,ENRX,1800000,Seed Round,2021-08-01T00:00:00Z,,10950000
ld-capital,LD Capital,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
signum-capital,Signum Capital,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
fbg-capital,FBG Capital,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
binance-labs,YZi Labs (prev Binance Labs),openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
parachain-ventures,Parachain Ventures,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
ybb-foundation,YBB Foundation,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
continue-capital,Continue Capital,openleverage,OLE,1800000,Private Round,2021-07-13T00:00:00Z,DeFi,18000000
morningstar-ventures,Morningstar Ventures,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
genblock-capital,Genblock Capital,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
acuitas-group-holdings,Acuitas Group Holdings,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
ngc-ventures-neo-global-capital,NGC Ventures,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
okx-ventures,OKX Ventures,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
poolz,Poolz,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
alphabit-fund,Alphabit Fund,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
blocksync-ventures,Blocksync Ventures,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
gemini-frontier-fund,Gemini Frontier Fund,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
chronos-ventures,Chronos Ventures,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
zokyo,Zokyo,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
acheron-capital,Acheron Capital,unifarm,UFARM,1800000,Private Round,2021-03-01T00:00:00Z,Polygon Ecosystem,20000000
genblock-capital,Genblock Capital,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
ledgerprime,LedgerPrime,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
ngc-ventures-neo-global-capital,NGC Ventures,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
zbs-capital,ZBS Capital,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
magnus-capital,Magnus Capital,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
qcp-soteria-qsn,QCP Soteria (QSN),rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
petrock-capital,PetRock Capital,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
parataxis,Parataxis,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
the-spartan-group,The Spartan Group,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
genesis-block-gbv,GBV Capital,rainbow-token,RNBW,1800000,Private Round 2,2021-05-01T00:00:00Z,,30000000
vbc-ventures,VBC Ventures,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
x21-digital,x21 Digital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
roseon-world-finance,Roseon World (Finance),place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
tk-ventures,TK Ventures,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
megala-ventures,Megala Ventures,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
exnetwork-capital,Exnetwork Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
kyros-ventures,Kyros Ventures,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
metrix-capital,Metrix Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
dutch-crypto-investors-dci,Dutch Crypto Investors (DCI),place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
lucidblue-ventures,LucidBlue Ventures,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
au21-capital,AU21 Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
zbs-capital,ZBS Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
bca-investment,BCA Investment,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
iotex-pad,Iotex Pad,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
icetea-labs-icetea-io,Icetea Labs (Icetea.io),place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
ld-capital,LD Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
ac-capital,AC Capital,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
reblock,ReBlock,place-war,PLACE,1800000,Private Round,2021-10-01T00:00:00Z,Gaming,12000000
peech-capital,Peech Capital,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
polygon,P2 Ventures,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
parafi-capital,ParaFi Capital,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
reblock,ReBlock,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
dao-maker,DAO Maker,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
metrix-capital,Metrix Capital,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
kyros-ventures,Kyros Ventures,metasoccer,MSU,1800000,Private Sale,2021-11-01T00:00:00Z,Gaming,9000000
cms-holdings-llc,CMS Holdings,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
solana-ventures,Solana Ventures,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
darkpool-ventures,Darkpool Ventures,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
skyvision-capital,SkyVision Capital,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
genesis-block-gbv,GBV Capital,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
solar-eco-fund,Solar Eco Fund,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
genblock-capital,Genblock Capital,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
skynet-trading,Skynet Trading,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
gate-io,Gate.io,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
double-peak,Double Peak,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
rok-capital,ROK Capital,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
zhuoxun-yin,Zhuoxun Yin,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
arnold-poernomo,Arnold Poernomo,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
nxgen-capital,NxGen,solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
mexc-global-privcode-capital,MEXC Global (Privcode Capital),solvent,SVT,1800000,Private Round,2022-01-01T00:00:00Z,NFT,18000000
sfermion,Sfermion,anichess,,1800000,Funding Round,2024-04-25T00:00:00Z,Gaming,18000000
fenbushi-capital,Fenbushi Capital,anichess,,1800000,Funding Round,2024-04-25T00:00:00Z,Gaming,18000000
snz-holding,SNZ Holding,anichess,,1800000,Funding Round,2024-04-25T00:00:00Z,Gaming,18000000
amber-group,Amber Group,anichess,,1800000,Funding Round,2024-04-25T00:00:00Z,Gaming,18000000
aspen-digital,Aspen Digital,anichess,,1800000,Funding Round,2024-04-25T00:00:00Z,Gaming,18000000
shima-capital,Shima Capital,affine,Affine,1800000,Pre-seed Round,2022-02-01T00:00:00Z,Liquid Staking Protocols,18000000
script-capital,Script Capital,affine,Affine,1800000,Pre-seed Round,2022-02-01T00:00:00Z,Liquid Staking Protocols,18000000
jaynti-kanani,Jaynti Kanani,affine,Affine,1800000,Pre-seed Round,2022-02-01T00:00:00Z,Liquid Staking Protocols,18000000
signum-capital,Signum Capital,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
balaji-srinivasan,Balaji Srinivasan,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
alliance-dao,Alliance,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
soma-capital,Soma Capital,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
alchemy,Alchemy,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
hashed-emergent,Hashed Emergent,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
blockchain-builders-fund,Blockchain Builders Fund,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
kommune,Kommune,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
nonce-classic,nonce Classic,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
cory-levy,Cory Levy,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
formulate-ventures,Formulate Ventures,0xpass,,1800000,Pre-seed,2023-09-11T00:00:00Z,Blockchain Service,18000000
kronos-research,Kronos Research,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
mirana-ventures,Mirana Ventures,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
orbs,Orbs,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
manifold-trading,Manifold Trading,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
selini-capital,Selini Capital,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
mantle,Mantle,intentx,INTX,1800000,Strategic Round,2024-02-12T00:00:00Z,DEX,18000000
y-combinator,Y Combinator,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
emurgo,Emurgo,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
mh-ventures,MH Ventures,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
stacker-ventures,Stacker Ventures,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
franklin-templeton,Franklin Templeton,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
cogitent-ventures,Cogitent Ventures,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
token-metrics,Token Metrics,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
asymmetry-capital,Asymmetry Capital,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
upsparks,Upsparks,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
asymmetry-ventures,Asymmetry Ventures,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
sudo-research,SuDo Research,ethosx,,1800000,Funding Round,2023-12-13T00:00:00Z,DeFi,18000000
