name,slug,category,market_cap,price,total_raised,rounds_count
DANA,ardana,DeFi,,,100000,5
PAF,pacific,NFT,,,100000,2
ZOMFI,zomfi,Gaming,,,100000,5
RIFI,rikkei-finance,DeFi,,,100000,5
SCT,solclout,Social,,,100000,6
DHR,dehr-network,Social,,,100000,3
MESA,mymessage,Big Data,,,100000,3
SCRL,wizarre-scroll,Gaming,,,100000,7
ECIO,ecio-space,Gaming,,,100000,6
AGV,astra-guild-ventures,Play to Earn,,,100000,15
SCY,synchrony,Application,,,100000,5
KKT,kingdom-karnage,Gaming,,,100000,6
MNFT,marvelous-nfts,NFT,,,100000,9
GGM,monster-galaxy,Gaming,,,100000,4
SAVG,savage,NFT,,,100000,6
VERVE,verve,BSCPad IDO,,,100000,6
MESA,metavisa,Protocol,,,100000,3
TRACE,trace-network-labs,Metaverse,,,100000,2
ALM,alium-finance,Finance,,,100000,8
ZONE,zone,Gaming,,,100000,7
LSC,last-survivor,Gaming,,,100000,4
GENI,gemuni,Gaming,,,100000,5
RBLS,rebel-bots,Polygon Ecosystem,,,100000,5
NESTA,nest-arcade,Play to Earn,,,100000,6
VULC,vulcano-token,Gaming,,,100000,5
PRIDE,nomad-exiles,Gaming,,,100000,10
KYOKO,kyoko,Gaming,,,100000,6
BLIN,blin-metaverse,Metaverse,,,100000,1
BPT,bold-point,Gaming,,,100000,4
OKLP,okletsplay,,,,100000,4
PEXO,plant-exodus,NFT,,,100000,2
TARI,tari-world,Metaverse,,,100000,1
KLAP,klap-finance,DeFi,,,100000,1
FDT,frutti-dino,Gaming,,,100000,3
BS,black-stallion,Metaverse,,,100000,2
TERZ,shelterz,Travel,,,100000,3
CONI,coniun,Web 3.0,,,100000,3
YESP,yesports,Gaming,,,100000,4
,nftgo,,,,100000,3
FBX,finblox,DeFi,,,100000,4
SPARTA,spartadex,DEX,,,100000,2
VV,virtual-versions,Artificial Intelligence (AI),,,100000,4
ELFIN,elfin-metaverse,Gaming,,,100000,3
,lendr-fi,DeFi,,,100000,2
KAI,kryptai-ico,,,,100000,1
HIGH,highstreet,Gaming,,,100001,4
STC,starcoin,Blockchain,,,100200,1
DVI,dvision-network,NFT,,,100450,2
SENSO,senso,,,,101380,1
PERI,peri-finance,Gate.io Launchpad,,,102375,4
VR,victoria-vr,VR,,,105000,4
TEMCO,temco,,,,105000,2
TVK,the-virtua-kolect,NFT,,,105000,4
MRCH,merchdao,DAO,,,105000,4
SUF,sui-fusion,Sui Ecosystem,,,105000,2
CELL,cellframe,Zero Knowledge,,,106500,2
STEPG,stepg,Move To Earn,,,108000,1
1EARTH,earthfund,Cryptocurrency,,,108205,3
VADER,vader-protocol,DeFi,,,109048,3
REAP,reapchain,Gate.io Launchpad,,,109781,1
FIS,stafi,DeFi,,,110000,4
BSCPAD,bscpad,Launchpad,,,110000,3
NGL,gold-fever-native-gold,Gaming,,,110000,5
NFTFY,nftfy,Poolz IDO,,,110000,5
KIAN,porta,,,,110000,4
ORBI,orbital7,Infrastructure,,,112000,4
SPAT,meta-spatial,Metaverse,,,113000,4
XGT,xion-finance,DeFi,,,113400,4
FS,fantomstarter,Investment,,,114000,3
VDR,vodra,Social,,,115000,4
FIL,filecoin,Storage,,,120000,3
PAY,tenx,Finance,,,120000,3
CARAT,alaska-gold-rush,Gaming,,,120000,2
NFTB,nftb,NFT,,,120000,2
FRM,ferrum-network,DeFi,,,120000,4
D2T,dash-2-trade,Analytics,,,120000,2
TANGO,keytango,,,,120000,5
BLANK,blank,Wallet,,,120000,2
BLP,bullperks,Launchpad,,,120000,4
FAN,fanadise,NFT,,,120000,5
NFTPAD,nftpad,NFT,,,120000,3
GAMER,gamestation,NFT,,,120000,6
ANOM,anomus-coin,Protocol,,,120000,4
POG,pog-coin,Gaming,,,120000,3
ZTG,zeitgeist,Predictions,,,120000,4
MOTG,metaoctagon,,,,120000,1
NEER,metaverse-network-pioneer,Gaming,,,120000,1
CVTX,carrieverse,Metaverse,,,120000,1
HOME,otterhome,DeFi,,,120000,1
SOURCE,resource-protocol,Celo Ecosystem,,,121000,5
FLETA,fleta,,,,121122,2
TABOO,taboo-token,NFT,,,121224,1
NRFB,nurifootball,Gaming,,,121423,1
ORBR,orbler,Play to Earn,,,122222,1
SILO,silo-finance,Protocol,,,122500,2
BRIGHT,bright-union,DeFi,,,123750,3
SLRS,solrise-finance,DeFi,,,124000,4
SUIRWAPIN,suirwapin,RWA (Real World Assets),,,124000,5
COPI,cornucopias,Gaming,,,125000,3
MAHA,mahadao,DeFi,,,125000,3
APYS,apyswap,Polkastarter IDO,,,125000,4
ATK,attack-wagon,Gaming,,,125000,4
ING,infinity-angel,Play to Earn,,,125000,1
DOWS,shadows,DeFi,,,125000,4
GS,genesis-shards,Polygon Ecosystem,,,125000,4
KMON,kryptomon,Play to Earn,,,125000,4
PATH,pathdao,DAO,,,125000,2
CTZN,totem-earth-systems,Metaverse,,,125000,3
SPG,space-crypto,Gaming,,,125000,3
DUST,dust-space,Web 3.0,,,125000,1
,lemon,Finance,,,125000,5
OBI,orbofi-ai,AI Agents,,,130000,2
MNY,moonienft,Play to Earn,,,130000,2
CBD,greenheart-cbd,Zendit IDO,,,132088,5
COPYCAT,copycat-finance,,,,133455,3
BORA,bora,Gaming,,,133531,1
EGO,ego-paysenger,Social,,,135000,8
BABI,babylons,Launchpad,,,136500,4
SCLP,scallop,DeFi,,,140000,4
CATGIRL,catgirl,,,,140000,1
L3P,lepricon,Poolz IDO,,,140000,4
OH,oh-finance,Avalanche Ecosystem,,,140000,5
PLACE,place-war,Gaming,,,140000,4
UMAD,madworld,NFT,,,140000,5
$INR,inery,Blockchain,,,142514,7
ANON,hey-anon,Artificial Intelligence (AI),,,144000,1
ALN,aluna,Gate.io Launchpad,,,144000,6
HWL,howl-city,Gaming,,,145000,3
ARNM,arenum,Play to Earn,,,145000,5
,via,Blockchain Service,,,145000,4
DAFI,dafi-protocol,DeFi,,,148500,3
CWT,crosswallet,BSCPad IDO,,,149250,2
PIZA,halfpizza,Gaming,,,149670,1
CRWNY,crowny-token,Solana Ecosystem,,,149850,3
SUPE,supe-infinity,Gaming,,,149965,1
SUPER,superfarm,NFT,,,150000,5
ZIG,zignaly,Artificial Intelligence (AI),,,150000,3
TRB,tellor,Oracle,,,150000,2
BRISE,bitrise-token,BNB Chain Ecosystem,,,150000,1
STORM,storm-trade,DEX,,,150000,1
BSW,biswap,DEX,,,150000,1
DUEL,gamegpt,Gaming,,,150000,3
LAND,landshare,Real Estate,,,150000,4
FOLD,manifold-finance,,,,150000,2
DEUS,deus-finance-2,Infrastructure,,,150000,1
CAPS,coin-capsule,Ignition IDO,,,150000,7
RITE,ritestream,BNB Chain Ecosystem,,,150000,5
DOMI,domi,Gaming,,,150000,6
ISK,iskra-token,Web 3.0,,,150000,2
COVAL,circuits-of-value,DeFi,,,150000,1
SOPH,sophiaverse,Artificial Intelligence (AI),,,150000,4
XTM,torum,,,,150000,4
SNS,synesis-one,DAO,,,150000,3
LAI,cryptogpt-token,AI Agents,,,150000,3
JGN,juggernaut,,,,150000,1
PBX,paribus,Cardano Ecosystem,,,150000,3
UFT,unlend-finance,DeFi,,,150000,3
POLYDOGE,polydoge,Meme,,,150000,1
MITX,morpheus-labs,,,,150000,2
ORE,ptokens-ore,Polygon Ecosystem,,,150000,3
NGM,e-money,Avalanche Ecosystem,,,150000,3
OFN,openfabric-ai,Artificial Intelligence (AI),,,150000,7
PATEX,patex,Layer-2,,,150000,6
PBUX,playbux,Social,,,150000,3
EBA,elpis-battle,Gaming,,,150000,3
MHUNT,metashooter,Play to Earn,,,150000,7
B3X,bnext-b3x,Algorand Ecosystem,,,150000,6
SFTY,stella-fantasy-token,Gaming,,,150000,2
FLT,fluence,DePIN,,,150000,3
TAU,lamden,Blockchain,,,150000,3
BLES,blind-boxes,NFT,,,150000,4
MOMA,mochi-market,Polygon Ecosystem,,,150000,2
NOA,noa-play,NFT,,,150000,1
PNDR,pandora-protocol,NFT,,,150000,1
MAT,my-master-war,Gaming,,,150000,3
AMY,amy-finance,Yield Farming,,,150000,2
CVR,covercompared,Insurance,,,150000,2
CHIM,chimeras,Gaming,,,150000,5
ENV,envoy-network,NFT,,,150000,2
LACE,lovelace-world,Infrastructure,,,150000,5
ELEN,everlens,NFT,,,150000,2
KAKA,kaka-nft-world,DeFi,,,150000,4
KXA,kryxivia-game,Gaming,,,150000,6
DPT,diviner-protocol,PancakeSwap IDO,,,150000,3
GSG,gamesta,Gaming,,,150000,6
BVC,battle-verse,Gaming,,,150000,8
RIM,metarim,NFT,,,150000,3
RATIO,ratio-protocol,Protocol,,,150000,6
SLCL,solcial,Social,,,150000,2
SRT,smart-reward-token,Cryptocurrency,,,150000,1
WND,wonderhero-2,Gaming,,,150000,3
BBL,beoble,Social,,,150000,4
CRDS,cradles,Gaming,,,150000,3
MZR,mizar,Trading Bot,,,150000,4
RNVI,renovi,Advertising,,,150000,5
,abrakadabra-games,Gaming,,,150000,2
,pinata-ico,,,,150000,3
RNDX,roundx-ico,,,,150000,1
,multis-ico,,,,150000,3
TIME,chronobank,Avalanche Ecosystem,,,150052,2
CTT,cashtree-token,Blockchain Service,,,150150,1
TEER,integritee,Blockchain,,,150500,2
FRR,front-row,NFT,,,150600,1
1SOL,1sol,DEX,,,152000,5
CPHR,polkacipher,DeFi,,,153000,3
FLAME,firestarter,Launchpad,,,154948,3
PAID,paid-network,Launchpad,,,155000,4
RACEFI,racefi,Gaming,,,155000,4
MLK,milk-alliance,BNB Chain Ecosystem,,,155172,4
LOCG,locgame,Polygon Ecosystem,,,156060,3
ETERNAL,cryptomines-eternal,Play to Earn,,,156699,2
MOOV,dotmoovs,Sport,,,160000,2
PORT,port-finance,Lending Platform,,,160000,4
RAGE,rage-fan,Sport,,,160000,3
PNL,true-pnl,DAO,,,160000,4
JET,jet,Lending Platform,,,160000,3
BGS,battle-of-guardians-share,Gaming,,,160000,5
SWPR,the-swappery,DEX,,,160000,3
SMCW,space-misfits,Play to Earn,,,160000,5
SFP,safepal,Wallet,,,164600,4
POL,polygon-ecosystem-token,Layer-2,,,165000,3
MATIC,matic-network,Blockchain,,,165000,3
EXD,exorde,Blockchain Service,,,165000,3
FLZ,fellaz,NFT,,,166650,1
KIN,kin,Social,,,168732,1
GMPD,gamespad,Gaming,,,170000,4
RPG,revolve-games,Gaming,,,171000,5
MONO,the-monopolist,Gaming,,,175000,3
SCA,scaleswap-token,Launchpad,,,175000,3
HOL,hololoot,Metaverse,,,175000,5
CREATE,creaton-ico,,,,175000,2
ALGOBLK,algoblocks,DeFi,,,176363,4
WALLET,ambire-wallet,Wallet,,,180000,2
DON,don-key,,,,180000,3
FINE,refinable,NFT,,,180000,2
SHO,showcase-token,DAO Maker IDO,,,180000,4
DFC,defi-city,DeFi,,,180000,4
VENT,vent-finance,DeFi,,,180000,5
ELMON,elemon,Gaming,,,180000,3
MUBI,multibit,Multi-Chain Platform,,,180312,1
ARBI,arbipad,Launchpad,,,182550,3
BLT,blocto-token,DeFi,,,183340,7
Qmall,qmall,Cryptocurrency,,,185000,6
BRDG,bridge-network,Application,,,185000,4
SERO,super-zero,Privacy Coin,,,186300,3
VRA,verasity,Wallet,,,187500,2
POLS,polkastarter,Launchpad,,,187500,2
OPS,octopus-protocol,Ignition IDO,,,187500,5
DMLG,demole,Gaming,,,187500,3
DEFY,defy,Polygon Ecosystem,,,187500,5
WNCG,wrapped-ncg,Wrapped Token,,,190000,3
KINGSHIB,king-shiba,Meme,,,190000,1
ZOO,zoodao,NFT,,,191000,3
GMEE,gamee,Gaming,,,194400,5
PNK,kleros,Predictions,,,194750,3
TOKAMAK,tokamak-network,Layer-2,,,195000,3
PRQ,parsiq,Infrastructure,,,196735,3
ARKER,arker-2,Gaming,,,199980,3
IOTX,iotex,IOT,,,200000,4
STORJ,storj,Storage,,,200000,5
BICO,biconomy,DeFi,,,200000,7
FIDA,bonfida-sns,DeFi,,,200000,4
QANX,qanplatform,Blockchain,,,200000,5
DKA,dkargo,Blockchain Service,,,200000,3
COOKIE,cookie,Social,,,200000,7
BANK,lorenzo-protocol,Protocol,,,200000,1
HDX,hydradx,DeFi,,,200000,2
KCT,konnect,Cryptocurrency,,,200000,1
RWA,allo,DeFi,,,200000,3
OPUL,opulous,NFT,,,200000,6
STEP,step-finance,DeFi,,,200000,2
TRUF,truflation,RWA (Real World Assets),,,200000,3
OBOT,obortech,DePIN,,,200000,2
OMNI,omni,Blockchain,,,200000,4
GAINS,gains,Poolz IDO,,,200000,3
DIO,decimated,Play to Earn,,,200000,6
LMR,lumerin,Web 3.0,,,200000,4
CRU,crust-network,DePIN,,,200000,4
GENE,genopets,Play to Earn,,,200000,5
PDEX,polkadex,Polkastarter IDO,,,200000,6
OXY,oxygen,Solana Ecosystem,,,200000,5
SMH,spacemesh,Blockchain,,,200000,3
HID,hypersign-identity-token,Polygon Ecosystem,,,200000,3
MRLN,project-merlin,Binance Alpha,,,200000,4
VIA,octavia,Artificial Intelligence (AI),,,200000,6
KTN,kattana,Polygon Ecosystem,,,200000,4
F3,friend3,Social,,,200000,4
IONX,charged-particles,NFT,,,200000,3
FOAM,foam-protocol,Cosmos Ecosystem,,,200000,2
UNO,uno-re,Ethereum Ecosystem,,,200000,2
ECLIP,eclipse-fi,DeFi,,,200000,5
IDV,idavoll-network,,,,200000,2
EMON,ethermon,Polkastarter IDO,,,200000,1
WFAIR,wallfair,,,,200000,3
WWY,weway,Launchpad,,,200000,4
CRP,cropperfinance,DeFi,,,200000,4
GDT,globe-derivative-exchange,Ignition IDO,,,200000,9
VEE,vee-finance,Avalanche Ecosystem,,,200000,4
SONAR,sonarwatch,DeFi,,,200000,2
NOVA,nova-finance,Solana Ecosystem,,,200000,2
LEGION,legion-ventures,DeFi,,,200000,3
REL,relevant,Media,,,200000,1
FXF,finxflo,Polkastarter IDO,,,200000,1
KONO,konomi-network,Polkastarter IDO,,,200000,4
DDOS,disbalancer,Gate.io Launchpad,,,200000,3
1MIL,1million-nfts,NFT,,,200000,3
DOP,drops-ownership-power,DeFi,,,200000,2
BUNI,bunicorn,NFT,,,200000,2
CART,cryptoart-ai,NFT,,,200000,2
LTY,ledgity,TrustPad IDO,,,200000,2
POLI,polinate,Polkastarter IDO,,,200000,4
PIX,privi-pix,Ignition IDO,,,200000,2
BNPL,bnpl-pay-old,,,,200000,3
TTK,the-three-kingdoms,Gaming,,,200000,3
EVRY,evrynet,DeFi,,,200000,2
BLXM,bloxmove-erc20,Protocol,,,200000,5
ERP,entropyfi,Oracle,,,200000,2
ONSTON,onston,VR,,,200000,1
ZODI,zodium,NFT,,,200000,4
SPRT,sportium,NFT,,,200000,4
GEO$,geopoly,Gaming,,,200000,4
OGS,ouro-governance-share,Governance,,,200000,2
SVT,solvent,NFT,,,200000,4
LKN,lockness,Cryptocurrency,,,200000,5
SEEDED,seeded-network,DeFi,,,200000,3
UNT,universe-finance-token,Finance,,,200000,1
TAUM,orbitau,Gaming,,,200000,6
RUN,run-together,Sport,,,200000,2
WTR,deepwaters,DEX,,,200000,7
ROSX,roseon,DeFi,,,200000,3
SUID,suidex,Sui Ecosystem,,,200000,2
,lagom-chain,Blockchain,,,200000,1
,rivo,Liquid Staking Protocols,,,200000,1
,xp-finance,DeFi,,,200000,1
,reveel,Blockchain Service,,,200000,2
DFTY,deftify-ico,,,,200000,3
MV,gensokishis-metaverse,Gaming,,,200002,5
MARSH,unmarshal,Oracle,,,204000,2
5IRE,5ire,Blockchain Service,,,204000,7
DUET,duet-protocol,PancakeSwap IDO,,,205898,4
FCTR,factordao,Arbitrum Ecosystem,,,210000,2
STACK,stackos,Ignition IDO,,,210000,2
,cv-pad,Launchpad,,,210000,3
KLAI,kira-nexus,Web 3.0,,,210000,2
,wiv-technology-ico,,,,210000,4
SHOPX,splyt,NFT,,,219000,4
SGB,songbird,,,,220000,1
LYXE,lukso-token,Infrastructure,,,220000,3
STAKE,xdai-stake,Elrond Ecosystem,,,220000,3
FIWA,defi-warrior,Play to Earn,,,220000,2
INXT,internxt,IOT,,,220800,2
BSSB,bitstable-finance,DeFi,,,223230,1
RUNE,thorchain,DeFi,,,224000,4
PRXY,proxy,DeFi,,,225000,1
REALM,realm,Play to Earn,,,225000,3
OMNIA,omnia-protocol,DePIN,,,230000,5
SHI,shirtum,Sport,,,232787,4
THOL,angelblock,Web 3.0,,,235088,3
GRAPE,grapecoin,Gaming,,,237500,2
BIRD,bird-money,Oracle,,,239978,1
NTVRK,netvrk,TrustPad IDO,,,240000,5
VELAR,velar,DeFi,,,240000,2
TPAD,trustpad,Launchpad,,,240000,5
SOFI,rai-finance,Avalanche Ecosystem,,,240000,3
RVF,rocket-vault-rocketx,DeFi,,,240000,5
TITA,titan-hunters,Gaming,,,240000,3
BEM,bemil-coin,Play to Earn,,,240000,4
NXM,nxm,Insurance,,,240303,2
HOD,hodooi-com,NFT,,,243750,3
LYP,lympid,Real Estate,,,246400,4
LETIT,letit-token,Application,,,247942,2
POLIS,star-atlas-dao,Gaming,,,248400,3
ATLAS,star-atlas,NFT,,,248400,4
FORM,formation-fi,DAO Maker IDO,,,249000,5
SNX,synthetix,DeFi,,,250000,7
BEAM,beam,Gaming,,,250000,3
WILD,wilder-world,NFT,,,250000,4
WOD,world-of-dypians,Gaming,,,250000,3
TRYB,bilira,Stablecoin,,,250000,2
VAI,vaiot,Artificial Intelligence (AI),,,250000,5
TURBOS,turbos-finance,DEX,,,250000,4
RJV,rejuve-ai,DeSci,,,250000,5
TDS,tordess,Blockchain Service,,,250000,2
NOTAI,notai,Gaming,,,250000,3
PLOT,plotx,Predictions,,,250000,4
CLS,coldstack,,,,250000,4
ERTHA,ertha,Gaming,,,250000,7
RAZOR,razor-network,Oracle,,,250000,3
SPO,spores-network,DeFi,,,250000,3
FRIN,fringe-finance,DeFi,,,250000,4
FP,forgotten-playland,Gaming,,,250000,2
GGG,good-games-guild,Gaming,,,250000,4
UMB,umbrella-network,Oracle,,,250000,2
MER,mercurial,Solana Ecosystem,,,250000,4
VPP,virtue-poker,,,,250000,1
OSQTH,opyn-squeeth,DeFi,,,250000,3
QUO,quoll-finance,Yield Aggregator,,,250000,1
GMRX,gaimin,Gaming,,,250000,3
BNTY,bounty0x,,,,250000,2
ARGO,argo,Ignition IDO,,,250000,2
OPT,open-predict-token,Predictions,,,250000,1
EROWAN,sifchain,DEX,,,250000,3
MINT,public-mint,Polkastarter IDO,,,250000,4
TCP,the-crypto-prophecies,Gaming,,,250000,4
MEM,memecoin,,,,250000,5
PERA,pera-finance,DeFi,,,250000,3
CW,cardwallet,DeFi,,,250000,1
SNK,snook,DAO Maker IDO,,,250000,4
KWT,kawaii-islands,Play to Earn,,,250000,2
FIGHT,crypto-fight-club,Play to Earn,,,250000,3
VSTA,vesta-finance,Lending Platform,,,250000,3
BLUES,blueshift,AMM,,,250000,1
PRANA,nirvana-prana,Cryptocurrency,,,250000,1
WEEBS,weebs,Gaming,,,250000,3
DJOBZY,djobzy,Multi-Chain Platform,,,250000,3
,trepa,DeFi,,,250000,2
,localpay,Wallet,,,250000,1
,cargobill,Blockchain Service,,,250000,1
,typex-keyboard,Blockchain Service,,,250000,1
,tapedrive,Infrastructure,,,250000,1
,metengine,DeFi,,,250000,1
,slant,Blockchain Service,,,250000,1
,decal,Blockchain Service,,,250000,1
,crypto-fantasy-league-2,Gaming,,,250000,1
,tempo-trade,DeFi,,,250000,1
,hylo,DeFi,,,250000,2
REVV,animoca-brands-ico,,,,250000,18
XCAD,xcad-network,Gate.io Launchpad,,,250250,2
MOD,modefi,Oracle,,,252000,3
C3,charli3,Oracle,,,254228,3
PCNT,playcent,NFT,,,256500,4
ISP,ispolink,Polygon Ecosystem,,,260000,5
UBXN,upbots,Ethereum Ecosystem,,,260000,1
GM,ghostmarket,NFT,,,260000,3
SXS,spheresxs,Launchpad,,,260000,4
,ordinox,DeFi,,,260000,2
DIA,dia-data,Oracle,,,267137,3
AZ,azbit,Finance,,,270000,3
EPIC,ethernity-chain,NFT,,,275000,2
KFT,knit-finance,DAO Maker IDO,,,277500,3
NFT,apenft,NFT,,,279997,2
LINA,linear,DeFi,,,280000,5
XNL,chronicle,DAO Maker IDO,,,280000,3
GX,grindery,Wallet,,,280000,2
ALPHR,alphr,Ignition IDO,,,280000,3
TECH,cryptomeda,Gaming,,,280000,3
ELT,element-black,NFT,,,280000,3
WMINIMA,wrapped-minima,Wrapped Token,,,280600,8
CGG,chain-guardians,Elrond Ecosystem,,,288000,2
FOC,theforce-trade,BSCPad IDO,,,292500,3
MONSTA,cake-monster,Meme,,,298110,1
ATOM,cosmos,Blockchain,,,300000,4
XCH,chia,Blockchain,,,300000,4
B2,bsquarednetwork,Layer-2,,,300000,1
IDIA,idia,Launchpad,,,300000,2
NOS,nosana,Artificial Intelligence (AI),,,300000,3
BLZ,bluzelle,Gaming,,,300000,4
BNC,bifrost-native-coin,Liquid Staking Protocols,,,300000,4
FAR,farcana,Gaming,,,300000,2
GOG,guild-of-guardians,Gaming,,,300000,4
NTX,nunet,Infrastructure,,,300000,4
EGG,nestree,,,,300000,2
STOS,stratos,DePIN,,,300000,2
TARA,taraxa,Gate.io Launchpad,,,300000,6
KEX,kira-network,Cosmos Ecosystem,,,300000,3
EYWA,eywa,Blockchain Service,,,300000,6
WAM,wam,Gaming,,,300000,3
HBB,hubble,Protocol,,,300000,8
HON,heroes-of-nft,Gaming,,,300000,4
WANA,wanaka-farm,Play to Earn,,,300000,3
STB,stabble,DEX,,,300000,4
GLCH,glitch-protocol,Polygon Ecosystem,,,300000,4
NAOS,naos-finance,Polkastarter IDO,,,300000,2
PEN,pentagon-games,Gaming,,,300000,2
MAPS,maps,Solana Ecosystem,,,300000,4
CBX,cropbytes,Gaming,,,300000,2
OCP,omni-consumer-protocol,BSCPad IDO,,,300000,2
AWARE,chainaware-ai,Blockchain Service,,,300000,2
SPIN,spintop,Gaming,,,300000,1
CONV,convergence,Polkadot Ecosystem,,,300000,3
BUNNY,pancake-bunny,DeFi,,,300000,2
FANT,phantasia,NFT,,,300000,2
FNX,fenix,DeFi,,,300000,1
RGP,rigel-protocol,,,,300000,3
ISA,islander,Avalanche Ecosystem,,,300000,3
GERO,gerowallet,DeFi,,,300000,2
STZ,99starz,NFT,,,300000,6
WRT,wingriders,DEX,,,300000,6
SLING,slingshot,Gaming,,,300000,4
CREDIT,credit-2,,,,300000,1
ROYA,royale,,,,300000,4
APN,apron,Infrastructure,,,300000,3
STAK,jigstack,DAO,,,300000,4
PARA,paralink-network,Polygon Ecosystem,,,300000,4
NFTA,nfraction,NFT,,,300000,4
SOLR,solrazr,Solana Ecosystem,,,300000,3
OJA,ojamu,Ignition IDO,,,300000,2
DWEB,decentraweb,Blockchain,,,300000,4
YIN,yin-finance,DeFi,,,300000,3
NEXT,shopnext,Cryptocurrency,,,300000,3
BTL,bitlocus,DeFi,,,300000,2
DV,dreamverse,Metaverse,,,300000,1
HPL,happyland,Gaming,,,300000,2
KTX,kwiktrust,NFT,,,300000,4
,stable-jack,DeFi,,,300000,2
,girin-labs,Wallet,,,300000,1
,centi,Wallet,,,300000,1
TMS,themis-ico,,,,300000,3
UOS,ultra,Gaming,,,300300,5
DFYN,dfyn-network,DEX,,,305000,3
CHRP,chirpley,Social,,,306000,4
CWAP,defire,,,,306250,3
FDZ,friendz,IOT,,,306360,2
SPHRI,spherium,DeFi,,,307000,4
K21,k21,NFT,,,310000,2
TAUR,marnotaur,DeFi,,,315000,2
KAON,akropolis,Blockchain,,,320000,2
SPELLFIRE,spellfire,Gaming,,,320000,3
FAST,podfast,Artificial Intelligence (AI),,,320000,1
CPD,coinspaid,DeFi,,,320000,3
STND,standard-protocol,Polkastarter IDO,,,325000,4
FNC,fancy-games,Gaming,,,325000,2
,ltv-protocol,DeFi,,,325000,1
SRM,serum,DeFi,,,330000,4
OKSE,okse,Wallet,,,330000,1
TOCE,tocen,DeFi,,,330500,2
FLIP,chainflip,AMM,,,337500,7
DLTA,delta-theta,DeFi,,,337500,2
RIAI,rabitiai,Blockchain Service,,,339000,3
GAME,gamestarter,NFT,,,340000,2
KAMPAY,kampay,,,,340000,1
OSWAP,openswap,Impossible Finance Launchpad,,,340000,2
,meme-vault,Blockchain Service,,,345000,1
THEOS,theos,,,,347100,3
CLOUD,sanctum,DeFi,,,350000,3
FTRB,faith-tribe,AscendEX Launchpad,,,350000,1
BRIDGE,hyperbridge-2,Blockchain Service,,,350000,3
CSIX,carbon-browser,Wallet,,,350000,2
BRKL,brokoli,NFT,,,350000,2
ANT,aragon,Cosmos Ecosystem,,,350000,3
RNBW,rainbow-token,,,,350000,3
PKEX,polkaex,DeFi,,,350000,3
GOFX,goosefx,DeFi,,,350000,2
DHP,dhealth,Healthcare,,,350000,1
ORB,klaycity-orb,Metaverse,,,350000,2
,guess-best,DeFi,,,350000,1
CMFI,compendium-fi,DeFi,,,352000,2
,agoralend,DeFi,,,353500,1
8PAY,8pay,Solana Ecosystem,,,355555,4
REVA,revault-network,Yield Farming,,,356740,3
AURA,aura-network,Infrastructure,,,360000,5
ZERC,derace,NFT,,,360000,2
HAWK,hawksight,DeFi,,,360000,2
CRAFT,talecraft,Avalanche Ecosystem,,,360000,5
GGR,gagarin,Launchpad,,,360000,1
HOOP,primal-hoop,PancakeSwap IDO,,,367500,4
NEAR,near,Blockchain,,,375000,9
MXM,mix-mob,Gaming,,,375000,4
XAR,arcana-network,Web 3.0,,,375000,2
KIB,kibble-exchange,DeFi,,,375000,3
FEVR,realfevr,NFT,,,384000,3
UFARM,unifarm,Polygon Ecosystem,,,392500,3
IMX,immutable-x,Layer-2,,,400000,10
LMWR,limewire,NFT,,,400000,4
HAI,hackenai,Ethereum Ecosystem,,,400000,1
DHB,dehub,Media,,,400000,1
MSUSD,main-street-usd,Stablecoin,,,400000,1
SDAO,singularitydao,Zendit IDO,,,400000,4
MOVE,bluemove,NFT,,,400000,1
MBS,monkeyball,Gaming,,,400000,3
ELDE,elderglade,Gaming,,,400000,2
FUND,unification,Cosmos Ecosystem,,,400000,2
RAVEN,raven-protocol,Artificial Intelligence (AI),,,400000,4
WF,wild-forest,Gaming,,,400000,5
PTF,powertrade-fuel,Derivatives,,,400000,1
YAY,yay-network,Launchpad,,,400000,4
FVT,finance-vote,Predictions,,,400000,3
CRA,crabada,Gaming,,,400000,3
KALM,kalmar,DeFi,,,400000,2
DXL,dexlab,Solana Ecosystem,,,400000,2
LOOT,loot,NFT,,,400000,2
CROS,cros,Layer-2,,,400000,3
RENA,warena,Gaming,,,400000,2
$MART,artmeta,Metaverse,,,400000,4
FCL,fractal,Polkastarter IDO,,,400000,2
AAPX,ampnet,Polygon Ecosystem,,,400000,1
TBC,terablock,BSCPad IDO,,,400000,2
IOI,ioi-token,Ignition IDO,,,400000,3
PACIFIC,pacific-defi,Yield Aggregator,,,400000,1
NFTY,nfty-token,NFT,,,400000,3
MONO,monox,DEX,,,400000,5
FINT,fintropy,Polygon Ecosystem,,,400000,2
MGOD,metagods,Gaming,,,400000,2
F2C,ftribe-fighters,Gaming,,,400000,3
HEC,heroeschained,Gaming,,,400000,5
MAPE,mecha-morphing,Gaming,,,400000,4
OBX,openblox,NFT,,,400000,2
MAR3,mar3-ai,Artificial Intelligence (AI),,,400000,2
,juicy-meme,DeFi,,,400000,1
,liquefy-ico,,,,400000,3
STARS,starlaunch,Launchpad,,,400200,2
BS,blacksmith-token,Trading Bot,,,405000,1
SNG,synergy-land,Gaming,,,408000,3
RPG,rangers-protocol-gas,Protocol,,,420000,3
PEL,propel-token,Multi-Chain Platform,,,420000,3
,based-3,DeFi,,,420000,1
CREDI,credefi,DeFi,,,430000,3
MIND,morpheus-labs-2,Infrastructure,,,430000,1
