project_name,project_slug,investor_count,total_invested_usd,market_cap_usd,roi,category,investors
Rain,rain,2,30500000,,,Finance,Lightspeed Venture Partners; Balaji Srinivasan
Nexus Laboratories,nexus-laboratories,2,50000000,,,Infrastructure,Lightspeed Venture Partners; Pantera Capital
Shentu,certik,2,0,38110000.0,,Blockchain Service,Lightspeed Venture Partners; Binance Labs
Brahma,brahma,2,8420000,,,DeFi,Lightspeed Venture Partners; Framework Ventures
Magic-link,magic-2,2,8000000,,,Blockchain Service,Lightspeed Venture Partners; Balaji Srinivasan
M^ZERO,m-zero,2,80000000,,,DeFi,Polychain Capital; Pantera Capital
ETHZilla,ethzilla-2,2,850000000,,,Finance,Polychain Capital; Electric Capital
Concrete Protocol,concrete-protocol,2,19000000,,,Protocol,Polychain Capital; Binance Labs
Fluent,fluent,2,16000000,,,Layer-2,Polychain Capital; Balaji Srinivasan
Hyperbolic,hyperbolic,2,19000000,,,Blockchain Service,Polychain Capital; Balaji Srinivasan
Monkey Tilt,monkey-tilt,2,60000000,,,Gaming,Polychain Capital; Pantera Capital
Brevis Network,brevis-network,2,15000000,,,Zero Knowledge,Polychain Capital; Binance Labs
Level,level-2,2,7200000,,,DeFi,Polychain Capital; Balaji Srinivasan
Ritual,ritual,2,25000000,,,Infrastructure,Polychain Capital; Balaji Srinivasan
DappOS,dappos,2,15300000,,,Blockchain Service,Polychain Capital; Binance Labs
Clique,clique,2,16000000,,,Infrastructure,Polychain Capital; Balaji Srinivasan
Allora,allora,2,0,29510000.0,,Blockchain Service,Polychain Capital; Framework Ventures
Nocturne,nocturne,2,12000000,,,Blockchain Service,Polychain Capital; Vitalik Buterin
Noble,noble,2,18300000,,,Blockchain Service,Polychain Capital; Paradigm
Light Protocol,light-protocol,2,8400000,,,Solana Ecosystem,Polychain Capital; Balaji Srinivasan
MatchboxDAO,matchboxdao-ico,2,15000000,,,,Polychain Capital; 1Kx
CoinDCX,coindcx-ico,2,270000000,,,,Polychain Capital; Pantera Capital
Nomad,nomad-ico,2,44800000,,,,Polychain Capital; 1Kx
Upshot,upshot-ico,2,44000000,,,,Polychain Capital; Framework Ventures
BBS Network,bbs-network,2,1100000,,,NFT,Polychain Capital; Binance Labs
Kresko,kresko-ico,2,4150000,,,,Polychain Capital; Electric Capital
X-Margin,x-margin-ico,2,16000000,,,,Polychain Capital; Paradigm
SAIL Token,clipper,2,34000000,,,Governance,Polychain Capital; Electric Capital
UX Chain,umee,2,12600000,,,DeFi,Polychain Capital; Ideo Colab Ventures
Overlay Protocol,overlay-protocol,2,4430000,,,Perpetual,Polychain Capital; 1Kx
River Financial,river-financial,2,17700000,,,Finance,Polychain Capital; Ideo Colab Ventures
Maple,maple,2,6400000,,,Lending Platform,Polychain Capital; Framework Ventures
Cozy Finance,cozy-finance-ico,2,4000000,,,,Polychain Capital; Electric Capital
Mill City Ventures III,mill-city-ventures-iii,2,900000000,,,Finance,Electric Capital; Pantera Capital
Kuru,kuru,2,23200000,,,DeFi,Electric Capital; Paradigm
SharpLink,sharplink,2,850000000,,,Sport,Electric Capital; Pantera Capital
Unto,unto,2,28800000,,,Blockchain,Electric Capital; Framework Ventures
Phoenix,phoenix-2,2,40000000,,,DEX,Electric Capital; Paradigm
Shadow,shadow,2,18000000,,,Blockchain Service,Electric Capital; Paradigm
Integral1,integral-2,2,17000000,,,Blockchain Service,Electric Capital; Balaji Srinivasan
Privy,privy,2,23300000,,,Web 3.0,Electric Capital; Paradigm
Visor,visor,2,7000000,,,,Electric Capital; 1Kx
4K,4k-ico,2,6000000,,,,Electric Capital; Ideo Colab Ventures
RabbitHole,rabbithole-ico,2,7200000,,,,Electric Capital; Framework Ventures
Crown,crown-2,2,21600000,,,Finance,Framework Ventures; Paradigm
USD.AI,usd-ai,2,13400000,,,DeFi,Framework Ventures; Binance Labs
Meanwhile,meanwhile,2,122000000,,,Insurance,Framework Ventures; Pantera Capital
Glow,glow-2,2,60000000,,,Blockchain Service,Framework Ventures; Union Square Ventures Usv
Sentient (Pre-Market),sentient,2,170000000,,,Blockchain Service,Framework Ventures; Pantera Capital
Utila,utila,2,23000000,,,Infrastructure,Framework Ventures; Balaji Srinivasan
Spearbit,spearbit,2,14000000,,,Social,Framework Ventures; 1Kx
Cantina,cantina,2,14000000,,,Web 3.0,Framework Ventures; 1Kx
Antimetal,antimetal,2,8600000,,,Blockchain Service,Framework Ventures; Ideo Colab Ventures
Proven,proven-ico,2,31600000,,,,Framework Ventures; Balaji Srinivasan
OneKey,onekey-ico,2,20000000,,,,Framework Ventures; Binance Labs
Smart Layer Network,smart-layer-network,2,6000000,,,Blockchain Service,Framework Ventures; Mark Cuban
Godcoin,godcoin,2,17000000,,,Gaming,Framework Ventures; Pantera Capital
Perion,perion,2,17200000,,,Gaming,Framework Ventures; Pantera Capital
AlchemyNFT,alchemynft-ico,2,12000000,,,,Framework Ventures; Mark Cuban
Yield Protocol,yieldprotocol,2,20000000,,,Lending Platform,Framework Ventures; Paradigm
Zapper,zapper-ico,2,30000000,,,,Framework Ventures; Mark Cuban
PowerTrade Fuel,powertrade-fuel,2,0,,,Derivatives,Framework Ventures; Pantera Capital
Pluralis Research,pluralis-research,2,15200000,,,Blockchain Service,Union Square Ventures Usv; Balaji Srinivasan
Paragraph,paragraph-ico,2,6700000,,,,Union Square Ventures Usv; Binance Labs
Symbiotic,symbiotic,2,34800000,,,Liquid Staking Protocols,Paradigm; Pantera Capital
Praxis,praxis,2,19200000,,,Artificial Intelligence (AI),Paradigm; Balaji Srinivasan
Bitso,bitso-ico,2,500000000,,,,Paradigm; Pantera Capital
Lens Chain,lens-chain,2,30000000,,,Blockchain Service,Balaji Srinivasan; Ideo Colab Ventures
Koop,koop-ico,2,10000000,,,,Balaji Srinivasan; 1Confirmation
TransCrypts,transcrypts,2,30000000,,,Blockchain Service,Mark Cuban; Pantera Capital
CryptoSlam,cryptoslam,2,18000000,,,Blockchain Service,Mark Cuban; Binance Labs
Coop Records,coop-records,2,9000000,,,Music,1Confirmation; 1Kx
BIO Protocol,bio-protocol,2,0,88380000.0,,DeSci,1Kx; Binance Labs
Covalent Query Token,covalent,2,5185937,,,Artificial Intelligence (AI),1Kx; Binance Labs
Aevo,aevo-dex,2,0,38670000.0,,DEX,Binance Labs; Pantera Capital
Sender AI,sender-ai,2,9000000,,,Artificial Intelligence (AI),Binance Labs; Pantera Capital
Pancake Bunny,pancake-bunny,2,3200000,,,DeFi,Binance Labs; Ideo Colab Ventures
MegaETH (Pre-Market),megaeth,2,40000000,,,Layer-2,Cobie; Vitalik Buterin
Rhino.fi,dvf,1,5000000,5960000000000.0,1192000.00,AMM,Lightspeed Venture Partners
Zcash,zcash,1,1000000,6460000000.0,6460.00,Privacy Coin,Pantera Capital
Ondo Finance,ondo-finance,1,4000000,1490000000.0,372.50,RWA (Real World Assets),Pantera Capital
Cartesi,cartesi,1,100000,33119999.999999996,331.20,Oracle,Binance Labs
Sonic Labs (prev. Fantom),sonic-labs,1,1600000,348120000.0,217.57,Blockchain,Jump Crypto
Fantom,fantom,1,1600000,262980000.00000003,164.36,Blockchain,Jump Crypto
Stacks,stacks,1,4000000,538940000.0,134.74,Blockchain,Union Square Ventures Usv
Curve DAO,curve-dao-token,1,5000000,552720000.0,110.54,DEX,Binance Labs
aelf,aelf,1,1000000,69080000.0,69.08,Infrastructure,1Kx
Folks,folks-finance,1,3000000,193050000.0,64.35,Lending Platform,Jump Crypto
Pudgy Penguins,pudgy-penguins,1,11000000,703410000.0,63.95,Meme,1Kx
Livepeer,livepeer,1,3000000,174270000.0,58.09,Infrastructure,Multicoin Capital
Tezos,tezos,1,10000000,519179999.99999994,51.92,Blockchain,Polychain Capital
SOON,soon,1,5000000,213400000.0,42.68,Blockchain Service,Jump Crypto
HOME,home,1,2000000,66390000.0,33.20,DeFi,Balaji Srinivasan
Tokocrypto,tokocrypto,1,500000,15650000.0,31.30,CEX,Binance Labs
Siacoin,siacoin,1,3000000,90030000.0,30.01,Storage,Paradigm
Sei,sei-network,1,30000000,882880000.0,29.43,Blockchain,Multicoin Capital
WazirX,wazirx,1,900000,26350000.0,29.28,CEX,Binance Labs
Render,render-token,1,30000000,822480000.0,27.42,Artificial Intelligence (AI),Multicoin Capital
MetaDAO,meta-2-2,1,5900000,141050000.0,23.91,Solana Ecosystem,Paradigm
Mind Network,mind-network,1,2500000,56410000.0,22.56,Blockchain Service,Binance Labs
Ampleforth,ampleforth,1,1750000,35910000.0,20.52,Algorithmic Stablecoins,Pantera Capital
Filecoin,filecoin,1,52000000,1010000000.0,19.42,Storage,Union Square Ventures Usv
Civic,civic,1,2750000,49660000.0,18.06,Software,Pantera Capital
Zebec Network,zebec-network,1,15000000,267190000.0,17.81,Infrastructure,Lightspeed Venture Partners
Irys,irys,1,3700000,63120000.0,17.06,Infrastructure,Framework Ventures
Open Campus,open-campus,1,5000000,83920000.0,16.78,Education,Binance Labs
DoubleZero,double-zero-crypto-coin,1,28000000,433930000.0,15.50,Infrastructure,Multicoin Capital
saffron.finance,saffron-finance,1,2000000,29160000.0,14.58,DeFi,Multicoin Capital
Grass,grass,1,10000000,143690000.0,14.37,Artificial Intelligence (AI),Polychain Capital
Api3,api3,1,3000000,42270000.0,14.09,Oracle,Pantera Capital
Terra Luna Classic,terra-luna,1,25000000,335830000.0,13.43,Blockchain,Pantera Capital
SKALE,skale,1,5745600,73170000.0,12.73,Layer-2,Multicoin Capital
Solar,swipe,1,3915000,45170000.0,11.54,Wallet,Binance Labs
Stable,stable-2,1,28000000,308700000.0,11.03,Blockchain,Egirl Capital
RedStone,redstone,1,7000000,76820000.0,10.97,Oracle,1Kx
GMT,stepn,1,5000000,52150000.0,10.43,Move To Earn,Binance Labs
HOPR,hopr,1,1000000,10360000.0,10.36,Privacy Coin,Binance Labs
Avantis,avantis,1,8000000,78260000.0,9.78,Perpetual,Pantera Capital
dForce Token,dforce-token,1,1500000,13210000.0,8.81,DeFi,Multicoin Capital
Momentum,momentum-3,1,5000000,42130000.0,8.43,DEX,Jump Crypto
Thales,thales,1,2500000,19150000.0,7.66,Yield Aggregator,Framework Ventures
Origin Protocol,origin-protocol,1,3000300,22810000.0,7.60,NFT,Pantera Capital
Derive,derive,1,3000000,21600000.0,7.20,Perpetual,Framework Ventures
The Arena,the-arena,1,2000000,12390000.0,6.20,Social,Balaji Srinivasan
Mountain Protocol USD,mountain-protocol-usd,1,8000000,47650000.0,5.96,Stablecoin,Multicoin Capital
OpenLedger,openledger-2,1,8000000,43920000.0,5.49,Infrastructure,Polychain Capital
Moonbeam,moonbeam,1,6000000,31310000.0,5.22,Blockchain,Binance Labs
Lagrange,lagrange-labs,1,13200000,66239999.99999999,5.02,Infrastructure,1Kx
ZEROBASE,zerobase,1,5000000,23480000.0,4.70,Zero Knowledge,Binance Labs
Caldera,caldera-era,1,9000000,42040000.0,4.67,Infrastructure,1Kx
Illuvium,illuvium,1,10000000,45950000.0,4.59,Gaming,Framework Ventures
Lista DAO,lista-dao,1,10000000,45230000.0,4.52,Liquid Staking Protocols,Binance Labs
NuCypher,nucypher,1,10700000,48390000.0,4.52,Protocol,Polychain Capital
AUSD,agora-2,1,50000000,216390000.0,4.33,Stablecoin,Paradigm
Stader,stader,1,4000000,17000000.0,4.25,Liquid Staking Protocols,Pantera Capital
WOO,woo-network,1,12000000,50600000.0,4.22,CEX,Binance Labs
Ancient8,ancient8,1,6000000,24820000.0,4.14,Layer-2,Pantera Capital
Tranchess,tranchess,1,1500000,6010000.0,4.01,Liquid Staking Protocols,Binance Labs
RARI,rarible,1,1750000,6920000.0,3.95,NFT,1Kx
Orca,orca,1,19025000,71590000.0,3.76,DEX,Polychain Capital
Gala,gala,1,100000000,339390000.0,3.39,BNB Chain Ecosystem,Binance Labs
THORSwap,thorswap,1,3750000,12680000.0,3.38,DEX,Ideo Colab Ventures
Suilend,suilend,1,4000000,13400000.0,3.35,Lending Platform,Balaji Srinivasan
INFINIT,infinit-2,1,6000000,19260000.0,3.21,DeFi,Electric Capital
Botto,botto,1,1670000,5270000.0,3.16,NFT,1Kx
Fusionist,fusionist,1,6600000,20560000.0,3.12,Gaming,Binance Labs
Harmony,harmony,1,18345600,55790000.0,3.04,Blockchain,Binance Labs
Zeta Markets,zeta-markets,1,5000000,15070000.0,3.01,DeFi,Electric Capital
Limitless,limitless,1,10000000,29860000.0,2.99,Predictions,1Confirmation
POL (ex-MATIC),polygon-ecosystem-token,1,450000000,1270000000.0,2.82,Layer-2,Andreessen Horowitz (a16z)
Dusk,dusk-network,1,8075557,21910000.0,2.71,Privacy Coin,Binance Labs
Taiko,taiko,1,15000000,39520000.0,2.63,Layer-2,Lightspeed Venture Partners
Quasar,quasar-2,1,5432100,13560000.0,2.50,DeFi,Polychain Capital
Bella Protocol,bella-protocol,1,4500000,10980000.0,2.44,DeFi,Binance Labs
Coin98,coin98,1,11250000,27130000.0,2.41,Wallet,Multicoin Capital
Beta Finance,beta-finance,1,5800000,11750000.0,2.03,Lending Platform,Multicoin Capital
Space and Time,space-and-time,1,20000000,38850000.0,1.94,Blockchain Service,Framework Ventures
Balancer,balancer,1,24250000,46900000.0,1.93,DeFi,Pantera Capital
Highstreet,highstreet,1,9852000,18590000.0,1.89,Gaming,Binance Labs
Neutron,neutron-2,1,10000000,18500000.0,1.85,Infrastructure,Binance Labs
Hooked Protocol,hooked-protocol,1,6000000,11010000.0,1.83,Gaming,Binance Labs
KernelDAO,kernel-dao,1,10000000,17780000.0,1.78,Liquid Staking Protocols,Binance Labs
Autonolas,autonolas,1,13800000,24020000.0,1.74,Artificial Intelligence (AI),1Kx
FIO Protocol,fio-protocol,1,5700000,9730000.0,1.71,Protocol,Binance Labs
Kyber Network Crystal,kyber-network-crystal,1,27132035,44000000.0,1.62,DeFi,Binance Labs
Succinct,succinct,1,55000000,81780000.0,1.49,Infrastructure,Paradigm
B3 (Base),b3-fun,1,21000000,30920000.0,1.47,Gaming,Pantera Capital
Radiant Capital,radiant-capital,1,10000000,13980000.0,1.40,DeFi,Binance Labs
io.net,io-net,1,30000000,41170000.0,1.37,Artificial Intelligence (AI),Multicoin Capital
REN,republic-protocol,1,4825000,6600000.0,1.37,DeFi,Polychain Capital
Quai Network,quai-network,1,8000000,10180000.0,1.27,Blockchain,Polychain Capital
Radworks,radicle,1,12000000,14960000.0,1.25,Governance,Electric Capital
Streamflow,streamflow,1,1900000,2340000.0,1.23,Blockchain Service,Jump Crypto
Usual,usual,1,10000000,12000000.0,1.20,Stablecoin Issuer,Binance Labs
CLV,clover-finance,1,6000000,7110000.0,1.19,Wallet,Polychain Capital
Oxen,loki-network,1,9027000,9900000.0,1.10,Nodes,1Kx
Omnity Convertible Token,octopus-network,1,3000000,3210000.0,1.07,Near Ecosystem,Electric Capital
Numbers Protocol,numbers-protocol,1,5253750,5470000.0,1.04,Media,Binance Labs
SWEAT,sweat-economy,1,10000000,9480000.0,0.95,Wallet,Electric Capital
Hemi,hemi-network,1,15000000,14170000.0,0.94,Modular Blockchain,Binance Labs
Ultiverse,ultiverse,1,5000000,4600000.0,0.92,Gaming,Binance Labs
Metadium,metadium,1,21539540,19620000.0,0.91,Protocol,1Kx
Moonwalk Fitness,moonwalk-fitness,1,3400000,2930000.0,0.86,Sport,Binance Labs
Yala,yala-finance,1,8000000,6880000.0,0.86,DeFi,Polychain Capital
Avail,avail,1,27000000,23150000.0,0.86,Blockchain,Balaji Srinivasan
FUNToken,funfair,1,26000000,21640000.0,0.83,Gaming,Pantera Capital
ShapeShift FOX,shapeshift-fox-token,1,10400000,8230000.0,0.79,DeFi,Pantera Capital
Aria,aria-3,1,15000000,11510000.0,0.77,RWA (Real World Assets),Polychain Capital
Sovryn,sovryn,1,5400000,4000000.0,0.74,DeFi,Balaji Srinivasan
Port3 Network,port3-network,1,3000000,2190000.0,0.73,DePIN,Jump Crypto
Pipe Network,pipe-network,1,10000000,6940000.0,0.69,Blockchain Service,Multicoin Capital
Agoric,agoric,1,6000000,4150000.0000000005,0.69,Coinlist Launchpad,Polychain Capital
Dora Factory,dora-factory-2,1,8000000,5490000.0,0.69,Infrastructure,Binance Labs
Oasys,oasys,1,20000000,12960000.0,0.65,Gaming,Jump Crypto
Blum,blum,1,5000000,3210000.0,0.64,DeFi,Binance Labs
ANGLE,angle-protocol,1,5000000,3190000.0,0.64,Protocol,Andreessen Horowitz (a16z)
Ref Finance,ref-finance,1,4800000,2970000.0,0.62,Near Ecosystem,Jump Crypto
Camp Network,camp-network,1,25000000,15340000.0,0.61,Layer-2,1Kx
Bluefin,bluefin,1,22800000,13050000.0,0.57,DEX,Polychain Capital
GoGoPool,gogopool,1,5000000,2780000.0,0.56,DeFi,Framework Ventures
Badger DAO,badger-dao,1,21000000,11490000.0,0.55,DeFi,Polychain Capital
OMG Network,omisego,1,25000000,12830000.0,0.51,Blockchain,Pantera Capital
Heroes of Mavia,heroes-of-mavia,1,5500000,2720000.0,0.49,Gaming,Binance Labs
Contentos,contentos,1,14250000,7020000.0,0.49,Media,Binance Labs
Sovrun,breederdao,1,10000000,4670000.0,0.47,Gaming,Andreessen Horowitz (a16z)
Spectral,spectral,1,6750000,3090000.0,0.46,Blockchain Service,Polychain Capital
Neon,neon,1,40000000,16309999.999999998,0.41,Layer-2,Ideo Colab Ventures
Ribbon Finance,ribbon-finance,1,8800000,3460000.0,0.39,DeFi,Paradigm
ApeCoin,apecoin,1,450000000,170930000.0,0.38,Metaverse,Andreessen Horowitz (a16z)
Gelato,gelato,1,11000000,4050000.0,0.37,Blockchain Service,Ideo Colab Ventures
Jenny Metaverse DAO Token,jenny-metaverse-dao-token,1,7000000,2530000.0,0.36,NFT,Multicoin Capital
Gata,aggregata,1,4000000,1430000.0,0.36,Artificial Intelligence (AI),Binance Labs
Obol Labs,obol-labs,1,12500000,4360000.0,0.35,DeFi,Pantera Capital
Xterio,xterio,1,15000000,5210000.0,0.35,Gaming,Binance Labs
Scroll,scroll,1,50000000,16140000.0,0.32,Blockchain,Polychain Capital
Lit Protocol,lit-protocol,1,13000000,4170000.0,0.32,Infrastructure,1Kx
Kadena,kadena,1,12900000,3970000.0,0.31,Blockchain,Multicoin Capital
AscendEx,asd,1,50000000,14870000.0,0.30,CEX,Polychain Capital
Eclipse,eclipse,1,50000000,14830000.0,0.30,Infrastructure,Polychain Capital
Cygnus,cygnus-finance,1,20000000,5680000.0,0.28,Blockchain,Egirl Capital
Saber,saber,1,7700000,2029999.9999999998,0.26,AMM,Multicoin Capital
XION,burnt-2,1,25000000,6430000.0,0.26,Blockchain,Multicoin Capital
Privasea AI,privasea,1,5000000,1240000.0,0.25,Artificial Intelligence (AI),Binance Labs
ZTX,ztx,1,13000000,2009999.9999999998,0.15,Social,Jump Crypto
Balance,balance,1,30000000,4410000.0,0.15,Gaming,Andreessen Horowitz (a16z)
Levva Protocol Token,levva-protocol-token,1,11000000,1580000.0,0.14,Artificial Intelligence (AI),1Kx
Multichain,multichain,1,60000000,5230000.0,0.09,Web 3.0,Binance Labs
Shardeum,shardeum,1,18719600,1580000.0,0.08,Infrastructure,Balaji Srinivasan
Analog,analog,1,16000000,1320000.0,0.08,Infrastructure,Balaji Srinivasan
Shrapnel,shrapnel,1,19500000,1570000.0,0.08,Gaming,Polychain Capital
Cere Network,cere-network,1,31000000,2470000.0,0.08,Big Data,Binance Labs
Shiden Network,shiden,1,22000000,1640000.0,0.07,NFT,Polychain Capital
Fleek,fleek,1,25000000,1560000.0,0.06,AI Agents,Polychain Capital
CreatorDAO,creatordao,1,20000000,1080000.0,0.05,DAO,Andreessen Horowitz (a16z)
Partior,partior,1,60000000,,,Finance,Jump Trading
Aera,aera,1,8000000,,,Blockchain Service,Jump Trading
ApeX,apex-token-2,1,0,64080000.0,,Perpetual,Jump Trading
Revolut,revolut,1,0,,,Finance,Andreessen Horowitz (a16z)
Bastion,bastion,1,14600000,,,Blockchain Service,Andreessen Horowitz (a16z)
Poseidon,poseidon-2,1,15000000,,,Blockchain Service,Andreessen Horowitz (a16z)
OpenRouter,openrouter,1,40000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Yupp,yupp,1,33000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Open Trade,open-trade,1,7000000,,,DeFi,Andreessen Horowitz (a16z)
Catena Labs,catena-labs,1,18000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Hedra,hedra,1,32000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Halliday,halliday,1,20000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Universal,universal,1,9000000,,,DEX,Andreessen Horowitz (a16z)
Legend,legend-3,1,15000000,,,Wallet,Andreessen Horowitz (a16z)
Merit Systems,merit-systems,1,10000000,,,Infrastructure,Andreessen Horowitz (a16z)
Tranched,tranched,1,3400000,,,Lending Platform,Andreessen Horowitz (a16z)
mbd,mbd,1,3000000,,,Social,Andreessen Horowitz (a16z)
Vlayer,vlayer,1,10000000,,,Infrastructure,Andreessen Horowitz (a16z)
Spire Labs,spire-labs,1,7000000,,,Infrastructure,Andreessen Horowitz (a16z)
Axal,axal,1,2500000,,,Blockchain Service,Andreessen Horowitz (a16z)
Skyfire,skyfire,1,1000000,,,Infrastructure,Andreessen Horowitz (a16z)
AminoChain,aminochain,1,5000000,,,Infrastructure,Andreessen Horowitz (a16z)
PIN AI,pin-ai,1,10000000,,,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
Cork Protocol,cork-protocol,1,0,,,DeFi,Andreessen Horowitz (a16z)
Blocksense Network,blocksense-network,1,4000000,,,Infrastructure,Andreessen Horowitz (a16z)
t1 Protocol,t1-protocol,1,2500000,,,Infrastructure,Andreessen Horowitz (a16z)
MyPrize,myprize,1,13000000,,,Gambling,Andreessen Horowitz (a16z)
MadWorld,madworld-2,1,13000000,,,Gaming,Andreessen Horowitz (a16z)
NodeKit,nodekit,1,0,,,Blockchain,Andreessen Horowitz (a16z)
formless,formless,1,2200000,,,Social,Andreessen Horowitz (a16z)
Dynamic,dynamic-ico,1,13500000,,,,Andreessen Horowitz (a16z)
Setter,setter,1,5000000,,,Social,Andreessen Horowitz (a16z)
EthXY,ethxy,1,1600000,,,Gaming,Andreessen Horowitz (a16z)
Stackr,stackr,1,5500000,,,Infrastructure,Andreessen Horowitz (a16z)
smlXL,smlxl,1,13400000,,,Blockchain Service,Andreessen Horowitz (a16z)
Freatic,freatic,1,3600000,,,Blockchain Service,Andreessen Horowitz (a16z)
MotherDuck,motherduck,1,52500000,,,Big Data,Andreessen Horowitz (a16z)
Ideogram AI ,ideogram-ai,1,16500000,,,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
socket,socket-2,1,20000000,,,Software,Andreessen Horowitz (a16z)
Sound.xyz,sound-xyz,1,20000000,,,Music,Andreessen Horowitz (a16z)
Narval,narval,1,4000000,,,Wallet,Andreessen Horowitz (a16z)
Gensyn,gensyn,1,43000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Character.ai,character-ai,1,150000000,,,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
CCP Games,ccp-games,1,40000000,,,Gaming,Andreessen Horowitz (a16z)
EVE Online,eve-online-ico,1,40000000,,,,Andreessen Horowitz (a16z)
Capsule Social,capsule-social-ico,1,0,,,,Andreessen Horowitz (a16z)
Alongside Crypto Market Index,alongside-crypto-market-index,1,11000000,,,Index,Andreessen Horowitz (a16z)
Carry1st,carry1st-ico,1,27000000,,,,Andreessen Horowitz (a16z)
Champions Ascension,champions-ascension-ico,1,32000000,,,,Andreessen Horowitz (a16z)
Voldex,voldex-ico,1,0,,,,Andreessen Horowitz (a16z)
Ready Player Me,ready-player-me-ico,1,56000000,,,,Andreessen Horowitz (a16z)
Cryptoys,cryptoys-ico,1,23000000,,,,Andreessen Horowitz (a16z)
Linera,linera,1,6000000,,,Infrastructure,Andreessen Horowitz (a16z)
PartyDAO,partydao,1,16400000,,,,Andreessen Horowitz (a16z)
BitCraft,bitcraft-ico,1,22000000,,,,Andreessen Horowitz (a16z)
Entrepreneur First,entrepreneur-first-ico,1,158000000,,,,Andreessen Horowitz (a16z)
TipTop,tiptop,1,23000000,,,Infrastructure,Andreessen Horowitz (a16z)
Flowcarbon,flowcarbon-ico,1,70000000,,,,Andreessen Horowitz (a16z)
Loop Crypto,loop-crypto,1,4000000,,,Infrastructure,Andreessen Horowitz (a16z)
Pahdo Labs,pahdo-labs,1,15000000,,,Gaming,Andreessen Horowitz (a16z)
Polygon,matic-network,1,450000000,,,Blockchain,Andreessen Horowitz (a16z)
Nansen,nansen,1,75000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Forte,forte,1,725000000,,,Blockchain Service,Andreessen Horowitz (a16z)
Virtually Human Studio,virtually-human-studio-ico,1,20000000,,,,Andreessen Horowitz (a16z)
Bitski,bitski-ico,1,19000000,,,,Andreessen Horowitz (a16z)
RTFKT Studios,rtfkt-studios-ico,1,8000000,,,,Andreessen Horowitz (a16z)
zerohash,zerohash,1,104000000,,,Blockchain Service,Jump Crypto
Cooking.City,cooking-city,1,7000000,,,Memepad,Jump Crypto
Nirvana Labs,nirvana-labs,1,6000000,,,Infrastructure,Jump Crypto
Securitize,securitize,1,0,,,Finance,Jump Crypto
Nodepay,nodecoin-2,1,0,,,Artificial Intelligence (AI),Jump Crypto
Nexus Interactive,nexus-interactive,1,2000000,,,Gaming,Jump Crypto
Play AI,play-ai,1,4300000,,,Infrastructure,Jump Crypto
OpenCover,opencover,1,4600000,,,DeFi,Jump Crypto
LuminaDEX,luminadex,1,0,,,DeFi,Jump Crypto
Affine,affine,1,7000000,,,Liquid Staking Protocols,Jump Crypto
Xverse,xverse-wallet,1,5000000,,,Blockchain Service,Jump Crypto
OutDID,outdid,1,2500000,,,Blockchain Service,Jump Crypto
Cetus Protocol,cetus-protocol,1,0,24530000.0,,DEX,Jump Crypto
Delphi Labs,delphi-labs-ico,1,13500000,,,,Jump Crypto
P2P Validator,p2p-validator-ico,1,23000000,,,,Jump Crypto
C3,c3-ico,1,6000000,,,,Jump Crypto
Kolibrio,kolibrio-ico,1,2000000,,,,Jump Crypto
VRRB,vrrb-ico,1,1400000,,,,Jump Crypto
Outdefine,outdefine-ico,1,2500000,,,,Jump Crypto
Arcium,arcium,1,3500000,,,,Jump Crypto
Fly,fly-2,1,3000000,,,DeFi,Jump Crypto
zCloak,zcloak-ico,1,5800000,,,,Jump Crypto
double jump.tokyo,double-jump-tokyo,1,24000000,,,Gaming,Jump Crypto
OpenBlox,openblox,1,3000000,,,NFT,Jump Crypto
Burrow,burrow,1,5000000,,,Lending Platform,Jump Crypto
Slope,slope-ico,1,8000000,,,,Jump Crypto
Conduit,conduit-2,1,17000000,,,Blockchain Service,Jump Crypto
HXRO,hxro,1,34000000,,,Solana Ecosystem,Jump Crypto
Oh Baby Games,oh-baby-games,1,6000000,,,Gaming,Egirl Capital
Inference,inference,1,11800000,,,Blockchain Service,Multicoin Capital
CrunchDAO,crunchdao,1,5000000,,,Artificial Intelligence (AI),Multicoin Capital
Yield.xyz,yield-xyz,1,5000000,,,DeFi,Multicoin Capital
P2P.me,p2p-me,1,2000000,,,Blockchain Service,Multicoin Capital
FanTV,fantv,1,5500000,,,Blockchain Service,Multicoin Capital
Mevvy,mevvy,1,2800000,,,Blockchain Service,Multicoin Capital
Fuse,fuseenergy,1,12000000,,,Blockchain Service,Multicoin Capital
zkMe,zkme,1,4000000,,,Blockchain Service,Multicoin Capital
El Dorado,el-dorado,1,3000000,,,Blockchain Service,Multicoin Capital
Baxus,baxus,1,5000000,,,Social,Multicoin Capital
GLIF,glif,1,4500000,,,DeFi,Multicoin Capital
Fhenix,fhenix,1,7000000,,,Infrastructure,Multicoin Capital
