project_name,project_slug,fund_name,amount_usd,stage,date,category,market_cap,project_roi
Squads,squads,Multicoin Capital,5700000,Strategic Round,1697414400000,Blockchain Service,,
Blackbird,blackbird,Multicoin Capital,11000000,Seed Round,1696550400000,Social,,
Fhenix,fhenix,Multicoin Capital,7000000,Seed Round,1695686400000,Infrastructure,,
FastLane Labs,fastlane-labs,Multicoin Capital,2300000,Seed Round,1684800000000,Blockchain Service,,
Tableland,tableland,Multicoin Capital,8000000,Series A,1681948800000,Blockchain Service,,
Sei,sei-network,Multicoin Capital,30000000,Series A,1681171200000,Blockchain,882880000.0,29.43
Lore,lore-ico,Multicoin Capital,4000000,Strategic Round,1680307200000,,,
Fin (Prev. TipLink),fin,Multicoin Capital,6000000,Seed Round,1675209600000,Blockchain Service,,
Sec3,sec3-ico,Multicoin Capital,10000000,Seed Round,1672531200000,,,
Prysm,prysm-ico,Multicoin Capital,4000000,Funding Round,1668427200000,,,
Fluidity,fluidity-ico,Multicoin Capital,1300000,Seed Round,1666915200000,,,
Backpack,backpack,Multicoin Capital,20000000,Strategic Round,1664323200000,CEX,,
Hubble,hubble,Multicoin Capital,5000000,Strategic Fundraise,1662595200000,Protocol,,
Jito,jito-network,Multicoin Capital,12100000,Series A,1659312000000,Liquid Staking Protocols,164980000.0,2.22
Aptos,aptos,Multicoin Capital,150000000,Series A,1658707200000,Blockchain,1270000000.0,2.82
Farcaster,farcaster,Multicoin Capital,30000000,Funding Round,1656633600000,Social,,
Delphia,delphia-ico,Multicoin Capital,60000000,Series A Round,1654041600000,,,
Geode Finance,geode-finance-ico,Multicoin Capital,3000000,Seed Round,1654041600000,,,
FanTiger,fantiger-ico,Multicoin Capital,5500000,Seed Round,1651363200000,,,
Community Gaming,community-gaming,Multicoin Capital,16000000,Series A,1649289600000,Gaming,,
Fractal,fractal-ico,Multicoin Capital,35000000,Seed Round,1648771200000,Gaming,,
Helium,helium,Multicoin Capital,200000000,Series D Round,1645228800000,Social,339110000.0,0.55
Fluence,fluence,Multicoin Capital,9000000,Series A,1645142400000,DePIN,,
The Graph,the-graph,Multicoin Capital,205000000,Funding Round,1643673600000,Big Data,472420000.0,2.25
Web3Auth,web3auth,Multicoin Capital,13000000,Series A,1641945600000,Web 3.0,,
Exotic Markets,exotic-markets,Multicoin Capital,5000000,Venture Round,1641340800000,Oracle,,
Dune Analytics,dune-analytics,Multicoin Capital,69420000,Series B Round,1640995200000,Blockchain Service,,
Ceramic,ceramic-ico,Multicoin Capital,30000000,Series A Round,1640995200000,,,
Artificial Liquid Intelligence,alethea-artificial-liquid-intelligence-token,Multicoin Capital,12400000,Auction,1640682000000,NFT,23460000.0,0.53
Render,render-token,Multicoin Capital,30000000,Venture Round,1640044800000,Artificial Intelligence (AI),822480000.0,27.42
Galxe,project-galaxy,Multicoin Capital,10000000,Growth Backer Round 1,1638316800000,NFT,49210000.0,2.46
Gravity (prev. GAL),gravity-3,Multicoin Capital,10000000,Backers,1638316800000,Ethereum Ecosystem,42500000.0,2.12
Cyber,cyberconnect,Multicoin Capital,10000000,Seed Funding (Equity+SAFT),1635724800000,Blockchain Service,49430000.0,4.94
Swivel Finance,swivel-finance-ico,Multicoin Capital,3500000,Strategic Round,1635206400000,,,
World,worldcoin,Multicoin Capital,25000000,Seed Round,1634774400000,Artificial Intelligence (AI),1460000000.0,8.85
Timeswap,timeswap,Multicoin Capital,,Seed Round,1634774400000,DeFi,,
Beta Finance,beta-finance,Multicoin Capital,5800000,Equity Round,1633046400000,Lending Platform,11750000.0,2.03
LayerZero,layerzero,Multicoin Capital,6300000,Venture Round,1631750400000,Blockchain Service,290770000.0,1.48
EDEN,eden,Multicoin Capital,17400000,Seed Round,1631059200000,Infrastructure,,
UXD Protocol Token,uxd-protocol-token,Multicoin Capital,3000000,Seed Round,1630540800000,Algorithmic Stablecoins,,
Strips Finance,strips-finance,Multicoin Capital,8500000,Private Round,1630454400000,Derivatives,,
Saber,saber,Multicoin Capital,7700000,Seed Round,1627344000000,AMM,2029999.9999999998,0.26
FTX Token,ftx-token,Multicoin Capital,900000000,Series B,1625097600000,CEX,204670000.0,0.12
Grape Protocol,grape-2,Multicoin Capital,1200000,Seed Round,1625097600000,Application,,
Solana,solana,Multicoin Capital,314150000,Private Sale,1623246360000,Blockchain,74130000000.0,58.99
Coin98,coin98,Multicoin Capital,11250000,Strategic Round,1622505600000,Wallet,27130000.0,2.41
OpenOcean,openocean,Multicoin Capital,1718000,Private Round,1622505600000,DeFi,1390000.0,0.40
Jenny Metaverse DAO Token,jenny-metaverse-dao-token,Multicoin Capital,7000000,Seed Round,1619827200000,NFT,2530000.0,0.36
Qilin,qilin-ico,Multicoin Capital,800000,Seed Round,1619827200000,,,
Tibles,tibles-ico,Multicoin Capital,1140000,Seed Round 1,1619827200000,,,
Enso,enso,Multicoin Capital,5000000,Private Round,1617235200000,Blockchain Service,14280000.0,1.01
Realy Metaverse,realy-metaverse,Multicoin Capital,,Seed Round,1617235200000,Metaverse,,
Sommelier,sommelier,Multicoin Capital,3500000,Seed Round,1615334400000,DeFi,,
Manta Network,manta-network,Multicoin Capital,1100000,Pre-seed Round,1612224000000,Blockchain,38450000.0,1.47
saffron.finance,saffron-finance,Multicoin Capital,2000000,Seed Round,1612137600000,DeFi,29160000.0,14.58
Oxygen,oxygen,Multicoin Capital,40000000,Private Sale,1612137600000,Solana Ecosystem,,
Furucombo,furucombo,Multicoin Capital,1850000,Seed Round,1610042400000,DeFi,,
Salad Ventures,salad-ventures,Multicoin Capital,2000000,Seed Round,1609495200000,Gaming,,
MATH,math,Multicoin Capital,7800000,Series A,1604361600000,Wallet,4980000.0,0.25
Mina Protocol,mina-protocol,Multicoin Capital,6630000,Strategic Round (unlocked),1601510400000,Blockchain,116340000.0,0.98
Audius,audius,Multicoin Capital,3100000,Strategic Round,1593561600000,NFT,45960000.0,3.55
Perpetual Protocol,perpetual-protocol,Multicoin Capital,1800000,Strategic Round,1588291200000,Perpetual,6600000.0,2.87
dForce Token,dforce-token,Multicoin Capital,1500000,Strategic Round,1585699200000,DeFi,13210000.0,8.81
Arweave,arweave,Multicoin Capital,8300000,Private Round,1580515200000,Storage,256959999.99999997,7.74
SKALE,skale,Multicoin Capital,5745600,Venture Round,1569888000000,Layer-2,73170000.0,12.73
Near,near,Multicoin Capital,375000,Private Round 2,1561939200000,Blockchain,2150000000.0,14.01
THORChain,thorchain,Multicoin Capital,1610000,Private Sale,1561939200000,DeFi,234770000.0,43.80
Textile,textile-2,Multicoin Capital,1500000,Seed Round,1560211200000,Blockchain Service,,
Algorand,algorand,Multicoin Capital,62000000,Venture Round,1538352000000,Blockchain,1150000000.0,9.27
StarkNet,starknet,Multicoin Capital,30000000,Series A,1535760000000,Blockchain,502230000.0,5.12
Tari,tari,Multicoin Capital,,Seed Round,1528588800000,Protocol,,
Internet Computer,internet-computer,Multicoin Capital,102000000,Pre-Sale,1522540800000,Blockchain,1820000000.0,4.96
Kadena,kadena,Multicoin Capital,12900000,Presale Round 2,1522540800000,Blockchain,3970000.0,0.31
MobileCoin,mobilecoin,Multicoin Capital,30000000,Seed Round,1519862400000,Privacy Coin,37200000.0,0.62
Livepeer,livepeer,Multicoin Capital,3000000,Seed,1512086400000,Infrastructure,174270000.0,58.09
Nervos Network,nervos-network,Multicoin Capital,28000000,Seed,1508025600000,Blockchain,123470000.0,1.10
Standard Economics,standard-economics,Lightspeed Venture Partners,9000000,Seed Round,1761609600000,Blockchain Service,,
Lightyear,lightyear,Lightspeed Venture Partners,23000000,Series B,1753315200000,Finance,,
Magicblock,magicblock,Lightspeed Venture Partners,7500000,Seed Round,1745539200000,Infrastructure,,
Goodfire,goodfire,Lightspeed Venture Partners,50000000,Series A,1744848000000,Artificial Intelligence (AI),,
Rain,rain,Lightspeed Venture Partners,24500000,Series A,1742774400000,Finance,,
RedotPay,redotpay,Lightspeed Venture Partners,40000000,Series A,1741910400000,Blockchain Service,,
Chaos Labs,chaos-labs-ico,Lightspeed Venture Partners,55000000,Series A,1723680000000,,,
Nexus Laboratories,nexus-laboratories,Lightspeed Venture Partners,25000000,Series A,1717977600000,Infrastructure,,
Puffer,puffer-finance,Lightspeed Venture Partners,18000000,Series A Round,1713225600000,Liquid Staking Protocols,23690000.0,0.65
Shentu,certik,Lightspeed Venture Partners,,Funding Round,1710201600000,Blockchain Service,38110000.0,
Taiko,taiko,Lightspeed Venture Partners,15000000,Series A,1709337600000,Layer-2,39520000.0,2.63
Karak Network,karak-network,Lightspeed Venture Partners,48000000,Series A,1709078400000,Layer-2,,
Ethena,ethena-labs,Lightspeed Venture Partners,14000000,Seed Extension Round,1708041600000,DeFi,1930000000.0,8.46
Pontem Liquidswap,pontem-liquidswap,Lightspeed Venture Partners,6000000,Funding Round,1704931200000,Aptos Ecosystem,,
CharacterX,characterx,Lightspeed Venture Partners,2800000,Seed Round,1704585600000,Social,,
Medallion,medallion,Lightspeed Venture Partners,13700000,Series A,1703116800000,Blockchain Service,,
Blockchain.com,blockchain-com,Lightspeed Venture Partners,110000000,Series E,1699920000000,CEX,,
Econia,econia-ico,Lightspeed Venture Partners,6500000,Seed Round,1677628800000,,,
Sentio,sentio-ico,Lightspeed Venture Partners,6400000,Seed Round,1675209600000,,,
ZKsync,zksync,Lightspeed Venture Partners,200000000,Series C,1668556800000,Layer-2,281110000.0,0.43
Fordefi,fordefi-ico,Lightspeed Venture Partners,18000000,Seed Round,1667260800000,Wallet,,
MystenLabs,mystenlabs-ico,Lightspeed Venture Partners,300000000,Series B Round,1662595200000,,,
Sui,sui,Lightspeed Venture Partners,300000000,Series B,1661990400000,Blockchain,5810000000.0,4.70
Ultimate,ultimate-ico,Lightspeed Venture Partners,12500000,Series A Round,1659312000000,,,
Safe,safe,Lightspeed Venture Partners,100000000,Funding Round,1656633600000,Wallet,102640000.0,0.51
Magic Eden,magic-eden,Lightspeed Venture Partners,130000000,Series B Round,1654041600000,NFT,48040000.0,0.12
Pintu Token,pintu-token,Lightspeed Venture Partners,113000000,Series B,1654041600000,Cryptocurrency,2730000.0,0.01
Ballet,ballet-ico,Lightspeed Venture Partners,13000000,Series A,1654041600000,,,
Soba,soba-ico,Lightspeed Venture Partners,13500000,Seed Round,1654041600000,,,
Health Hero,health-hero-ico,Lightspeed Venture Partners,4500000,Private Round,1651363200000,,,
Treehouse,treehouse,Lightspeed Venture Partners,18000000,Seed Round,1647388800000,Liquid Staking Tokens (LSTs),18480000.0,0.51
Zebec Network,zebec-network,Lightspeed Venture Partners,15000000,Strategic Round,1646092800000,Infrastructure,267190000.0,17.81
Socket,socket,Lightspeed Venture Partners,5000000,Seed Round,1646092800000,Infrastructure,,
Brahma,brahma,Lightspeed Venture Partners,4210000,Seed Round,1645488000000,DeFi,,
Alchemy,alchemy-ico,Lightspeed Venture Partners,200000000,Series C Extended,1644192000000,,,
KGeN,kgen,Lightspeed Venture Partners,6000000,Funding Round,1642550400000,Gaming,36180000.0,1.86
IndiGG,indigg,Lightspeed Venture Partners,6000000,Seed Round,1642550400000,Gaming,,
FTX Token,ftx-token,Lightspeed Venture Partners,400000000,Series C,1640995200000,CEX,204670000.0,0.12
Arbitrum,arbitrum,Lightspeed Venture Partners,100000000,Series B,1630368000000,Layer-2,1160000000.0,2.76
Parallel Finance,parallel-finance,Lightspeed Venture Partners,22000000,Private Investors,1625097600000,Lending Platform,9460000.0,0.21
ECOx,ecox,Lightspeed Venture Partners,60000000,Series B,1625097600000,Ethereum Ecosystem,2710000.0,0.01
ECO,eco,Lightspeed Venture Partners,60000000,Series B,1625097600000,,1600000.0,0.01
Rhino.fi,dvf,Lightspeed Venture Partners,5000000,Strategic Round,1621296000000,AMM,5960000000000.0,1192000.00
Babel Finance,babel-finance-ico,Lightspeed Venture Partners,40000000,Series A,1619827200000,,,
Magic-link,magic-2,Lightspeed Venture Partners,4000000,Seed Round,1590710400000,Blockchain Service,,
Audius,audius,Lightspeed Venture Partners,5500000,Series A,1533081600000,NFT,45960000.0,3.55
Basis Cash,basis-cash,Lightspeed Venture Partners,133000000,Funding Round,1524009600000,Algorithmic Stablecoins,,
XRP,ripple,Lightspeed Venture Partners,,Funding Round,1364774400000,Cryptocurrency,120960000000.0,241.92
Cascade,cascade,Polychain Capital,15000000,Funding Round,1765238400000,CEX,,
Seismic,seismic-2,Polychain Capital,10000000,Funding Round,1762905600000,Blockchain,,
Tharimmune,tharimmune,Polychain Capital,540000000,Post-IPO,1762214400000,Healthcare,,
Greenlane Holdings,greenlane-holdings,Polychain Capital,110000000,PIPE,1760918400000,Finance,,
Grass,grass,Polychain Capital,10000000,Funding Round,1759795200000,Artificial Intelligence (AI),143690000.0,14.37
Aria,aria-3,Polychain Capital,15000000,Seed Round,1756857600000,RWA (Real World Assets),11510000.0,0.77
M^ZERO,m-zero,Polychain Capital,40000000,Series B,1756339200000,DeFi,,
Shrapnel,shrapnel,Polychain Capital,19500000,Funding Round,1755043200000,Gaming,1570000.0,0.08
Billions Network,billions-network,Polychain Capital,30000000,Funding Round,1753920000000,Blockchain Service,,
ETHZilla,ethzilla-2,Polychain Capital,425000000,PIPE,1753747200000,Finance,,
StablecoinX,stablecoinx,Polychain Capital,360000000,PIPE,1753056000000,Finance,,
Concrete Protocol,concrete-protocol,Polychain Capital,9500000,Strategic Round,1750636800000,Protocol,,
DogeOS,dogeos,Polychain Capital,6900000,Funding Round,1746489600000,Infrastructure,,
Warlock,warlock,Polychain Capital,8000000,Seed Round,1743033600000,DeFi,,
Ethena,ethena-labs,Polychain Capital,100000000,Private Sale,1740355200000,DeFi,1930000000.0,8.46
Fluent,fluent,Polychain Capital,8000000,Funding Round,1739923200000,Layer-2,,
corn,corn-2,Polychain Capital,8300000,Community,1737504000000,Layer-2,39720000.0,1.83
Oshi,oshi-2,Polychain Capital,12500000,Funding Round,1737072000000,Social,,
Superform,superform,Polychain Capital,3000000,Strategic Round,1733961600000,DeFi,,
Hyperbolic,hyperbolic,Polychain Capital,12000000,Series A,1733788800000,Blockchain Service,,
Talus network,talus-network,Polychain Capital,6000000,Strategic Round,1732579200000,Blockchain Service,,
Monkey Tilt,monkey-tilt,Polychain Capital,30000000,Series A,1732060800000,Gaming,,
Bitfinity Network ,bitfinity-network,Polychain Capital,12000000,Funding Round,1731974400000,Blockchain,,
StakeStone,stakestone,Polychain Capital,22000000,Funding Round,1731283200000,Liquid Staking Protocols,26860000.0,0.61
Brevis Network,brevis-network,Polychain Capital,7500000,Seed Round,1731283200000,Zero Knowledge,,
Yellow Card,yellow-card,Polychain Capital,33000000,Series C,1729036800000,Finance,,
Yala,yala-finance,Polychain Capital,8000000,Seed Round,1728518400000,DeFi,6880000.0,0.86
Bitlayer,bitlayer,Polychain Capital,9000000,Series A Extension,1728345600000,Layer-2,7190000.0,0.51
APRO,apro,Polychain Capital,3000000,Seed Round,1728259200000,Blockchain Service,25460000.0,8.49
Level,level-2,Polychain Capital,3600000,Funding Round,1724889600000,DeFi,,
Solayer,solayer,Polychain Capital,12000000,Seed Round,1724716800000,Liquid Staking Protocols,40820000.0,1.70
Story,story,Polychain Capital,80000000,Series B,1724198400000,Blockchain,665710000.0,3.60
Sahara AI,sahara-ai,Polychain Capital,37000000,Funding Round,1723593600000,Artificial Intelligence (AI),66030000.0,0.59
Pac Finance,pac-finance,Polychain Capital,1000000,Funding Round,1719964800000,DeFi,,
Lombard,lombard,Polychain Capital,16000000,Seed Round,1719878400000,DeFi,185490000.0,10.91
OpenLedger,openledger-2,Polychain Capital,8000000,Seed Round,1719878400000,Infrastructure,43920000.0,5.49
Pi Squared,pi-squared,Polychain Capital,12500000,Seed Round,1719878400000,Infrastructure,,
ORA,ora,Polychain Capital,20000000,Series A,1719360000000,Infrastructure,,
Nubit,nubit,Polychain Capital,8000000,Seed Round,1717545600000,Infrastructure,,
Babylon,babylon,Polychain Capital,70000000,Funding Round,1717027200000,Blockchain,53070000.0,0.34
Cysic,cysic-ico,Polychain Capital,12000000,pre-Series A,1716508800000,,,
Shogun,shogun,Polychain Capital,6900000,Seed Round,1715731200000,DeFi,,
Botanix Labs,botanix-labs,Polychain Capital,11500000,Seed Round,1715040000000,Blockchain,,
MilkyWay,milkyway-2,Polychain Capital,5000000,Seed Round,1714435200000,DeFi,1600000.0,0.16
Movement,movement,Polychain Capital,38000000,Series A,1714003200000,Infrastructure,110710000.0,2.91
Berachain,berachain,Polychain Capital,100000000,Series B,1712880000000,Blockchain,83910000.0,0.42
Stream Finance,stream-finance,Polychain Capital,1500000,Seed Round,1712707200000,DeFi,,
Playtron,playtron,Polychain Capital,10000000,Funding Round,1712707200000,Gaming,,
Ritual,ritual,Polychain Capital,,Funding Round,1712534400000,Infrastructure,,
Gasp (Mangata),gasp-2,Polychain Capital,5000000,Funding Round,1712102400000,DeFi,,
Sofamon,sofamon,Polychain Capital,,Seed Round,1712102400000,Social,,
DappOS,dappos,Polychain Capital,15300000,Series A,1711584000000,Blockchain Service,,
Polyhedra Network,polyhedra-network,Polychain Capital,20000000,Funding Round,1710374400000,Zero Knowledge,17680000.0,0.59
Clique,clique,Polychain Capital,8000000,Series A,1710374400000,Infrastructure,,
Eclipse,eclipse,Polychain Capital,50000000,Series A,1710115200000,Infrastructure,14830000.0,0.30
AltLayer,altlayer,Polychain Capital,14400000,Strategic Round,1708300800000,Blockchain Service,62390000.0,2.17
Allora,allora,Polychain Capital,,Funding Round,1706918400000,Blockchain Service,29510000.0,
Squid,squidrouter,Polychain Capital,4000000,Strategic Round,1706659200000,Blockchain Service,,
Drift Protocol,drift-protocol,Polychain Capital,23500000,Series A,1705968000000,Perpetual,87440000.0,1.80
Canza Finance ,canza-finance,Polychain Capital,2300000,Strategic Round,1705363200000,Blockchain Service,,
Particle,particle,Polychain Capital,,Seed Round,1705017600000,DeFi,,
Wynd Network,wynd-2,Polychain Capital,3500000,Seed Round,1702944000000,Infrastructure,,
Sona,sona,Polychain Capital,6900000,Seed Round,1701820800000,Blockchain Service,,
Rio Network,rio-network,Polychain Capital,,Seed Round,1701388800000,DeFi,,
Bioniq,bioniq,Polychain Capital,,Funding Round,1701216000000,Blockchain Service,,
CreateSafe,createsafe,Polychain Capital,4600000,Seed Round,1700092800000,Music,,
Nocturne,nocturne,Polychain Capital,6000000,Seed Round,1698192000000,Blockchain Service,,
Noble,noble,Polychain Capital,3300000,Seed Round,1698105600000,Blockchain Service,,
Goldlink,goldlink,Polychain Capital,1400000,Pre-seed,1691452800000,DeFi,,
Manta Network,manta-network,Polychain Capital,25000000,Series A,1689724800000,Blockchain,38450000.0,1.47
Everclear,connext,Polychain Capital,7500000,Strategic Round,1686700800000,DeFi,2600000.0,0.07
Webb Protocol,webb-protocol,Polychain Capital,7000000,Seed Round,1683504000000,Infrastructure,,
Thetanuts Finance,thetanuts-finance-ico,Polychain Capital,17000000,Funding Round,1679616000000,,,
Scroll,scroll,Polychain Capital,50000000,Funding Round,1678060800000,Blockchain,16140000.0,0.32
Cubist,cubist-ico,Polychain Capital,7000000,Seed Round,1677628800000,,,
Space ID,space-id,Polychain Capital,10000000,Strategic Round,1675728000000,Blockchain Service,89500000.0,8.95
EigenCloud (prev. EigenLayer),eigenlayer,Polychain Capital,50000000,Series A Round,1675209600000,Liquid Staking Protocols,220850000.0,1.30
Really,really-ico,Polychain Capital,18000000,Seed Round,1675209600000,,,
Quasar,quasar-2,Polychain Capital,5432100,Funding Round,1672531200000,DeFi,13560000.0,2.50
Nil Foundation,nil-foundation-ico,Polychain Capital,22000000,Venture Round,1672531200000,,,
Perennial,perennial,Polychain Capital,12000000,Seed Round,1670371200000,DeFi,,
Fleek,fleek,Polychain Capital,25000000,Series A,1669852800000,AI Agents,1560000.0,0.06
Evmos,evmos,Polychain Capital,27000000,Seed Round,1667347200000,Cosmos Ecosystem,,
t3rn,t3rn,Polychain Capital,6500000,Private Round,1667260800000,Infrastructure,,
Kollider,kollider-ico,Polychain Capital,2400000,Funding Round,1666742400000,,,
Celestia,celestia,Polychain Capital,55000000,Series A&B Round,1666137600000,Modular Blockchain,496030000.0,1.86
Light Protocol,light-protocol,Polychain Capital,4200000,Seed Round,1665964800000,Solana Ecosystem,,
Tapio Protocol,tapio-protocol-ico,Polychain Capital,4000000,Seed Round,1665964800000,,,
Uniswap,uniswap,Polychain Capital,165000000,Series B,1665619200000,DEX,3400000000.0,6.72
MatchboxDAO,matchboxdao-ico,Polychain Capital,7500000,Seed Round,1659312000000,,,
Hologram,hologram-ico,Polychain Capital,6500000,Seed Round,1656633600000,,,
DSCVR,dscvr-ico,Polychain Capital,9000000,Seed Round,1656633600000,,,
Satori,satori,Polychain Capital,10000000,Seed Round,1652659200000,DEX,,
Commonwealth,commonwealth-ico,Polychain Capital,20000000,Private Round,1651363200000,,,
CoinDCX,coindcx-ico,Polychain Capital,135000000,Series C,1650326400000,,,
Nomad,nomad-ico,Polychain Capital,22400000,Seed Round,1648771200000,,,
Quai Network,quai-network,Polychain Capital,8000000,Funding Round,1648080000000,Blockchain,10180000.0,1.27
Espresso Systems,espresso-systems,Polychain Capital,32000000,Seed Round,1646611200000,Infrastructure,,
Upshot,upshot-ico,Polychain Capital,22000000,Series A-2,1646092800000,,,
Aurigami,aurigami,Polychain Capital,9500000,Strategic Round,1643673600000,Lending Platform,,
Astar,astar,Polychain Capital,22000000,Funding Round,1643328000000,Layer-2,101660000.0,4.17
Shiden Network,shiden,Polychain Capital,22000000,Funding Round,1643328000000,NFT,1640000.0,0.07
BBS Network,bbs-network,Polychain Capital,550000,IDO on DAO Maker,1641340800000,NFT,,
vana,vana,Polychain Capital,2000000,Seed Round,1640995200000,Artificial Intelligence (AI),82200000.0,4.11
Spectral,spectral,Polychain Capital,6750000,Venture Round,1639008000000,Blockchain Service,3090000.0,0.46
Sperax,sperax,Polychain Capital,6000000,Private Sale,1638316800000,Stablecoin Issuer,11110000.0,0.93
AscendEx,asd,Polychain Capital,50000000,Series B,1635897600000,CEX,14870000.0,0.30
Anoma,anoma,Polychain Capital,26000000,Private Round,1635724800000,Infrastructure,46400000.0,0.91
Solend,solend,Polychain Capital,6500000,Seed,1635206400000,Lending Platform,24220000.0,1.86
Sommelier,sommelier,Polychain Capital,23000000,Series A,1634688000000,DeFi,,
Element Finance,element-finance-ico,Polychain Capital,32000000,Series A,1634601600000,,,
ORIGYN,origyn-foundation,Polychain Capital,20000000,Private Round,1633046400000,NFT,,
Kresko,kresko-ico,Polychain Capital,2350000,Seed Round,1633046400000,,,
Decentralized Social,bitclout,Polychain Capital,200000000,Venture Round,1632355200000,Blockchain,52770000.0,0.09
Bluefin,bluefin,Polychain Capital,22800000,Private Round,1631577600000,DEX,13050000.0,0.57
Credora,credora,Polychain Capital,8000000,Series A,1631491200000,Lending Platform,,
Orca,orca,Polychain Capital,19025000,Series A,1630454400000,DEX,71590000.0,3.76
X-Margin,x-margin-ico,Polychain Capital,8000000,Series A,1630454400000,,,
Prysm,prysm-ico,Polychain Capital,3000000,Seed Round,1630454400000,,,
Arbitrum,arbitrum,Polychain Capital,100000000,Series B,1630368000000,Layer-2,1160000000.0,2.76
Axelar,axelar,Polychain Capital,25858000,Series A,1625097600000,Infrastructure,135000000.0,2.26
Parallel Finance,parallel-finance,Polychain Capital,22000000,Private Investors,1625097600000,Lending Platform,9460000.0,0.21
SAIL Token,clipper,Polychain Capital,17000000,Seed Round,1625097600000,Governance,,
ValoraApp,valoraapp-ico,Polychain Capital,20000000,Seed Round,1625097600000,Wallet,,
Thesis,thesis-ico,Polychain Capital,21000000,Series A,1625097600000,,,
dYdX,dydx,Polychain Capital,65000000,Series C,1623715200000,DEX,156400000.0,0.58
Solana,solana,Polychain Capital,314150000,Private Sale,1623246360000,Blockchain,74130000000.0,58.99
Avalanche,avalanche,Polychain Capital,230000000,Venture Round,1622505600000,Blockchain,5770000000.0,23.85
SynFutures,synfutures,Polychain Capital,14000000,Series A Round,1622505600000,Perpetual,22220000.0,0.44
UX Chain,umee,Polychain Capital,6300000,Seed Round,1622505600000,DeFi,,
Friends With Benefits Pro,friends-with-benefits-pro,Polychain Capital,700000,Funding Round,1620302400000,,,
Nym,nym,Polychain Capital,6000000,Seed Round,1619827200000,Privacy Coin,40510000.0,1.47
Aleo,aleo,Polychain Capital,28000000,Series A,1617235200000,Zero Knowledge,84880000.0,0.33
Enso,enso,Polychain Capital,5000000,Private Round,1617235200000,Blockchain Service,14280000.0,1.01
Overlay Protocol,overlay-protocol,Polychain Capital,2215000,Funding Round,1615939200000,Perpetual,,
River Financial,river-financial,Polychain Capital,12000000,Series A,1615507200000,Finance,,
Syrup,syrup,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform,297540000.0,46.49
Maple,maple,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform,,
Moola Market,moola-market,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform,,
DFX Finance,dfx-finance,Polychain Capital,5000000,Seed Round,1614124800000,Governance,,
Badger DAO,badger-dao,Polychain Capital,21000000,DAO Treasury,1612137600000,DeFi,11490000.0,0.55
Parsec,parsec,Polychain Capital,1250000,Seed Round,1611792000000,Big Data,,
Notional Finance,notional-finance,Polychain Capital,1300000,Seed Round,1603670400000,DeFi,,
Polymarket,polymarket,Polychain Capital,4000000,Seed Round,1603065600000,DeFi,,
Mina Protocol,mina-protocol,Polychain Capital,6630000,Strategic Round (unlocked),1601510400000,Blockchain,116340000.0,0.98
Liquity,liquity,Polychain Capital,2400000,Seed Round,1600992000000,DeFi,40760000.0,3.77
Cozy Finance,cozy-finance-ico,Polychain Capital,2000000,Seed Round,1599091200000,,,
Alpha5,alpha5,Polychain Capital,1500000,Seed Round,1596672000000,,,
Acala,acala,Polychain Capital,7300000,Series A,1596240000000,DeFi,13120000.0,0.60
ROOK,rook,Polychain Capital,1440000,Seed Round,1593561600000,DeFi,,
Staker DAO,staker-dao,Polychain Capital,3000000,Series A Round,1593561600000,DAO,,
DerivaDAO,derivadao,Polychain Capital,2700000,Investment Round,1590969600000,DeFi,3100000.0,0.57
Fractal Network (Findora),findora,Polychain Capital,11970000,Private Round 2,1590969600000,Blockchain,,
CLV,clover-finance,Polychain Capital,6000000,Seed,1588291200000,Wallet,7110000.0,1.19
Horizon Blockchain Game,horizon-blockchain-game-ico,Polychain Capital,5000000,Funding Round,1583582400000,,,
Karura,karura,Polychain Capital,1400000,Seed Round,1583020800000,Kusama Ecosystem,1280000.0,0.08
Amber Group,amber-group-ico,Polychain Capital,28000000,Series A Round,1580515200000,,,
Compound,compound,Polychain Capital,25000000,Series A,1576022400000,DeFi,303410000.0,4.05
NuCypher,nucypher,Polychain Capital,10700000,SAFT Series 2,1569888000000,Protocol,48390000.0,4.52
FLEX Coin,flex-coin,Polychain Capital,10000000,Venture Round,1567296000000,CEX,13820000.0,1.23
Agoric,agoric,Polychain Capital,6000000,Early Backers Round,1556668800000,Coinlist Launchpad,4150000.0000000005,0.69
Celo,celo,Polychain Capital,30000000,Pre-launch sale 2,1546300800000,Layer-2,95500000.0,1.19
Keep Network,keep-network,Polychain Capital,7700000,Venture Round,1543708800000,DeFi,49670000.0,2.15
Spacemesh,spacemesh,Polychain Capital,15000000,Series A,1536143400000,Blockchain,,
Nervos Network,nervos-network,Polychain Capital,28224000,Private Round,1530403200000,Blockchain,123470000.0,1.10
Handshake,handshake,Polychain Capital,10200000,Private Sale,1530403200000,Infrastructure,2130000.0,0.05
Oasis,oasis-network,Polychain Capital,45000000,Backers,1526688000000,Blockchain,92900000.0,0.34
StarkNet,starknet,Polychain Capital,6000000,Seed Round,1525132800000,Blockchain,502230000.0,5.12
Internet Computer,internet-computer,Polychain Capital,102000000,Pre-Sale,1522540800000,Blockchain,1820000000.0,4.96
