slug,name,symbol,category,investor_category,status,trading,price_usd,market_cap_usd,fdv,volume_24h_usd,change_24h,change_7d,circulating_supply,total_supply,max_supply,locked_percent,locked_amount,unlocked_percent,ath_usd,atl_usd,ico_price_usd,ico_roi,total_raised_usd,rounds_info,twitter_score,top_funds_count,top_fund_names,all_investors_count,all_investor_names
goodfire,Goodfire,,Artificial Intelligence (AI),Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50000000,"Series A (2025-04-17): $50,000,000",422.77,1,Lightspeed Venture Partners,7,"Anthropic, B Capital Group, Lightspeed Venture Partners, Menlo Ventures, South Park Commons, Wing VC, Work-Bench"
gradient-network,Gradient Network,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10000000,"Seed Round (2025-06-17): $10,000,000",537.34,1,Multicoin Capital,3,"HongShan (ex-Sequoia China), Multicoin Capital, Pantera Capital"
greenlane-holdings,Greenlane Holdings,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,110000000,"PIPE (2025-10-20): $110,000,000",0,1,Polychain Capital,6,"Blockchain.com Ventures, CitizenX, Kraken, Northrock Capital, Polychain Capital, dao5"
halliday,Halliday,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series A (2025-03-18): $20,000,000",587.46,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Blizzard Fund (Avalanche Ecosystem), Credibly Neutral, SV Angel"
hedra,Hedra,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,200000000,0,0,0,0,0,,0,0,0,0,0,0,0,32000000,"Series A (2025-05-15): $32,000,000",755.18,1,Andreessen Horowitz (a16z),4,"Abstract Ventures, Andreessen Horowitz (a16z), Index Ventures, a16z speedrun"
inference,Inference,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11800000,"Seed Round (2025-10-14): $11,800,000",669.21,1,Multicoin Capital,13,"Albert Chen, Anatoly Yakovenko, Andrej Radonjic, Chaotic Capital, Founders Inc, Lucas Bruder, Mechanism Capital, Mert Mumtaz, Multicoin Capital, Santiago Roel Santos, Susan Carstensen, Topology Ventures, a16z crypto CSX"
inversion-capital,Inversion Capital,,Infrastructure,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,26500000,"Seed Round (2025-09-08): $26,500,000",1009.84,1,Balaji Srinivasan,35,"Alpen Capital (Prev. Comfy Capital), Andrew Steinwold, Balaji Srinivasan, Bodhi Ventures, Borderless Capital, Breed, Bryan Pellegrino, Casey K. Caruso, DCF GOD, Dragonfly Capital, Escape Velocity, Faction, Folius Ventures, Guy Young, HashKey Capital, Jason Badeaux, Jason Yanowitz, Joshua Lim, Lvna Capital, Metalayer Ventures, Mike Dudas, Mike Ippolito, Mirana Ventures, Moonrock Capital, Namik Muduroglu, ParaFi Capital, Portal Ventures, Race Capital, Rebecca Rettig, Serge Kassardjian"
kalshi,Kalshi,,Predictions,TOP Retail ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,11000000000,0,0,0,0,0,,0,0,0,0,0,0,0,1300000000,"Series D (2025-10-10): $300,000,000; Funding Round (2025-11-21): $1,000,000,000",1636.88,2,Andreessen Horowitz (a16z),9,"Andreessen Horowitz (a16z), Anthos Capital, CapitalG, Coinbase Ventures, Kevin Durant, Neo, Paradigm, Sequoia Capital, Spark"
legend-3,Legend,,Wallet,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-02-11): $15,000,000",0,1,Andreessen Horowitz (a16z),2,"Andreessen Horowitz (a16z), Coinbase Ventures"
lemon,Lemon,,Finance,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series B (2025-10-10): $20,000,000",418.08,1,Stani Kulechov,9,"Alumni Ventures, DRW Venture Capital, Endeavor Catalyst, F-Prime Capital, LambdaClass, ParaFi Capital, Persea VC, Stani Kulechov, VanEck"
li-fi,LI.FI,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,29000000,"Extended Series A Round (2025-12-11): $29,000,000",1215.92,1,Multicoin Capital,2,"CoinFund, Multicoin Capital"
ligero,Ligero,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,20000000,0,0,0,0,0,,0,0,0,0,0,0,0,4000000,"Seed Round (2025-02-26): $4,000,000",284.22,1,Franklin Templeton,13,"1kx, Anagram Crypto, Daniel Lubarov, Digital Currency Group (DCG), Franklin Templeton, Galaxy VC, Nascent, Nicola Greco, Robot Ventures, Saul Rejwan, Waikit Lau, Yoni Ben-Shimon, zkValidator (ZKV)"
lightyear,Lightyear,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,23000000,"Series B (2025-07-24): $23,000,000",116.31,1,Lightspeed Venture Partners,4,"Lightspeed Venture Partners, Metaplanet Holdings, NordicNinja, Skaala"
m-zero,M^ZERO,,DeFi,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series B (2025-08-28): $40,000,000",912.73,1,Polychain Capital,5,"Bain Capital Crypto, Endeavor Catalyst, Pantera Capital, Polychain Capital, Ribbit Capital"
magicblock,Magicblock,,Infrastructure,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7500000,"Seed Round (2025-04-25): $7,500,000",650.5,1,Lightspeed Venture Partners,13,"Anatoly Yakovenko, Delphi Ventures, Equilibrium Ventures, Lightspeed Venture Partners, Matt Sorg, Maven 11 Capital, Mechanism Capital, Mert Mumtaz, Pivot Global, Robot Ventures, Theo Gonella, Tristan Yver, chainyoda.eth"
merit-systems,Merit Systems,,Infrastructure,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10000000,"Seed Round (2025-01-16): $10,000,000",708.04,1,Andreessen Horowitz (a16z),6,"Anatoly Yakovenko, Andreessen Horowitz (a16z), Blockchain Capital, Dan Romero, Packy McCormick, Vance Spencer"
mevvy,Mevvy,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2800000,"Seed Round (2025-01-29): $2,800,000",182.16,1,Multicoin Capital,21,"Bede Schubert, Borderless Capital, Bruno F, Chapter One Ventures, Enigma, GSR Markets (GSR), Georgios Vlachos, Guy Young, Hypersphere Ventures, JPEG Trading, Joshua Lim, Modular Capital, Multicoin Capital, Nascent, Nathan Allman, RHINO, Relayer Capital, Selini Capital, Steven Kokinos, TN Lee, cygaar"
miden,Miden,,Blockchain,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,25000000,"Seed Round (2025-04-29): $25,000,000",694.67,1,Andreessen Horowitz (a16z),9,"1kx, Andreessen Horowitz (a16z), Finality Capital Partners, Hack VC, MH Ventures, P2 Ventures, Rune Christensen, Sreeram Kannan, Symbolic Capital"
mu-digital,Mu Digital,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1500000,"Pre-seed (2025-11-20): $1,500,000",270.21,1,Signum Capital,5,"CMS Holdings, Cointelegraph, Signum Capital, UOB Venture Management, echo"
nirvana-labs,Nirvana Labs,,Infrastructure,TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6000000,"Extended Seed Round (2025-05-13): $6,000,000",256.1,1,Jump Crypto,5,"Castle Island Ventures, Crucible Capital, Hash3, Jump Crypto, RW3 Ventures"
nous-research,Nous Research,,Artificial Intelligence (AI),Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Seed Round (2025-04-25): $20,000,000",1607.09,1,Distributed Global,3,"Delphi Digital (Delphi Labs), Distributed Global, North Island Ventures"
octane,Octane,,Blockchain Service,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6750000,"Seed Round (2025-04-08): $6,750,000",284.37,1,Balaji Srinivasan,9,"Archetype, Balaji Srinivasan, Circle, Druid Ventures, Duke Capital Partners, Gemini Frontier Fund, Legion Capital, Sina Habibian, Winklevoss Capital"
open-trade,Open Trade,,DeFi,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Strategic Round (2025-06-11): $7,000,000",281.67,1,Andreessen Horowitz (a16z),5,"AlbionVC, Andreessen Horowitz (a16z), CMCC Global, Mercury Fund, Notion Capital"
openrouter,OpenRouter,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,500000000,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series A (2025-06-27): $40,000,000",921.71,1,Andreessen Horowitz (a16z),3,"Andreessen Horowitz (a16z), Menlo Ventures, Sequoia Capital"
oshi-2,Oshi,,Social,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,12500000,"Funding Round (2025-01-17): $12,500,000",375.29,1,Polychain Capital,8,"CMT Digital, Folius Ventures, LIF, Nomad Capital, Polychain Capital, Sfermion, Superscrypt, The Spartan Group"
ostium-labs,Ostium Labs,,DeFi,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,250000000,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series A (2025-12-03): $20,000,000",1132.41,1,Jump Trading,5,"Coinbase Ventures, GSR Markets (GSR), General Catalyst, Jump Trading, Wintermute"
p2p-me,P2P.me,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2000000,"Seed Round (2025-04-04): $2,000,000",280.75,1,Multicoin Capital,2,"Coinbase Ventures, Multicoin Capital"
phantom,Phantom,,Wallet,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,3000000000,0,0,0,0,0,,0,0,0,0,0,0,0,150000000,"Series C (2025-01-16): $150,000,000",2828.46,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Paradigm, Sequoia Capital, Variant"
pluralis-research,Pluralis Research,,Artificial Intelligence (AI),TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7600000,"Seed Round (2025-03-19): $7,600,000",0,1,Balaji Srinivasan,9,"Balaji Srinivasan, Bodhi Ventures, Clement Delangue, CoinFund, Factorio, Greg Osuri, Topology Ventures, Union Square Ventures, Variant"
polymarket,Polymarket,,DeFi,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,9000000000,0,0,0,0,0,,0,0,0,0,0,0,0,150000000,"Funding Round (2025-01-01): $150,000,000",2657.74,1,Naval Ravikant,13,"1789 Capital, 1confirmation, Blockchain Capital, Coinbase Ventures, Dragonfly Capital, Founders Fund, Gaurav Ahuja, Guy Oseary, Naval Ravikant, Point72 Ventures, Ribbit Capital, SV Angel, Valor Capital Group"
poseidon-2,Poseidon,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Seed Round (2025-07-22): $15,000,000",459.49,1,Andreessen Horowitz (a16z),1,Andreessen Horowitz (a16z)
prime-intellect,Prime Intellect,,Blockchain Service,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,15000000,"Funding Round (2025-02-28): $15,000,000",1276.24,1,Balaji Srinivasan,11,"Andrej Karpathy, Balaji Srinivasan, Brendan McCord, Clem Delangue, Dylan Patel, Emad Mostaque, Founders Fund, Jake Medwell, Menlo Ventures, Sandeep Nailwal, Tri Dao"
raiku,Raiku,,Infrastructure,TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11250000,"Seed Round (2025-09-23): $11,250,000",417.21,1,Jump Crypto,4,"Faction, HashKey Capital, Jump Crypto, Pantera Capital"
rails,Rails,,DeFi,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,14000000,"Private Token Sale (2025-06-04): $14,000,000",346.18,1,Slow Ventures,5,"CMCC Global, Kraken, Quantstamp, Round 13 Digital Asset Fund, Slow Ventures"
rain,Rain,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,24500000,"Series A (2025-03-24): $24,500,000",698.17,1,Lightspeed Venture Partners,9,"BDMI, Canonical Crypto, Coinbase Ventures, CompoSecure, Galaxy, Hard Yaka, Latitude, Lightspeed Venture Partners, Norwest"
rakurai,Rakurai,,DeFi,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Seed Round (2025-03-11): $3,000,000",233.11,1,Slow Ventures,8,"Anagram Crypto, Colosseum, Crypto.com, GlobalStake, P2P Validator, Robot Ventures, Slow Ventures, cyber Fund"
ranger,Ranger,,DEX,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1900000,"Funding Round (2025-01-23): $1,900,000",732.67,1,RockawayX,18,"Anagram Crypto, Arthur Cheong, Asymmetric, Big Brain Holdings, Defi Maestro, Flow Traders, Gum, Joe McCann, MonkeVentures, Native Crypto, Nom, Presto Labs, Rise Capital, RockawayX, Selini Capital, Thanh Le, Zee Prime Capital, echo"
redotpay,RedotPay,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,40000000,"Series A (2025-03-14): $40,000,000",470.18,1,Lightspeed Venture Partners,5,"Accel, Galaxy, HongShan (ex-Sequoia China), Lightspeed Venture Partners, Vertex Ventures"
revolut,Revolut,,Finance,TOP Retail ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,75000000000,0,0,0,0,0,,0,0,0,0,0,0,0,0,,981.31,1,Andreessen Horowitz (a16z),8,"Andreessen Horowitz (a16z), Coatue Management, Dragoneer Investment Group, Fidelity, Franklin Templeton, Greenoaks Capital, NVIDIA, T. Rowe Price"
securitize,Securitize,,Finance,TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1174.95,1,Jump Crypto,1,Jump Crypto
seismic-2,Seismic,,Blockchain,TOP Retail ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,17000000,"Seed Round (2025-03-06): $7,000,000; Funding Round (2025-11-12): $10,000,000",606.92,2,Andreessen Horowitz (a16z),8,"1kx, Amber Group, Andreessen Horowitz (a16z), LayerZero Network, NGC Ventures, Polychain Capital, TrueBridge Capital, dao5"
share-3,Share,,Social,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Funding Round (2025-09-25): $5,000,000",521.26,1,Collab+Currency,3,"Coinbase Ventures, Collab+Currency, Palm Tree Crew"
silhouette,Silhouette,,DEX,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Pre-seed (2025-06-10): $3,000,000",624.48,1,RockawayX,8,"Amber Group, Hivemind Capital Partners, NGC Ventures, No Limit Holdings, Paul Taylor, Protagonist, RockawayX, echo"
stablecoinx,StablecoinX,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,360000000,"PIPE (2025-07-21): $360,000,000",490.81,1,Polychain Capital,10,"Blockchain.com Ventures, Dragonfly Capital, Ethena, Galaxy, Haun Ventures, Pantera Capital, ParaFi Capital, Polychain Capital, Ribbit Capital, Wintermute"
standard-economics,Standard Economics,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9000000,"Seed Round (2025-10-28): $9,000,000",0,1,Lightspeed Venture Partners,2,"Lightspeed Venture Partners, Paradigm"
tapestry,tapestry,,Social,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11500000,"Series A (2025-01-16): $5,750,000; Series A (2025-01-16): $5,750,000",598.95,2,"Slow Ventures, Redpoint Ventures",10,"Aptos, Fabric Ventures, Foresight Ventures, Harlem Capital, Re7 Capital, Redpoint Ventures, Slow Ventures, Social Graph Ventures, Stellation Capital, Union Square Ventures"
teneo-protocol,Teneo Protocol,TENEO,DePIN,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3000000,"Seed Round (2025-02-13): $3,000,000",234.69,1,RockawayX,12,"Advanced Blockchain, Borderless Capital, Certik, EOT Ventures, GenerativeVentures, MN Capital, Moonrock Capital, Outlier Ventures, RockawayX, Token Ventures, Venionaire Capital, X Ventures"
tesser,Tesser,,Blockchain Service,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4500000,"Seed Round (2025-10-21): $4,500,000",0,1,Strobe (Prev. BlockTower Capital),3,"Anthemis Group, Castle Island Ventures, Strobe (Prev. BlockTower Capital)"
tharimmune,Tharimmune,,Finance,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,540000000,"Post-IPO (2025-11-04): $540,000,000",0,1,Polychain Capital,10,"7RIDGE, ARK Invest, Broadridge, Canton Foundation, DRW Venture Capital, Kraken, Liberty City Ventures, Nima Capital, Polychain Capital, Tradeweb"
transak,Transak,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,16000000,"Strategic Round (2025-08-12): $16,000,000",724.59,1,IDG Capital,6,"1kx, Fuel Ventures, IDG Capital, Primal Capital, Protein Capital, Tether"
trepa,Trepa,,DeFi,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,420000,"Pre-seed (2025-08-23): $420,000",318.11,1,Balaji Srinivasan,8,"Abbas, Balaji Srinivasan, Colosseum, Ignight Capital, Nicolas Weber, Oleg Smagin, TPan, Yi Wen Deng"
truex,TrueX,PYUSD,CEX,TOP Retail ROI; TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11000000,"Series A (2025-05-20): $11,000,000",0,1,Reciprocal Ventures,7,"Accomplice, Paxos, PayPal Ventures, RRE Ventures, Reciprocal Ventures, Solana Foundation, Variant"
try-your-best,Try Your Best,,Social,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,11000000,"Series A (2025-06-11): $11,000,000",524.32,1,Strobe (Prev. BlockTower Capital),5,"Castle Island Ventures, Coinbase Ventures, Offline Ventures, Strobe (Prev. BlockTower Capital), Unusual Ventures"
universal,Universal,,DEX,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9000000,"Funding Round (2025-02-19): $9,000,000",686.86,1,Andreessen Horowitz (a16z),4,"Andreessen Horowitz (a16z), Coinbase Ventures, Data Tech Fund, Four Cities Capital"
voya-games,VOYA Games,,Gaming,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Funding Round (2025-05-21): $5,000,000",198.29,1,RockawayX,5,"1kx, Jeffrey Zirlin, Makers Fund, RockawayX, Sebastien Borget"
warlock,Warlock,,DeFi,TOP Retail ROI; TOP Private ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Seed Round (2025-03-27): $8,000,000",185.3,1,Reciprocal Ventures,8,"Ambush Capital, Dean Eigenmann, Greenfield Capital, Ivangbi, Polychain Capital, Reciprocal Ventures, Symbolic Capital, TRGC"
xmtp,XMTP,,Social,TOP Retail ROI; Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,20000000,"Series B (2025-07-17): $20,000,000",1189.27,1,Andreessen Horowitz (a16z),7,"Andreessen Horowitz (a16z), Coinbase Ventures, Distributed Global, Faction, Offline Ventures, Sound Ventures, Union Square Ventures"
yield-xyz,Yield.xyz,,Yield Aggregator,Additional TOP Funds,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5000000,"Strategic Round (2025-06-24): $5,000,000",333.78,1,Multicoin Capital,1,Multicoin Capital
yupp,Yupp,,Blockchain Service,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,33000000,"Seed Round (2025-06-13): $33,000,000",480.2,1,Andreessen Horowitz (a16z),12,"Andreessen Horowitz (a16z), Aravind Srinivas, Balaji Prabhakar, Chris Re, Coinbase Ventures, Dan Boneh, Evan Sharp, Gokul Rajaram, Jeff Dean, Kunal Shah, Nick McKeown, Othman Laraki"
zar,ZAR,,Finance,TOP 5 Angels,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,7000000,"Funding Round (2025-04-30): $7,000,000",468.53,1,Balaji Srinivasan,25,"Akshay BD, Anagram Crypto, Anatoly Yakovenko, Andrew Kang, Arnold Lee, Austin Federa, Balaji Srinivasan, Big Brain Holdings, Coinbase Ventures, Dragonfly Capital, Kash Dhanda, Latif Peracha, Matt Sorg, Mirana Ventures, MonkeVentures, Nic Carter, Nom, Pharsalus Capital, Raj Gokal, Rex, Santiago Roel Santos, Solana Ventures, Stepan Simkin, VanEck, a16z crypto CSX"
zerohash,zerohash,,Blockchain Service,TOP Private ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,104000000,"Extended Series D (2025-09-23): $104,000,000",572.99,1,Jump Crypto,8,"Apollo Global Management, Interactive Brokers, Jump Crypto, Liberty City Ventures, Morgan Stanley Tactical Value, Nyca Partners, SoFi, tastytrade"
zoo-finance,Zoo Finance,,DeFi,TOP Retail ROI,not_launched,NOT_YET_TRADING,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8000000,"Strategic Round (2025-12-01): $8,000,000",131.4,1,Signum Capital,6,"Bitrise Capital, CGV FoF (Cryptogram Venture), Certik, Cryptomeria Capital, Signum Capital, The Open Platform"
