project_name,project_slug,fund_name,amount_usd,stage,date,category
World,worldcoin,Multicoin Capital,25000000,Seed Round,1634774400000,Artificial Intelligence (AI)
Timeswap,timeswap,Multicoin Capital,,Seed Round,1634774400000,DeFi
Beta Finance,beta-finance,Multicoin Capital,5800000,Equity Round,1633046400000,Lending Platform
LayerZero,layerzero,Multicoin Capital,6300000,Venture Round,1631750400000,Blockchain Service
EDEN,eden,Multicoin Capital,17400000,Seed Round,1631059200000,Infrastructure
UXD Protocol Token,uxd-protocol-token,Multicoin Capital,3000000,Seed Round,1630540800000,Algorithmic Stablecoins
Strips Finance,strips-finance,Multicoin Capital,8500000,Private Round,1630454400000,Derivatives
Saber,saber,Multicoin Capital,7700000,Seed Round,1627344000000,AMM
FTX Token,ftx-token,Multicoin Capital,900000000,Series B,1625097600000,CEX
Grape Protocol,grape-2,Multicoin Capital,1200000,Seed Round,1625097600000,Application
Solana,solana,Multicoin Capital,314150000,Private Sale,1623246360000,Blockchain
Coin98,coin98,Multicoin Capital,11250000,Strategic Round,1622505600000,Wallet
OpenOcean,openocean,Multicoin Capital,1718000,Private Round,1622505600000,DeFi
Jenny Metaverse DAO Token,jenny-metaverse-dao-token,Multicoin Capital,7000000,Seed Round,1619827200000,NFT
Qilin,qilin-ico,Multicoin Capital,800000,Seed Round,1619827200000,
Tibles,tibles-ico,Multicoin Capital,1140000,Seed Round 1,1619827200000,
Enso,enso,Multicoin Capital,5000000,Private Round,1617235200000,Blockchain Service
Realy Metaverse,realy-metaverse,Multicoin Capital,,Seed Round,1617235200000,Metaverse
Sommelier,sommelier,Multicoin Capital,3500000,Seed Round,1615334400000,DeFi
Manta Network,manta-network,Multicoin Capital,1100000,Pre-seed Round,1612224000000,Blockchain
saffron.finance,saffron-finance,Multicoin Capital,2000000,Seed Round,1612137600000,DeFi
Oxygen,oxygen,Multicoin Capital,40000000,Private Sale,1612137600000,Solana Ecosystem
Furucombo,furucombo,Multicoin Capital,1850000,Seed Round,1610042400000,DeFi
Salad Ventures,salad-ventures,Multicoin Capital,2000000,Seed Round,1609495200000,Gaming
MATH,math,Multicoin Capital,7800000,Series A,1604361600000,Wallet
Mina Protocol,mina-protocol,Multicoin Capital,6630000,Strategic Round (unlocked),1601510400000,Blockchain
Audius,audius,Multicoin Capital,3100000,Strategic Round,1593561600000,NFT
Perpetual Protocol,perpetual-protocol,Multicoin Capital,1800000,Strategic Round,1588291200000,Perpetual
dForce Token,dforce-token,Multicoin Capital,1500000,Strategic Round,1585699200000,DeFi
Arweave,arweave,Multicoin Capital,8300000,Private Round,1580515200000,Storage
SKALE,skale,Multicoin Capital,5745600,Venture Round,1569888000000,Layer-2
Near,near,Multicoin Capital,375000,Private Round 2,1561939200000,Blockchain
THORChain,thorchain,Multicoin Capital,1610000,Private Sale,1561939200000,DeFi
Textile,textile-2,Multicoin Capital,1500000,Seed Round,1560211200000,Blockchain Service
Algorand,algorand,Multicoin Capital,62000000,Venture Round,1538352000000,Blockchain
StarkNet,starknet,Multicoin Capital,30000000,Series A,1535760000000,Blockchain
Tari,tari,Multicoin Capital,,Seed Round,1528588800000,Protocol
Internet Computer,internet-computer,Multicoin Capital,102000000,Pre-Sale,1522540800000,Blockchain
Kadena,kadena,Multicoin Capital,12900000,Presale Round 2,1522540800000,Blockchain
MobileCoin,mobilecoin,Multicoin Capital,30000000,Seed Round,1519862400000,Privacy Coin
Livepeer,livepeer,Multicoin Capital,3000000,Seed,1512086400000,Infrastructure
Nervos Network,nervos-network,Multicoin Capital,28000000,Seed,1508025600000,Blockchain
Standard Economics,standard-economics,Lightspeed Venture Partners,9000000,Seed Round,1761609600000,Blockchain Service
Lightyear,lightyear,Lightspeed Venture Partners,23000000,Series B,1753315200000,Finance
Magicblock,magicblock,Lightspeed Venture Partners,7500000,Seed Round,1745539200000,Infrastructure
Goodfire,goodfire,Lightspeed Venture Partners,50000000,Series A,1744848000000,Artificial Intelligence (AI)
Rain,rain,Lightspeed Venture Partners,24500000,Series A,1742774400000,Finance
RedotPay,redotpay,Lightspeed Venture Partners,40000000,Series A,1741910400000,Blockchain Service
Chaos Labs,chaos-labs-ico,Lightspeed Venture Partners,55000000,Series A,1723680000000,
Nexus Laboratories,nexus-laboratories,Lightspeed Venture Partners,25000000,Series A,1717977600000,Infrastructure
Puffer,puffer-finance,Lightspeed Venture Partners,18000000,Series A Round,1713225600000,Liquid Staking Protocols
Shentu,certik,Lightspeed Venture Partners,,Funding Round,1710201600000,Blockchain Service
Taiko,taiko,Lightspeed Venture Partners,15000000,Series A,1709337600000,Layer-2
Karak Network,karak-network,Lightspeed Venture Partners,48000000,Series A,1709078400000,Layer-2
Ethena,ethena-labs,Lightspeed Venture Partners,14000000,Seed Extension Round,1708041600000,DeFi
Pontem Liquidswap,pontem-liquidswap,Lightspeed Venture Partners,6000000,Funding Round,1704931200000,Aptos Ecosystem
CharacterX,characterx,Lightspeed Venture Partners,2800000,Seed Round,1704585600000,Social
Medallion,medallion,Lightspeed Venture Partners,13700000,Series A,1703116800000,Blockchain Service
Blockchain.com,blockchain-com,Lightspeed Venture Partners,110000000,Series E,1699920000000,CEX
Econia,econia-ico,Lightspeed Venture Partners,6500000,Seed Round,1677628800000,
Sentio,sentio-ico,Lightspeed Venture Partners,6400000,Seed Round,1675209600000,
ZKsync,zksync,Lightspeed Venture Partners,200000000,Series C,1668556800000,Layer-2
Fordefi,fordefi-ico,Lightspeed Venture Partners,18000000,Seed Round,1667260800000,Wallet
MystenLabs,mystenlabs-ico,Lightspeed Venture Partners,300000000,Series B Round,1662595200000,
Sui,sui,Lightspeed Venture Partners,300000000,Series B,1661990400000,Blockchain
Ultimate,ultimate-ico,Lightspeed Venture Partners,12500000,Series A Round,1659312000000,
Safe,safe,Lightspeed Venture Partners,100000000,Funding Round,1656633600000,Wallet
Magic Eden,magic-eden,Lightspeed Venture Partners,130000000,Series B Round,1654041600000,NFT
Pintu Token,pintu-token,Lightspeed Venture Partners,113000000,Series B,1654041600000,Cryptocurrency
Ballet,ballet-ico,Lightspeed Venture Partners,13000000,Series A,1654041600000,
Soba,soba-ico,Lightspeed Venture Partners,13500000,Seed Round,1654041600000,
Health Hero,health-hero-ico,Lightspeed Venture Partners,4500000,Private Round,1651363200000,
Treehouse,treehouse,Lightspeed Venture Partners,18000000,Seed Round,1647388800000,Liquid Staking Tokens (LSTs)
Zebec Network,zebec-network,Lightspeed Venture Partners,15000000,Strategic Round,1646092800000,Infrastructure
Socket,socket,Lightspeed Venture Partners,5000000,Seed Round,1646092800000,Infrastructure
Brahma,brahma,Lightspeed Venture Partners,4210000,Seed Round,1645488000000,DeFi
Alchemy,alchemy-ico,Lightspeed Venture Partners,200000000,Series C Extended,1644192000000,
KGeN,kgen,Lightspeed Venture Partners,6000000,Funding Round,1642550400000,Gaming
IndiGG,indigg,Lightspeed Venture Partners,6000000,Seed Round,1642550400000,Gaming
FTX Token,ftx-token,Lightspeed Venture Partners,400000000,Series C,1640995200000,CEX
Arbitrum,arbitrum,Lightspeed Venture Partners,100000000,Series B,1630368000000,Layer-2
Parallel Finance,parallel-finance,Lightspeed Venture Partners,22000000,Private Investors,1625097600000,Lending Platform
ECOx,ecox,Lightspeed Venture Partners,60000000,Series B,1625097600000,Ethereum Ecosystem
ECO,eco,Lightspeed Venture Partners,60000000,Series B,1625097600000,
Rhino.fi,dvf,Lightspeed Venture Partners,5000000,Strategic Round,1621296000000,AMM
Babel Finance,babel-finance-ico,Lightspeed Venture Partners,40000000,Series A,1619827200000,
Magic-link,magic-2,Lightspeed Venture Partners,4000000,Seed Round,1590710400000,Blockchain Service
Audius,audius,Lightspeed Venture Partners,5500000,Series A,1533081600000,NFT
Basis Cash,basis-cash,Lightspeed Venture Partners,133000000,Funding Round,1524009600000,Algorithmic Stablecoins
XRP,ripple,Lightspeed Venture Partners,,Funding Round,1364774400000,Cryptocurrency
Cascade,cascade,Polychain Capital,15000000,Funding Round,1765238400000,CEX
Seismic,seismic-2,Polychain Capital,10000000,Funding Round,1762905600000,Blockchain
Tharimmune,tharimmune,Polychain Capital,540000000,Post-IPO,1762214400000,Healthcare
Greenlane Holdings,greenlane-holdings,Polychain Capital,110000000,PIPE,1760918400000,Finance
Grass,grass,Polychain Capital,10000000,Funding Round,1759795200000,Artificial Intelligence (AI)
Aria,aria-3,Polychain Capital,15000000,Seed Round,1756857600000,RWA (Real World Assets)
M^ZERO,m-zero,Polychain Capital,40000000,Series B,1756339200000,DeFi
Shrapnel,shrapnel,Polychain Capital,19500000,Funding Round,1755043200000,Gaming
Billions Network,billions-network,Polychain Capital,30000000,Funding Round,1753920000000,Blockchain Service
ETHZilla,ethzilla-2,Polychain Capital,425000000,PIPE,1753747200000,Finance
StablecoinX,stablecoinx,Polychain Capital,360000000,PIPE,1753056000000,Finance
Concrete Protocol,concrete-protocol,Polychain Capital,9500000,Strategic Round,1750636800000,Protocol
DogeOS,dogeos,Polychain Capital,6900000,Funding Round,1746489600000,Infrastructure
Warlock,warlock,Polychain Capital,8000000,Seed Round,1743033600000,DeFi
Ethena,ethena-labs,Polychain Capital,100000000,Private Sale,1740355200000,DeFi
Fluent,fluent,Polychain Capital,8000000,Funding Round,1739923200000,Layer-2
corn,corn-2,Polychain Capital,8300000,Community,1737504000000,Layer-2
Oshi,oshi-2,Polychain Capital,12500000,Funding Round,1737072000000,Social
Superform,superform,Polychain Capital,3000000,Strategic Round,1733961600000,DeFi
Hyperbolic,hyperbolic,Polychain Capital,12000000,Series A,1733788800000,Blockchain Service
Talus network,talus-network,Polychain Capital,6000000,Strategic Round,1732579200000,Blockchain Service
Monkey Tilt,monkey-tilt,Polychain Capital,30000000,Series A,1732060800000,Gaming
Bitfinity Network ,bitfinity-network,Polychain Capital,12000000,Funding Round,1731974400000,Blockchain
StakeStone,stakestone,Polychain Capital,22000000,Funding Round,1731283200000,Liquid Staking Protocols
Brevis Network,brevis-network,Polychain Capital,7500000,Seed Round,1731283200000,Zero Knowledge
Yellow Card,yellow-card,Polychain Capital,33000000,Series C,1729036800000,Finance
Yala,yala-finance,Polychain Capital,8000000,Seed Round,1728518400000,DeFi
Bitlayer,bitlayer,Polychain Capital,9000000,Series A Extension,1728345600000,Layer-2
APRO,apro,Polychain Capital,3000000,Seed Round,1728259200000,Blockchain Service
Level,level-2,Polychain Capital,3600000,Funding Round,1724889600000,DeFi
Solayer,solayer,Polychain Capital,12000000,Seed Round,1724716800000,Liquid Staking Protocols
Story,story,Polychain Capital,80000000,Series B,1724198400000,Blockchain
Sahara AI,sahara-ai,Polychain Capital,37000000,Funding Round,1723593600000,Artificial Intelligence (AI)
Pac Finance,pac-finance,Polychain Capital,1000000,Funding Round,1719964800000,DeFi
Lombard,lombard,Polychain Capital,16000000,Seed Round,1719878400000,DeFi
OpenLedger,openledger-2,Polychain Capital,8000000,Seed Round,1719878400000,Infrastructure
Pi Squared,pi-squared,Polychain Capital,12500000,Seed Round,1719878400000,Infrastructure
ORA,ora,Polychain Capital,20000000,Series A,1719360000000,Infrastructure
Nubit,nubit,Polychain Capital,8000000,Seed Round,1717545600000,Infrastructure
Babylon,babylon,Polychain Capital,70000000,Funding Round,1717027200000,Blockchain
Cysic,cysic-ico,Polychain Capital,12000000,pre-Series A,1716508800000,
Shogun,shogun,Polychain Capital,6900000,Seed Round,1715731200000,DeFi
Botanix Labs,botanix-labs,Polychain Capital,11500000,Seed Round,1715040000000,Blockchain
MilkyWay,milkyway-2,Polychain Capital,5000000,Seed Round,1714435200000,DeFi
Movement,movement,Polychain Capital,38000000,Series A,1714003200000,Infrastructure
Berachain,berachain,Polychain Capital,100000000,Series B,1712880000000,Blockchain
Stream Finance,stream-finance,Polychain Capital,1500000,Seed Round,1712707200000,DeFi
Playtron,playtron,Polychain Capital,10000000,Funding Round,1712707200000,Gaming
Ritual,ritual,Polychain Capital,,Funding Round,1712534400000,Infrastructure
Gasp (Mangata),gasp-2,Polychain Capital,5000000,Funding Round,1712102400000,DeFi
Sofamon,sofamon,Polychain Capital,,Seed Round,1712102400000,Social
DappOS,dappos,Polychain Capital,15300000,Series A,1711584000000,Blockchain Service
Polyhedra Network,polyhedra-network,Polychain Capital,20000000,Funding Round,1710374400000,Zero Knowledge
Clique,clique,Polychain Capital,8000000,Series A,1710374400000,Infrastructure
Eclipse,eclipse,Polychain Capital,50000000,Series A,1710115200000,Infrastructure
AltLayer,altlayer,Polychain Capital,14400000,Strategic Round,1708300800000,Blockchain Service
Allora,allora,Polychain Capital,,Funding Round,1706918400000,Blockchain Service
Squid,squidrouter,Polychain Capital,4000000,Strategic Round,1706659200000,Blockchain Service
Drift Protocol,drift-protocol,Polychain Capital,23500000,Series A,1705968000000,Perpetual
Canza Finance ,canza-finance,Polychain Capital,2300000,Strategic Round,1705363200000,Blockchain Service
Particle,particle,Polychain Capital,,Seed Round,1705017600000,DeFi
Wynd Network,wynd-2,Polychain Capital,3500000,Seed Round,1702944000000,Infrastructure
Sona,sona,Polychain Capital,6900000,Seed Round,1701820800000,Blockchain Service
Rio Network,rio-network,Polychain Capital,,Seed Round,1701388800000,DeFi
Bioniq,bioniq,Polychain Capital,,Funding Round,1701216000000,Blockchain Service
CreateSafe,createsafe,Polychain Capital,4600000,Seed Round,1700092800000,Music
Nocturne,nocturne,Polychain Capital,6000000,Seed Round,1698192000000,Blockchain Service
Noble,noble,Polychain Capital,3300000,Seed Round,1698105600000,Blockchain Service
Goldlink,goldlink,Polychain Capital,1400000,Pre-seed,1691452800000,DeFi
Manta Network,manta-network,Polychain Capital,25000000,Series A,1689724800000,Blockchain
Everclear,connext,Polychain Capital,7500000,Strategic Round,1686700800000,DeFi
Webb Protocol,webb-protocol,Polychain Capital,7000000,Seed Round,1683504000000,Infrastructure
Thetanuts Finance,thetanuts-finance-ico,Polychain Capital,17000000,Funding Round,1679616000000,
Scroll,scroll,Polychain Capital,50000000,Funding Round,1678060800000,Blockchain
Cubist,cubist-ico,Polychain Capital,7000000,Seed Round,1677628800000,
Space ID,space-id,Polychain Capital,10000000,Strategic Round,1675728000000,Blockchain Service
EigenCloud (prev. EigenLayer),eigenlayer,Polychain Capital,50000000,Series A Round,1675209600000,Liquid Staking Protocols
Really,really-ico,Polychain Capital,18000000,Seed Round,1675209600000,
Quasar,quasar-2,Polychain Capital,5432100,Funding Round,1672531200000,DeFi
Nil Foundation,nil-foundation-ico,Polychain Capital,22000000,Venture Round,1672531200000,
Perennial,perennial,Polychain Capital,12000000,Seed Round,1670371200000,DeFi
Fleek,fleek,Polychain Capital,25000000,Series A,1669852800000,AI Agents
Evmos,evmos,Polychain Capital,27000000,Seed Round,1667347200000,Cosmos Ecosystem
t3rn,t3rn,Polychain Capital,6500000,Private Round,1667260800000,Infrastructure
Kollider,kollider-ico,Polychain Capital,2400000,Funding Round,1666742400000,
Celestia,celestia,Polychain Capital,55000000,Series A&B Round,1666137600000,Modular Blockchain
Light Protocol,light-protocol,Polychain Capital,4200000,Seed Round,1665964800000,Solana Ecosystem
Tapio Protocol,tapio-protocol-ico,Polychain Capital,4000000,Seed Round,1665964800000,
Uniswap,uniswap,Polychain Capital,165000000,Series B,1665619200000,DEX
MatchboxDAO,matchboxdao-ico,Polychain Capital,7500000,Seed Round,1659312000000,
Hologram,hologram-ico,Polychain Capital,6500000,Seed Round,1656633600000,
DSCVR,dscvr-ico,Polychain Capital,9000000,Seed Round,1656633600000,
Satori,satori,Polychain Capital,10000000,Seed Round,1652659200000,DEX
Commonwealth,commonwealth-ico,Polychain Capital,20000000,Private Round,1651363200000,
CoinDCX,coindcx-ico,Polychain Capital,135000000,Series C,1650326400000,
Nomad,nomad-ico,Polychain Capital,22400000,Seed Round,1648771200000,
Quai Network,quai-network,Polychain Capital,8000000,Funding Round,1648080000000,Blockchain
Espresso Systems,espresso-systems,Polychain Capital,32000000,Seed Round,1646611200000,Infrastructure
Upshot,upshot-ico,Polychain Capital,22000000,Series A-2,1646092800000,
Aurigami,aurigami,Polychain Capital,9500000,Strategic Round,1643673600000,Lending Platform
Astar,astar,Polychain Capital,22000000,Funding Round,1643328000000,Layer-2
Shiden Network,shiden,Polychain Capital,22000000,Funding Round,1643328000000,NFT
BBS Network,bbs-network,Polychain Capital,550000,IDO on DAO Maker,1641340800000,NFT
vana,vana,Polychain Capital,2000000,Seed Round,1640995200000,Artificial Intelligence (AI)
Spectral,spectral,Polychain Capital,6750000,Venture Round,1639008000000,Blockchain Service
Sperax,sperax,Polychain Capital,6000000,Private Sale,1638316800000,Stablecoin Issuer
AscendEx,asd,Polychain Capital,50000000,Series B,1635897600000,CEX
Anoma,anoma,Polychain Capital,26000000,Private Round,1635724800000,Infrastructure
Solend,solend,Polychain Capital,6500000,Seed,1635206400000,Lending Platform
Sommelier,sommelier,Polychain Capital,23000000,Series A,1634688000000,DeFi
Element Finance,element-finance-ico,Polychain Capital,32000000,Series A,1634601600000,
ORIGYN,origyn-foundation,Polychain Capital,20000000,Private Round,1633046400000,NFT
Kresko,kresko-ico,Polychain Capital,2350000,Seed Round,1633046400000,
Decentralized Social,bitclout,Polychain Capital,200000000,Venture Round,1632355200000,Blockchain
Bluefin,bluefin,Polychain Capital,22800000,Private Round,1631577600000,DEX
Credora,credora,Polychain Capital,8000000,Series A,1631491200000,Lending Platform
Orca,orca,Polychain Capital,19025000,Series A,1630454400000,DEX
X-Margin,x-margin-ico,Polychain Capital,8000000,Series A,1630454400000,
Prysm,prysm-ico,Polychain Capital,3000000,Seed Round,1630454400000,
Arbitrum,arbitrum,Polychain Capital,100000000,Series B,1630368000000,Layer-2
Axelar,axelar,Polychain Capital,25858000,Series A,1625097600000,Infrastructure
Parallel Finance,parallel-finance,Polychain Capital,22000000,Private Investors,1625097600000,Lending Platform
SAIL Token,clipper,Polychain Capital,17000000,Seed Round,1625097600000,Governance
ValoraApp,valoraapp-ico,Polychain Capital,20000000,Seed Round,1625097600000,Wallet
Thesis,thesis-ico,Polychain Capital,21000000,Series A,1625097600000,
dYdX,dydx,Polychain Capital,65000000,Series C,1623715200000,DEX
Solana,solana,Polychain Capital,314150000,Private Sale,1623246360000,Blockchain
Avalanche,avalanche,Polychain Capital,230000000,Venture Round,1622505600000,Blockchain
SynFutures,synfutures,Polychain Capital,14000000,Series A Round,1622505600000,Perpetual
UX Chain,umee,Polychain Capital,6300000,Seed Round,1622505600000,DeFi
Friends With Benefits Pro,friends-with-benefits-pro,Polychain Capital,700000,Funding Round,1620302400000,
Nym,nym,Polychain Capital,6000000,Seed Round,1619827200000,Privacy Coin
Aleo,aleo,Polychain Capital,28000000,Series A,1617235200000,Zero Knowledge
Enso,enso,Polychain Capital,5000000,Private Round,1617235200000,Blockchain Service
Overlay Protocol,overlay-protocol,Polychain Capital,2215000,Funding Round,1615939200000,Perpetual
River Financial,river-financial,Polychain Capital,12000000,Series A,1615507200000,Finance
Syrup,syrup,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform
Maple,maple,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform
Moola Market,moola-market,Polychain Capital,1400000,Seed Round,1614556800000,Lending Platform
DFX Finance,dfx-finance,Polychain Capital,5000000,Seed Round,1614124800000,Governance
Badger DAO,badger-dao,Polychain Capital,21000000,DAO Treasury,1612137600000,DeFi
Parsec,parsec,Polychain Capital,1250000,Seed Round,1611792000000,Big Data
Notional Finance,notional-finance,Polychain Capital,1300000,Seed Round,1603670400000,DeFi
Polymarket,polymarket,Polychain Capital,4000000,Seed Round,1603065600000,DeFi
Mina Protocol,mina-protocol,Polychain Capital,6630000,Strategic Round (unlocked),1601510400000,Blockchain
Liquity,liquity,Polychain Capital,2400000,Seed Round,1600992000000,DeFi
Cozy Finance,cozy-finance-ico,Polychain Capital,2000000,Seed Round,1599091200000,
Alpha5,alpha5,Polychain Capital,1500000,Seed Round,1596672000000,
Acala,acala,Polychain Capital,7300000,Series A,1596240000000,DeFi
ROOK,rook,Polychain Capital,1440000,Seed Round,1593561600000,DeFi
Staker DAO,staker-dao,Polychain Capital,3000000,Series A Round,1593561600000,DAO
DerivaDAO,derivadao,Polychain Capital,2700000,Investment Round,1590969600000,DeFi
Fractal Network (Findora),findora,Polychain Capital,11970000,Private Round 2,1590969600000,Blockchain
CLV,clover-finance,Polychain Capital,6000000,Seed,1588291200000,Wallet
Horizon Blockchain Game,horizon-blockchain-game-ico,Polychain Capital,5000000,Funding Round,1583582400000,
Karura,karura,Polychain Capital,1400000,Seed Round,1583020800000,Kusama Ecosystem
Amber Group,amber-group-ico,Polychain Capital,28000000,Series A Round,1580515200000,
Compound,compound,Polychain Capital,25000000,Series A,1576022400000,DeFi
NuCypher,nucypher,Polychain Capital,10700000,SAFT Series 2,1569888000000,Protocol
FLEX Coin,flex-coin,Polychain Capital,10000000,Venture Round,1567296000000,CEX
Agoric,agoric,Polychain Capital,6000000,Early Backers Round,1556668800000,Coinlist Launchpad
Celo,celo,Polychain Capital,30000000,Pre-launch sale 2,1546300800000,Layer-2
Keep Network,keep-network,Polychain Capital,7700000,Venture Round,1543708800000,DeFi
Spacemesh,spacemesh,Polychain Capital,15000000,Series A,1536143400000,Blockchain
Nervos Network,nervos-network,Polychain Capital,28224000,Private Round,1530403200000,Blockchain
Handshake,handshake,Polychain Capital,10200000,Private Sale,1530403200000,Infrastructure
Oasis,oasis-network,Polychain Capital,45000000,Backers,1526688000000,Blockchain
StarkNet,starknet,Polychain Capital,6000000,Seed Round,1525132800000,Blockchain
Internet Computer,internet-computer,Polychain Capital,102000000,Pre-Sale,1522540800000,Blockchain
REN,republic-protocol,Polychain Capital,4825000,Public Sale,1517583660000,DeFi
Maker,maker,Polychain Capital,12000000,Seed Round 1,1512086400000,DeFi
Orchid Protocol,orchid-protocol,Polychain Capital,4700000,Seed Round,1508976000000,xDAI Ecosystem
Raiden Network Token,raiden-network,Polychain Capital,33400000,Public Sale,1508349600000,Infrastructure
0x Protocol,0x,Polychain Capital,24000000,Initial Coin Offering,1502485200000,DEX
Tezos,tezos,Polychain Capital,10000000,Early backers,1485907200000,Blockchain
Etherealize,etherealize,Electric Capital,40000000,Funding Round,1756857600000,Social
Hyperbeat,hyperbeat,Electric Capital,5200000,Seed Round,1755216000000,DeFi
Mill City Ventures III,mill-city-ventures-iii,Electric Capital,450000000,Post-IPO,1753920000000,Finance
ETHZilla,ethzilla-2,Electric Capital,425000000,PIPE,1753747200000,Finance
Kuru,kuru,Electric Capital,11600000,Series A,1751846400000,DeFi
SharpLink,sharplink,Electric Capital,425000000,Post-IPO,1748822400000,Sport
Unto,unto,Electric Capital,14400000,Funding Round,1745884800000,Blockchain
Walrus,walrus-protocol,Electric Capital,140000000,Private Token Sale,1742428800000,Storage
Hibachi,hibachi,Electric Capital,5000000,Seed Round,1742342400000,DeFi
Axelar,axelar,Electric Capital,30000000,OTC,1741651200000,Infrastructure
Bitwise,bitwise,Electric Capital,70000000,Funding Round,1740441600000,Finance
InfiniFi,infinifi,Electric Capital,3000000,Pre-seed,1739232000000,DeFi
INFINIT,infinit-2,Electric Capital,6000000,Funding Round,1726099200000,DeFi
Term Finance,term-finance,Electric Capital,5500000,Strategic Round,1720483200000,Lending Platform
Wasabi,wasabi,Electric Capital,3000000,Seed Round,1718582400000,DeFi
Nuffle Labs,nuffle-labs,Electric Capital,13000000,Funding Round,1718236800000,Infrastructure
Layer3,layer3,Electric Capital,15000000,Series A,1718150400000,Social
Ava Protocol,ava-protocol,Electric Capital,10000000,Seed Plus Round,1718064000000,Infrastructure
Squads,squads,Electric Capital,10000000,Series A,1717977600000,Blockchain Service
Zeta Markets,zeta-markets,Electric Capital,5000000,Strategic Round,1715644800000,DeFi
Re,re,Electric Capital,7000000,Funding Round,1715644800000,Insurance
Kiosk,kiosk,Electric Capital,10000000,Funding Round,1714608000000,Social
Puffer,puffer-finance,Electric Capital,18000000,Series A Round,1713225600000,Liquid Staking Protocols
Monad,monad,Electric Capital,225000000,Funding Round,1712620800000,Blockchain
Cove Finance,cove-finance,Electric Capital,3000000,Pre-seed,1712620800000,Yield Aggregator
Phoenix,phoenix-2,Electric Capital,20000000,Series A,1712188800000,DEX
INIT Capital,init-capital,Electric Capital,3000000,Seed Round,1708473600000,DeFi
Fordefi,fordefi-ico,Electric Capital,10000000,Funding Round,1707782400000,Wallet
Clusters,clusters,Electric Capital,9000000,Seed Round,1706745600000,Blockchain Service
Abstract,abstract,Electric Capital,,Funding Round,1703030400000,Layer-2
Frame,frame,Electric Capital,,Funding Round,1702944000000,Blockchain
Shadow,shadow,Electric Capital,9000000,Seed Round,1701734400000,Blockchain Service
Kresko,kresko-ico,Electric Capital,1800000,Strategic Round,1699315200000,
Llama,llama,Electric Capital,6000000,Seed Round,1699228800000,Blockchain Service
Membrane Labs,membrane-labs,Electric Capital,20000000,Series A,1696982400000,Blockchain Service
Anoma,anoma,Electric Capital,25000000,Funding Round,1685491200000,Infrastructure
Hourglass,hourglass-2,Electric Capital,4200000,Seed Round,1684108800000,DeFi
Yoz,yoz-ico,Electric Capital,3500000,Seed Round,1680307200000,Web 3.0
EigenCloud (prev. EigenLayer),eigenlayer,Electric Capital,50000000,Series A Round,1675209600000,Liquid Staking Protocols
Immunefi,immunefi,Electric Capital,24000000,Series A Round,1663804800000,Blockchain Service
Integral1,integral-2,Electric Capital,8500000,Funding Round,1663632000000,Blockchain Service
Hashflow,hashflow,Electric Capital,25000000,Series A,1656633600000,DEX
SWEAT,sweat-economy,Electric Capital,10000000,Private Round,1656633600000,Wallet
Magic Eden,magic-eden,Electric Capital,130000000,Series B Round,1654041600000,NFT
Paper,paper,Electric Capital,9300000,Seed Round,1651363200000,
Certora,certora-ico,Electric Capital,36000000,Series B Round,1651363200000,
Privy,privy,Electric Capital,8300000,Seed Round,1650412800000,Web 3.0
Trisolaris,trisolaris,Electric Capital,4500000,Seed Round,1648771200000,DEX
Espresso Systems,espresso-systems,Electric Capital,32000000,Seed Round,1646611200000,Infrastructure
Nestcoin,nestcoin,Electric Capital,6450000,Pre-seed,1643673600000,Blockchain Service
Sui,sui,Electric Capital,36000000,Series A,1638316800000,Blockchain
MystenLabs,mystenlabs-ico,Electric Capital,36000000,Seed Round,1638316800000,
ConsenSys,consensys,Electric Capital,200000000,Series C,1637107200000,Web 3.0
Slingshot,slingshot-ico,Electric Capital,15000000,Series A Round,1635724800000,
Aurora,aurora-near,Electric Capital,12000000,Private Round,1634227200000,Blockchain
Taker Protocol,taker-protocol,Electric Capital,3000000,Funding Round,1632268800000,Blockchain
Syndicate,syndicate-3,Electric Capital,20000000,Series A Round,1627776000000,Infrastructure
Visor,visor,Electric Capital,3500000,Funding Round,1625097600000,
SAIL Token,clipper,Electric Capital,17000000,Seed Round,1625097600000,Governance
4K,4k-ico,Electric Capital,3000000,Seed Round,1625097600000,
dYdX,dydx,Electric Capital,65000000,Series C,1623715200000,DEX
RabbitHole,rabbithole-ico,Electric Capital,3600000,Seed Round,1622505600000,
Iron Fish,iron-fish,Electric Capital,5300000,Funding Round,1617667200000,Blockchain Service
Gitcoin,gitcoin,Electric Capital,11300000,Funding Round,1614556800000,Infrastructure
Omnity Convertible Token,octopus-network,Electric Capital,3000000,Seed Round,1614556800000,Near Ecosystem
FLEX Coin,flex-coin,Electric Capital,1250000,Private Round,1613692800000,CEX
Radworks,radicle,Electric Capital,12000000,Early Supporters,1613606400000,Governance
Celo,celo,Electric Capital,20000000,Venture Round,1612137600000,Layer-2
Swivel Finance,swivel-finance-ico,Electric Capital,1150000,Seed Round,1607594400000,
Marlin,marlin,Electric Capital,3000000,Private Round,1604188800000,Infrastructure
Bitnomial,bitnomial,Electric Capital,11600000,Series B,1601942400000,Finance
Mina Protocol,mina-protocol,Electric Capital,6630000,Strategic Round (unlocked),1601510400000,Blockchain
