project_name,project_slug,investor_count,total_invested_usd,category,investors
DerivaDAO,derivadao,2,5400000,DeFi,Polychain Capital; Electric Capital
Nexus Mutual,nxm,2,5400000,Insurance,1Confirmation; 1Kx
THORChain,thorchain,2,5360000,DeFi,Multicoin Capital; Ideo Colab Ventures
Covalent Query Token,covalent,2,5185937,Artificial Intelligence (AI),1Kx; Binance Labs
Rangers Protocol,rangers-protocol-gas,2,5000000,Protocol,Framework Ventures; Pantera Capital
Swivel Finance,swivel-finance-ico,2,4650000,,Multicoin Capital; Electric Capital
Overlay Protocol,overlay-protocol,2,4430000,Perpetual,Polychain Capital; 1Kx
Kresko,kresko-ico,2,4150000,,Polychain Capital; Electric Capital
Cozy Finance,cozy-finance-ico,2,4000000,,Polychain Capital; Electric Capital
MultiversX,multivers-x,2,3800000,Blockchain,Electric Capital; Binance Labs
Friends With Benefits Pro,friends-with-benefits-pro,2,3700000,,Andreessen Horowitz (a16z); Polychain Capital
Furucombo,furucombo,2,3700000,DeFi,Multicoin Capital; 1Kx
OpenOcean,openocean,2,3436000,DeFi,Multicoin Capital; Binance Labs
Pancake Bunny,pancake-bunny,2,3200000,DeFi,Binance Labs; Ideo Colab Ventures
APRO,apro,2,3000000,Blockchain Service,Polychain Capital; Binance Labs
Cosmos Hub,cosmos,2,2659000,Blockchain,Paradigm; 1Confirmation
Wrapped NCG,wrapped-ncg,2,2600000,Wrapped Token,Binance Labs; Ideo Colab Ventures
Global Coin Research,global-coin-research,2,2400000,DAO,1Kx; Ideo Colab Ventures
Perpetual Protocol,perpetual-protocol,2,2300000,Perpetual,Multicoin Capital; Binance Labs
GAMEE,gamee,2,1500000,Gaming,Binance Labs; Pantera Capital
BBS Network,bbs-network,2,1100000,NFT,Polychain Capital; Binance Labs
Automata,automata,2,1000000,Blockchain Service,Jump Crypto; Binance Labs
Tellor Tributes,tellor,2,400000,Oracle,Framework Ventures; Binance Labs
Pyth Network,pyth-network,2,0,Oracle,Jump Trading; Multicoin Capital
Tari,tari,2,0,Protocol,Multicoin Capital; Pantera Capital
Shentu,certik,2,0,Blockchain Service,Lightspeed Venture Partners; Binance Labs
Allora,allora,2,0,Blockchain Service,Polychain Capital; Framework Ventures
PowerTrade Fuel,powertrade-fuel,2,0,Derivatives,Framework Ventures; Pantera Capital
BIO Protocol,bio-protocol,2,0,DeSci,1Kx; Binance Labs
Aevo,aevo-dex,2,0,DEX,Binance Labs; Pantera Capital
Forte,forte,1,725000000,Blockchain Service,Andreessen Horowitz (a16z)
MoonPay,moonpay,1,555000000,Finance,Paradigm
Tharimmune,tharimmune,1,540000000,Healthcare,Polychain Capital
Helius Medical Technologies,helius-medical-technologies,1,500000000,Healthcare,Pantera Capital
ApeCoin,apecoin,1,450000000,Metaverse,Andreessen Horowitz (a16z)
POL (ex-MATIC),polygon-ecosystem-token,1,450000000,Layer-2,Andreessen Horowitz (a16z)
Polygon,matic-network,1,450000000,Blockchain,Andreessen Horowitz (a16z)
BitMine,bitmine,1,250000000,Blockchain Service,Pantera Capital
BitDAO,bitdao,1,230000000,DAO,Pantera Capital
Satsuma,satsuma,1,217600000,Blockchain Service,Pantera Capital
ConsenSys,consensys,1,200000000,Web 3.0,Electric Capital
Limit Break,limit-break-ico,1,200000000,,Paradigm
Entrepreneur First,entrepreneur-first-ico,1,158000000,,Andreessen Horowitz (a16z)
Character.ai,character-ai,1,150000000,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
Fireblocks,fireblocks-ico,1,133000000,,Paradigm
Blockchain.com,blockchain-com,1,110000000,CEX,Lightspeed Venture Partners
Greenlane Holdings,greenlane-holdings,1,110000000,Finance,Polychain Capital
zerohash,zerohash,1,104000000,Blockchain Service,Jump Crypto
Chainalysis,chainalysis,1,100000000,Blockchain Service,Paradigm
Gala,gala,1,100000000,BNB Chain Ecosystem,Binance Labs
Mesh,mesh,1,82000000,Finance,Paradigm
Nansen,nansen,1,75000000,Blockchain Service,Andreessen Horowitz (a16z)
Flowcarbon,flowcarbon-ico,1,70000000,,Andreessen Horowitz (a16z)
Bitwise,bitwise,1,70000000,Finance,Electric Capital
Infinex,infinex-app-crypto,1,65290000,DEX,Framework Ventures
Unstoppable Domains,unstoppable-domains-ico,1,65000000,,Pantera Capital
Partior,partior,1,60000000,Finance,Jump Trading
Delphia,delphia-ico,1,60000000,,Multicoin Capital
Flashbots,flashbots,1,60000000,Blockchain Service,Paradigm
Multichain,multichain,1,60000000,Web 3.0,Binance Labs
Ready Player Me,ready-player-me-ico,1,56000000,,Andreessen Horowitz (a16z)
Succinct,succinct,1,55000000,Infrastructure,Paradigm
MotherDuck,motherduck,1,52500000,Big Data,Andreessen Horowitz (a16z)
Filecoin,filecoin,1,52000000,Storage,Union Square Ventures Usv
Goodfire,goodfire,1,50000000,Artificial Intelligence (AI),Lightspeed Venture Partners
Eclipse,eclipse,1,50000000,Infrastructure,Polychain Capital
Scroll,scroll,1,50000000,Blockchain,Polychain Capital
AscendEx,asd,1,50000000,CEX,Polychain Capital
AUSD,agora-2,1,50000000,Stablecoin,Paradigm
Nous Research,nous-research,1,50000000,Artificial Intelligence (AI),Paradigm
Parallel,parallel,1,50000000,Gaming,Paradigm
Better Payment Network,better-payment-network,1,50000000,Finance,Binance Labs
Gensyn,gensyn,1,43000000,Blockchain Service,Andreessen Horowitz (a16z)
OpenRouter,openrouter,1,40000000,Blockchain Service,Andreessen Horowitz (a16z)
CCP Games,ccp-games,1,40000000,Gaming,Andreessen Horowitz (a16z)
EVE Online,eve-online-ico,1,40000000,,Andreessen Horowitz (a16z)
Oxygen,oxygen,1,40000000,Solana Ecosystem,Multicoin Capital
RedotPay,redotpay,1,40000000,Blockchain Service,Lightspeed Venture Partners
Babel Finance,babel-finance-ico,1,40000000,,Lightspeed Venture Partners
Neon,neon,1,40000000,Layer-2,Ideo Colab Ventures
Obex,obex-2,1,37000000,Finance,Framework Ventures
Conduit,conduit-ico,1,37000000,,Paradigm
HXRO,hxro,1,34000000,Solana Ecosystem,Jump Crypto
Raiden Network Token,raiden-network,1,33400000,Infrastructure,Polychain Capital
Yupp,yupp,1,33000000,Blockchain Service,Andreessen Horowitz (a16z)
Yellow Card,yellow-card,1,33000000,Finance,Polychain Capital
Fabric Cryptography,fabric-cryptography,1,33000000,Infrastructure,1Kx
Hedra,hedra,1,32000000,Blockchain Service,Andreessen Horowitz (a16z)
Champions Ascension,champions-ascension-ico,1,32000000,,Andreessen Horowitz (a16z)
Planetarium Labs,planetarium-labs-ico,1,32000000,,Binance Labs
Bee Maps,bee-maps,1,32000000,Blockchain Service,Pantera Capital
Cere Network,cere-network,1,31000000,Big Data,Binance Labs
Balance,balance,1,30000000,Gaming,Andreessen Horowitz (a16z)
io.net,io-net,1,30000000,Artificial Intelligence (AI),Multicoin Capital
Sei,sei-network,1,30000000,Blockchain,Multicoin Capital
Render,render-token,1,30000000,Artificial Intelligence (AI),Multicoin Capital
Billions Network,billions-network,1,30000000,Blockchain Service,Polychain Capital
Amberdata,amberdata-ico,1,30000000,,Pantera Capital
The Open Platform (TOP),the-open-platform-top,1,28500000,Blockchain Service,Pantera Capital
Stable,stable-2,1,28000000,Blockchain,Egirl Capital
DoubleZero,double-zero-crypto-coin,1,28000000,Infrastructure,Multicoin Capital
Kyber Network Crystal,kyber-network-crystal,1,27132035,DeFi,Binance Labs
Carry1st,carry1st-ico,1,27000000,,Andreessen Horowitz (a16z)
Evmos,evmos,1,27000000,Cosmos Ecosystem,Polychain Capital
Avail,avail,1,27000000,Blockchain,Balaji Srinivasan
Inversion Capital,inversion-capital,1,26500000,Infrastructure,Balaji Srinivasan
FUNToken,funfair,1,26000000,Gaming,Pantera Capital
XION,burnt-2,1,25000000,Blockchain,Multicoin Capital
Fleek,fleek,1,25000000,AI Agents,Polychain Capital
D3,d3-2,1,25000000,Blockchain Service,Paradigm
Camp Network,camp-network,1,25000000,Layer-2,1Kx
Vauld,vauld-ico,1,25000000,,Pantera Capital
Terra Luna Classic,terra-luna,1,25000000,Blockchain,Pantera Capital
OMG Network,omisego,1,25000000,Blockchain,Pantera Capital
Balancer,balancer,1,24250000,DeFi,Pantera Capital
double jump.tokyo,double-jump-tokyo,1,24000000,Gaming,Jump Crypto
Cryptoys,cryptoys-ico,1,23000000,,Andreessen Horowitz (a16z)
TipTop,tiptop,1,23000000,Infrastructure,Andreessen Horowitz (a16z)
P2P Validator,p2p-validator-ico,1,23000000,,Jump Crypto
Lightyear,lightyear,1,23000000,Finance,Lightspeed Venture Partners
Utopia Labs,utopia-labs-ico,1,23000000,,Paradigm
Bluefin,bluefin,1,22800000,DEX,Polychain Capital
BitCraft,bitcraft-ico,1,22000000,,Andreessen Horowitz (a16z)
Nil Foundation,nil-foundation-ico,1,22000000,,Polychain Capital
Shiden Network,shiden,1,22000000,NFT,Polychain Capital
Metadium,metadium,1,21539540,Protocol,1Kx
Thesis,thesis-ico,1,21000000,,Polychain Capital
Badger DAO,badger-dao,1,21000000,DeFi,Polychain Capital
B3 (Base),b3-fun,1,21000000,Gaming,Pantera Capital
Halliday,halliday,1,20000000,Blockchain Service,Andreessen Horowitz (a16z)
socket,socket-2,1,20000000,Software,Andreessen Horowitz (a16z)
Sound.xyz,sound-xyz,1,20000000,Music,Andreessen Horowitz (a16z)
CreatorDAO,creatordao,1,20000000,DAO,Andreessen Horowitz (a16z)
Virtually Human Studio,virtually-human-studio-ico,1,20000000,,Andreessen Horowitz (a16z)
Oasys,oasys,1,20000000,Gaming,Jump Crypto
Cygnus,cygnus-finance,1,20000000,Blockchain,Egirl Capital
ORA,ora,1,20000000,Infrastructure,Polychain Capital
ORIGYN,origyn-foundation,1,20000000,NFT,Polychain Capital
Space and Time,space-and-time,1,20000000,Blockchain Service,Framework Ventures
Consensus Value Creation,consensus-value-creation,1,20000000,Blockchain Service,Paradigm
Ithaca,ithaca,1,20000000,Blockchain,Paradigm
Axiom,axiom,1,20000000,Blockchain Service,Paradigm
OpenMind,openmind-2,1,20000000,Infrastructure,Pantera Capital
Rialo (Subzero Labs),rialo,1,20000000,Infrastructure,Pantera Capital
Morph,morph,1,20000000,Blockchain,Pantera Capital
Gifto,gifto,1,20000000,Media,Pantera Capital
Shrapnel,shrapnel,1,19500000,Gaming,Polychain Capital
Orca,orca,1,19025000,DEX,Polychain Capital
Bitski,bitski-ico,1,19000000,,Andreessen Horowitz (a16z)
Shardeum,shardeum,1,18719600,Infrastructure,Balaji Srinivasan
Harmony,harmony,1,18345600,Blockchain,Binance Labs
Catena Labs,catena-labs,1,18000000,Blockchain Service,Andreessen Horowitz (a16z)
Really,really-ico,1,18000000,,Polychain Capital
Avocado DAO,avaocado-dao,1,18000000,Gaming,Binance Labs
Pinata,pinata-ico,1,18000000,,Pantera Capital
Rift Finance,rift-finance-ico,1,18000000,,Pantera Capital
EDEN,eden,1,17400000,Infrastructure,Multicoin Capital
Conduit,conduit-2,1,17000000,Blockchain Service,Jump Crypto
Thetanuts Finance,thetanuts-finance-ico,1,17000000,,Polychain Capital
T-Rex,t-rex,1,17000000,Modular Blockchain,Framework Ventures
Kiln,kiln,1,17000000,Finance,1Kx
Ideogram AI ,ideogram-ai,1,16500000,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
Brine Finance,brine-finance,1,16500000,DeFi,Pantera Capital
PartyDAO,partydao,1,16400000,,Andreessen Horowitz (a16z)
Analog,analog,1,16000000,Infrastructure,Balaji Srinivasan
Transak,transak,1,16000000,Blockchain Service,1Kx
Poseidon,poseidon-2,1,15000000,Blockchain Service,Andreessen Horowitz (a16z)
Legend,legend-3,1,15000000,Wallet,Andreessen Horowitz (a16z)
Pahdo Labs,pahdo-labs,1,15000000,Gaming,Andreessen Horowitz (a16z)
Taiko,taiko,1,15000000,Layer-2,Lightspeed Venture Partners
Zebec Network,zebec-network,1,15000000,Infrastructure,Lightspeed Venture Partners
Cascade,cascade,1,15000000,CEX,Polychain Capital
Aria,aria-3,1,15000000,RWA (Real World Assets),Polychain Capital
The Clearing Company,the-clearing-company,1,15000000,DeFi,Union Square Ventures Usv
Sling Money,sling-money,1,15000000,Finance,Union Square Ventures Usv
GTE,gte,1,15000000,DEX,Paradigm
Prime Intellect,prime-intellect,1,15000000,Blockchain Service,Balaji Srinivasan
Prodia,prodia,1,15000000,Blockchain Service,Balaji Srinivasan
Cryptio,cryptio,1,15000000,Blockchain Service,1Kx
Hemi,hemi-network,1,15000000,Modular Blockchain,Binance Labs
SkyArk Chronicles ,skyark-chronicles,1,15000000,Gaming,Binance Labs
Xterio,xterio,1,15000000,Gaming,Binance Labs
Bastion,bastion,1,14600000,Blockchain Service,Andreessen Horowitz (a16z)
Contentos,contentos,1,14250000,Media,Binance Labs
Citrea,citrea,1,14000000,Infrastructure,Balaji Srinivasan
Autonolas,autonolas,1,13800000,Artificial Intelligence (AI),1Kx
Medallion,medallion,1,13700000,Blockchain Service,Lightspeed Venture Partners
Dynamic,dynamic-ico,1,13500000,,Andreessen Horowitz (a16z)
Delphi Labs,delphi-labs-ico,1,13500000,,Jump Crypto
Soba,soba-ico,1,13500000,,Lightspeed Venture Partners
smlXL,smlxl,1,13400000,Blockchain Service,Andreessen Horowitz (a16z)
Lagrange,lagrange-labs,1,13200000,Infrastructure,1Kx
MyPrize,myprize,1,13000000,Gambling,Andreessen Horowitz (a16z)
MadWorld,madworld-2,1,13000000,Gaming,Andreessen Horowitz (a16z)
ZTX,ztx,1,13000000,Social,Jump Crypto
Ballet,ballet-ico,1,13000000,,Lightspeed Venture Partners
Nuffle Labs,nuffle-labs,1,13000000,Infrastructure,Electric Capital
Lit Protocol,lit-protocol,1,13000000,Infrastructure,1Kx
Kadena,kadena,1,12900000,Blockchain,Multicoin Capital
Stacked,stacked-ico,1,12900000,,Pantera Capital
Rated,rated,1,12890000,Blockchain Service,1Confirmation
Ultimate,ultimate-ico,1,12500000,,Lightspeed Venture Partners
Oshi,oshi-2,1,12500000,Social,Polychain Capital
Pi Squared,pi-squared,1,12500000,Infrastructure,Polychain Capital
Astria,astria,1,12500000,Infrastructure,1Kx
Obol Labs,obol-labs,1,12500000,DeFi,Pantera Capital
Fuse,fuseenergy,1,12000000,Blockchain Service,Multicoin Capital
Cysic,cysic-ico,1,12000000,,Polychain Capital
Perennial,perennial,1,12000000,DeFi,Polychain Capital
Radworks,radicle,1,12000000,Governance,Electric Capital
Blockworks,blockworks,1,12000000,Media,Framework Ventures
Lysto,lysto-ico,1,12000000,,Balaji Srinivasan
WOO,woo-network,1,12000000,CEX,Binance Labs
Fractal Network (Findora),findora,1,11970000,Blockchain,Polychain Capital
Inference,inference,1,11800000,Blockchain Service,Multicoin Capital
Blowfish,blowfish-2,1,11800000,Blockchain Service,Paradigm
Bitnomial,bitnomial,1,11600000,Finance,Electric Capital
Botanix Labs,botanix-labs,1,11500000,Blockchain,Polychain Capital
Coin98,coin98,1,11250000,Wallet,Multicoin Capital
Alongside Crypto Market Index,alongside-crypto-market-index,1,11000000,Index,Andreessen Horowitz (a16z)
Crypto Colo Center,crypto-colo-center-ico,1,11000000,,Balaji Srinivasan
Optimum,optimum,1,11000000,Infrastructure,1Kx
Pudgy Penguins,pudgy-penguins,1,11000000,Meme,1Kx
Highlight,highlight-ico,1,11000000,,1Kx
Levva Protocol Token,levva-protocol-token,1,11000000,Artificial Intelligence (AI),1Kx
Gelato,gelato,1,11000000,Blockchain Service,Ideo Colab Ventures
Altius,altius,1,11000000,Infrastructure,Pantera Capital
Mawari,mawari,1,10800000,Blockchain Service,1Kx
NuCypher,nucypher,1,10700000,Protocol,Polychain Capital
ShapeShift FOX,shapeshift-fox-token,1,10400000,DeFi,Pantera Capital
Merit Systems,merit-systems,1,10000000,Infrastructure,Andreessen Horowitz (a16z)
Vlayer,vlayer,1,10000000,Infrastructure,Andreessen Horowitz (a16z)
PIN AI,pin-ai,1,10000000,Artificial Intelligence (AI),Andreessen Horowitz (a16z)
Sovrun,breederdao,1,10000000,Gaming,Andreessen Horowitz (a16z)
Pipe Network,pipe-network,1,10000000,Blockchain Service,Multicoin Capital
Sec3,sec3-ico,1,10000000,,Multicoin Capital
Grass,grass,1,10000000,Artificial Intelligence (AI),Polychain Capital
Playtron,playtron,1,10000000,Gaming,Polychain Capital
Tezos,tezos,1,10000000,Blockchain,Polychain Capital
Ava Protocol,ava-protocol,1,10000000,Infrastructure,Electric Capital
SWEAT,sweat-economy,1,10000000,Wallet,Electric Capital
Parfin,parfin-ico,1,10000000,Layer-2,Framework Ventures
Uplink,uplink,1,10000000,Infrastructure,Framework Ventures
Reya Network (Voltz),reya-network,1,10000000,DeFi,Framework Ventures
Illuvium,illuvium,1,10000000,Gaming,Framework Ventures
Mighty Action Heroes,mighty-action-heroes-ico,1,10000000,,Framework Ventures
Dinari,dinari,1,10000000,Finance,Balaji Srinivasan
Argus,argus-2,1,10000000,Gaming,Balaji Srinivasan
Limitless,limitless,1,10000000,Predictions,1Confirmation
pod,pod,1,10000000,Blockchain,1Kx
Hydra Ventures,hydra-ventures-ico,1,10000000,,1Kx
Usual,usual,1,10000000,Stablecoin Issuer,Binance Labs
KernelDAO,kernel-dao,1,10000000,Liquid Staking Protocols,Binance Labs
Lista DAO,lista-dao,1,10000000,Liquid Staking Protocols,Binance Labs
Radiant Capital,radiant-capital,1,10000000,DeFi,Binance Labs
Neutron,neutron-2,1,10000000,Infrastructure,Binance Labs
Tabi,tabi,1,10000000,Modular Blockchain,Binance Labs
Must,must,1,10000000,NFT,Ideo Colab Ventures
Rarify Labs,rarify-labs-ico,1,10000000,,Pantera Capital
Worldwide Webb,worldwide-webb-ico,1,10000000,,Pantera Capital
Braavos,braavos-ico,1,10000000,,Pantera Capital
Codex Protocol,codex-protocol-ico,1,10000000,,Pantera Capital
Bitstamp,bitstamp,1,10000000,CEX,Pantera Capital
Highstreet,highstreet,1,9852000,Gaming,Binance Labs
Fortunafi,fortunafi,1,9560000,DeFi,Cobie
Paper,paper,1,9300000,,Electric Capital
Oxen,loki-network,1,9027000,Nodes,1Kx
Universal,universal,1,9000000,DEX,Andreessen Horowitz (a16z)
DSCVR,dscvr-ico,1,9000000,,Polychain Capital
Clusters,clusters,1,9000000,Blockchain Service,Electric Capital
Perle (Prev. Kiva Ai),kiva-ai,1,9000000,Artificial Intelligence (AI),Framework Ventures
Primitive,primitive-ico,1,9000000,,1Confirmation
Caldera,caldera-era,1,9000000,Infrastructure,1Kx
Ribbon Finance,ribbon-finance,1,8800000,DeFi,Paradigm
Midas,midas-2,1,8750000,DeFi,Framework Ventures
Strips Finance,strips-finance,1,8500000,Derivatives,Multicoin Capital
Bitquery,bitquery-2-ico,1,8500000,,Binance Labs
TROY,troy,1,8400000,Big Data,Binance Labs
Questbook,questbook-ico,1,8300000,,Balaji Srinivasan
Genopets,genopets,1,8300000,Play to Earn,Pantera Capital
Dusk,dusk-network,1,8075557,Privacy Coin,Binance Labs
Aera,aera,1,8000000,Blockchain Service,Jump Trading
RTFKT Studios,rtfkt-studios-ico,1,8000000,,Andreessen Horowitz (a16z)
Slope,slope-ico,1,8000000,,Jump Crypto
Mountain Protocol USD,mountain-protocol-usd,1,8000000,Stablecoin,Multicoin Capital
Tableland,tableland,1,8000000,Blockchain Service,Multicoin Capital
Warlock,warlock,1,8000000,DeFi,Polychain Capital
Yala,yala-finance,1,8000000,DeFi,Polychain Capital
OpenLedger,openledger-2,1,8000000,Infrastructure,Polychain Capital
Nubit,nubit,1,8000000,Infrastructure,Polychain Capital
Quai Network,quai-network,1,8000000,Blockchain,Polychain Capital
Credora,credora,1,8000000,Lending Platform,Polychain Capital
Mecka.AI,mecka-ai,1,8000000,Infrastructure,Framework Ventures
Rift,rift,1,8000000,DEX,Paradigm
Standard Money,standard-money,1,8000000,DeFi,Binance Labs
Tea,tea,1,8000000,Blockchain Service,Binance Labs
Dora Factory,dora-factory-2,1,8000000,Infrastructure,Binance Labs
Avantis,avantis,1,8000000,Perpetual,Pantera Capital
Helika,helika,1,8000000,Blockchain Service,Pantera Capital
Saber,saber,1,7700000,AMM,Multicoin Capital
Liquid,liquid,1,7600000,DEX,Paradigm
Showtime,showtime-ico,1,7600000,,Paradigm
Sorella,sorella,1,7500000,DeFi,Paradigm
Sending Network,sending-network,1,7500000,Blockchain Service,Balaji Srinivasan
Quadrata,quadrata-ico,1,7500000,,Balaji Srinivasan
Tatsumeeko,tatsumeeko-ico,1,7500000,,Binance Labs
Accountable,accountable,1,7500000,Blockchain Service,Pantera Capital
Thruster,thruster,1,7500000,DEX,Pantera Capital
Bitwave,bitwave-ico,1,7250000,,Paradigm
Plural,plural,1,7130000,Blockchain Service,Paradigm
Gro DAO Token,gro-dao-token,1,7100000,Yield Aggregator,Framework Ventures
Open Trade,open-trade,1,7000000,DeFi,Andreessen Horowitz (a16z)
Spire Labs,spire-labs,1,7000000,Infrastructure,Andreessen Horowitz (a16z)
Cooking.City,cooking-city,1,7000000,Memepad,Jump Crypto
Affine,affine,1,7000000,Liquid Staking Protocols,Jump Crypto
Fhenix,fhenix,1,7000000,Infrastructure,Multicoin Capital
Jenny Metaverse DAO Token,jenny-metaverse-dao-token,1,7000000,NFT,Multicoin Capital
Webb Protocol,webb-protocol,1,7000000,Infrastructure,Polychain Capital
Cubist,cubist-ico,1,7000000,,Polychain Capital
Re,re,1,7000000,Insurance,Electric Capital
W3.io,w3-io,1,7000000,Infrastructure,Framework Ventures
ZAR,zar,1,7000000,Finance,Balaji Srinivasan
Predicate,predicate,1,7000000,Blockchain Service,1Kx
RedStone,redstone,1,7000000,Oracle,1Kx
Uxuy,uxuy-ico,1,7000000,,Binance Labs
Radius,radius,1,7000000,DeFi,Pantera Capital
DogeOS,dogeos,1,6900000,Infrastructure,Polychain Capital
Sona,sona,1,6900000,Blockchain Service,Polychain Capital
Teller Finance,teller-finance-ico,1,6850000,,Framework Ventures
JET,jet,1,6800000,Lending Platform,Paradigm
Spectral,spectral,1,6750000,Blockchain Service,Polychain Capital
Octane,octane,1,6750000,Blockchain Service,Balaji Srinivasan
Endaoment,endaoment-ico,1,6670000,,Framework Ventures
Divine,divine,1,6600000,DeFi,Paradigm
Fusionist,fusionist,1,6600000,Gaming,Binance Labs
Globe Derivative Exchange,globe-derivative-exchange,1,6600000,Ignition IDO,Pantera Capital
Econia,econia-ico,1,6500000,,Lightspeed Venture Partners
t3rn,t3rn,1,6500000,Infrastructure,Polychain Capital
Hologram,hologram-ico,1,6500000,,Polychain Capital
Wildcard,wildcard-ico,1,6500000,,Paradigm
Nestcoin,nestcoin,1,6450000,Blockchain Service,Electric Capital
Sentio,sentio-ico,1,6400000,,Lightspeed Venture Partners
Block Earner,block-earner-ico,1,6400000,,Framework Ventures
Modulus Labs,modulus-labs,1,6300000,Blockchain Service,1Kx
Uranium Digital,uranium-digital,1,6100000,DeFi,Framework Ventures
Linera,linera,1,6000000,Infrastructure,Andreessen Horowitz (a16z)
Nirvana Labs,nirvana-labs,1,6000000,Infrastructure,Jump Crypto
C3,c3-ico,1,6000000,,Jump Crypto
Oh Baby Games,oh-baby-games,1,6000000,Gaming,Egirl Capital
IndiGG,indigg,1,6000000,Gaming,Lightspeed Venture Partners
Talus network,talus-network,1,6000000,Blockchain Service,Polychain Capital
CLV,clover-finance,1,6000000,Wallet,Polychain Capital
Agoric,agoric,1,6000000,Coinlist Launchpad,Polychain Capital
INFINIT,infinit-2,1,6000000,DeFi,Electric Capital
Llama,llama,1,6000000,Blockchain Service,Electric Capital
OpenSocial,opensocial,1,6000000,Social,Framework Ventures
Jungle,jungle-ico,1,6000000,,Framework Ventures
Harmonic,harmonic,1,6000000,Infrastructure,Paradigm
Code4rena,code4rena-ico,1,6000000,,Paradigm
Genius,genius-2,1,6000000,DeFi,Balaji Srinivasan
Layer,layer,1,6000000,Infrastructure,1Kx
web3mine,web3mine,1,6000000,Infrastructure,1Kx
Pentagon Games,pentagon-games,1,6000000,Gaming,Binance Labs
Hooked Protocol,hooked-protocol,1,6000000,Gaming,Binance Labs
Zecrey Labs,zecrey-labs,1,6000000,Blockchain,Binance Labs
Moonbeam,moonbeam,1,6000000,Blockchain,Binance Labs
Size,size-ico,1,6000000,,Cobie
Ancient8,ancient8,1,6000000,Layer-2,Pantera Capital
MetaDAO,meta-2-2,1,5900000,Solana Ecosystem,Paradigm
zCloak,zcloak-ico,1,5800000,,Jump Crypto
Beta Finance,beta-finance,1,5800000,Lending Platform,Multicoin Capital
Unbound Finance,unbound-finance,1,5800000,AMM,Pantera Capital
tapestry,tapestry,1,5750000,Social,Union Square Ventures Usv
SKALE,skale,1,5745600,Layer-2,Multicoin Capital
FIO Protocol,fio-protocol,1,5700000,Protocol,Binance Labs
Stackr,stackr,1,5500000,Infrastructure,Andreessen Horowitz (a16z)
FanTV,fantv,1,5500000,Blockchain Service,Multicoin Capital
FanTiger,fantiger-ico,1,5500000,,Multicoin Capital
Term Finance,term-finance,1,5500000,Lending Platform,Electric Capital
Li.Fi,li-fi-ico,1,5500000,,1Kx
Heroes of Mavia,heroes-of-mavia,1,5500000,Gaming,Binance Labs
Vega Protocol,vega-protocol,1,5500000,Derivatives,Pantera Capital
Quasar,quasar-2,1,5432100,DeFi,Polychain Capital
Sovryn,sovryn,1,5400000,DeFi,Balaji Srinivasan
Gondi,gondi,1,5350000,NFT,Pantera Capital
Numbers Protocol,numbers-protocol,1,5253750,Media,Binance Labs
Elfin Metaverse,elfin-metaverse,1,5250000,Gaming,Binance Labs
Hyperbeat,hyperbeat,1,5200000,DeFi,Electric Capital
3Jane,3jane,1,5200000,DeFi,Paradigm
AminoChain,aminochain,1,5000000,Infrastructure,Andreessen Horowitz (a16z)
Setter,setter,1,5000000,Social,Andreessen Horowitz (a16z)
ANGLE,angle-protocol,1,5000000,Protocol,Andreessen Horowitz (a16z)
SOON,soon,1,5000000,Blockchain Service,Jump Crypto
Momentum,momentum-3,1,5000000,DEX,Jump Crypto
Xverse,xverse-wallet,1,5000000,Blockchain Service,Jump Crypto
Burrow,burrow,1,5000000,Lending Platform,Jump Crypto
CrunchDAO,crunchdao,1,5000000,Artificial Intelligence (AI),Multicoin Capital
Yield.xyz,yield-xyz,1,5000000,DeFi,Multicoin Capital
Baxus,baxus,1,5000000,Social,Multicoin Capital
Hubble,hubble,1,5000000,Protocol,Multicoin Capital
Rhino.fi,dvf,1,5000000,AMM,Lightspeed Venture Partners
Gasp (Mangata),gasp-2,1,5000000,DeFi,Polychain Capital
DFX Finance,dfx-finance,1,5000000,Governance,Polychain Capital
Horizon Blockchain Game,horizon-blockchain-game-ico,1,5000000,,Polychain Capital
Hibachi,hibachi,1,5000000,DeFi,Electric Capital
Zeta Markets,zeta-markets,1,5000000,DeFi,Electric Capital
GoGoPool,gogopool,1,5000000,DeFi,Framework Ventures
Agora,agora-3,1,5000000,Blockchain Service,Balaji Srinivasan
Intmax,intmax-ico,1,5000000,Blockchain,Balaji Srinivasan
LiquiFi,liquifi,1,5000000,Blockchain Service,Balaji Srinivasan
Tokenproof,tokenproof-ico,1,5000000,,Mark Cuban
Thirdweb,thirdweb-ico,1,5000000,x402 Ecosystem,Mark Cuban
Keplr,keplr,1,5000000,Wallet,1Confirmation
VOYA Games,voya-games,1,5000000,Gaming,1Kx
Inco Network,inco-network,1,5000000,Blockchain,1Kx
Rhinestone,rhinestone,1,5000000,Blockchain Service,1Kx
NFTfi,nftfi,1,5000000,NFT,1Kx
AllScale,allscale,1,5000000,Finance,Binance Labs
Open Campus,open-campus,1,5000000,Education,Binance Labs
Temple,temple-2,1,5000000,Finance,Binance Labs
Opinion Labs,opinion-labs,1,5000000,Predictions,Binance Labs
Blum,blum,1,5000000,DeFi,Binance Labs
ZEROBASE,zerobase,1,5000000,Zero Knowledge,Binance Labs
